"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_utp_budidaya";"n_utp_pembibitan";"n_utp_budidaya_dan_pembibitan";"n_utp_jumlah";"n_utp_budidaya_jumlah";"n_utp_pembibitan_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2163";"[5310010] PAGA";"53";"5310";"5310010";"94763515";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2163";"[5310011] MEGO";"53";"5310";"5310011";"81227502";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2163";"[5310012] TANA WAWO";"53";"5310";"5310012";"67689475";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2163";"[5310020] LELA";"53";"5310";"5310020";"60920442";"51";"0";"0";"51";"51";"0";"51"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2163";"[5310030] BOLA";"53";"5310";"5310030";"54151436";"6";"0";"0";"6";"6";"0";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2163";"[5310031] DORENG";"53";"5310";"5310031";"60920289";"85";"0";"0";"85";"85";"0";"85"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2163";"[5310032] MAPITARA";"53";"5310";"5310032";"27075658";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2163";"[5310040] TALIBURA";"53";"5310";"5310040";"135378050";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2163";"[5310041] WAIGETE";"53";"5310";"5310041";"74456565";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2163";"[5310042] WAIBLAMA";"53";"5310";"5310042";"47381103";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2163";"[5310050] KEWAPANTE";"53";"5310";"5310050";"60918489";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2163";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"47380991";"21";"0";"0";"21";"21";"0";"21"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2163";"[5310052] KANGAE";"53";"5310";"5310052";"60918345";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2163";"[5310061] PALUE";"53";"5310";"5310061";"54149572";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2163";"[5310062] KOTING";"53";"5310";"5310062";"47380823";"22";"0";"0";"22";"22";"0";"22"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2163";"[5310063] NELLE";"53";"5310";"5310063";"33843415";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2163";"[5310070] NITA";"53";"5310";"5310070";"101530244";"24";"0";"0";"24";"24";"0";"24"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2163";"[5310071] MAGEPANDA";"53";"5310";"5310071";"54150484";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2163";"[5310080] ALOK";"53";"5310";"5310080";"47381621";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2163";"[5310081] ALOK BARAT";"53";"5310";"5310081";"27075190";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2163";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"74456690";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2163";"[5310] SIKKA";"53";"5310";"5310999";"1313149899";"212";"0";"0";"212";"212";"0";"212"
