"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_tanaman_hutan_belum_dijual";"n_rtup_tanaman_hutan_semua_dijual";"n_rtup_tanaman_hutan_sebagian_besar_dijual";"n_rtup_tanaman_hutan_sebagian_besar_dikonsumsi";"jumlah";"n_rtup_tanaman_hutan"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310010] PAGA";"53";"5310";"5310010";"0";"9";"1";"1";"11";"198"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310011] MEGO";"53";"5310";"5310011";"0";"8";"2";"2";"12";"115"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310012] TANA WAWO";"53";"5310";"5310012";"1";"5";"0";"2";"8";"368"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310020] LELA";"53";"5310";"5310020";"0";"1";"2";"0";"3";"38"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310030] BOLA";"53";"5310";"5310030";"1";"2";"1";"1";"5";"225"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310031] DORENG";"53";"5310";"5310031";"1";"0";"5";"12";"18";"94"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310032] MAPITARA";"53";"5310";"5310032";"2";"1";"1";"2";"6";"72"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310040] TALIBURA";"53";"5310";"5310040";"3";"14";"39";"20";"76";"1023"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310041] WAIGETE";"53";"5310";"5310041";"4";"14";"11";"16";"45";"645"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"7";"1";"5";"13";"196"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310050] KEWAPANTE";"53";"5310";"5310050";"0";"2";"3";"1";"6";"164"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"8";"2";"6";"6";"22";"280"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310052] KANGAE";"53";"5310";"5310052";"1";"11";"5";"2";"19";"241"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310062] KOTING";"53";"5310";"5310062";"0";"2";"1";"1";"4";"89"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310063] NELLE";"53";"5310";"5310063";"0";"3";"3";"1";"7";"42"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310070] NITA";"53";"5310";"5310070";"0";"9";"14";"20";"43";"605"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310071] MAGEPANDA";"53";"5310";"5310071";"4";"5";"12";"8";"29";"114"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310080] ALOK";"53";"5310";"5310080";"0";"3";"1";"2";"6";"33"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310081] ALOK BARAT";"53";"5310";"5310081";"0";"1";"2";"0";"3";"15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0";"2";"4";"1";"7";"157"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6136";"[5310] SIKKA";"53";"5310";"5310999";"25";"101";"114";"103";"343";"4716"
