"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"rerata_jml_ternak_sapi_diusahakan_utp";"rerata_jml_ternak_sapi_potong_diusahakan_utp";"rerata_jml_ternak_sapi_perah_diusahakan_utp";"rerata_jml_ternak_kerbau_diusahakan_utp";"rerata_jml_ternak_kerbau_potong_diusahakan_utp";"rerata_jml_ternak_kerbau_perah_diusahakan_utp";"rerata_jml_ternak_kuda_diusahakan_utp";"rerata_jml_ternak_unta_diusahakan_utp";"rerata_jml_ternak_rusa_diusahakan_utp";"rerata_jml_ternak_kambing_diusahakan_utp";"rerata_jml_ternak_kambing_potong_diusahakan_utp";"rerata_jml_ternak_kambing_perah_diusahakan_utp";"rerata_jml_ternak_domba_diusahakan_utp";"rerata_jml_ternak_domba_potong_diusahakan_utp";"rerata_jml_ternak_domba_perah_diusahakan_utp";"rerata_jml_ternak_babi_diusahakan_utp";"rerata_jml_ternak_keledai_diusahakan_utp";"rerata_jml_ternak_kelinci_potong_diusahakan_utp";"rerata_jml_ternak_ayam_ras_pedaging_diusahakan_utp";"rerata_jml_ternak_ayam_ras_petelur_diusahakan_utp";"rerata_jml_ternak_ayam_ras_pedaging_petelur_diusahakan_utp";"rerata_jml_ternak_ayam_kampung_diusahakan_utp";"rerata_jml_ternak_ayam_kampung_biasa_diusahakan_utp";"rerata_jml_ternak_ayam_kampung_pedaging_diusahakan_utp";"rerata_jml_ternak_ayam_kampung_petelur_diusahakan_utp";"rerata_jml_ternak_itik_diusahakan_utp";"rerata_jml_ternak_itik_petelur_diusahakan_utp";"rerata_jml_ternak_itik_pedaging_diusahakan_utp";"rerata_jml_ternak_itik_manila_diusahakan_utp";"rerata_jml_ternak_angsa_diusahakan_utp";"rerata_jml_ternak_merpati_diusahakan_utp";"rerata_jml_ternak_puyuh_diusahakan_utp";"rerata_jml_ternak_puyuh_petelur_diusahakan_utp";"rerata_jml_ternak_puyuh_pedaging_diusahakan_utp";"rerata_jml_ternak_kalkun_diusahakan_utp";"rerata_jml_ternak_burung_unta_diusahakan_utp";"rerata_jml_ternak_anjing_diusahakan_utp";"rerata_jml_ternak_cacing_diusahakan_utp";"rerata_jml_ternak_hamster_diusahakan_utp";"rerata_jml_ternak_jangkrik_diusahakan_utp";"rerata_jml_ternak_kucing_diusahakan_utp";"rerata_jml_ternak_lebah_diusahakan_utp";"rerata_jml_ternak_marmut_diusahakan_utp";"rerata_jml_ternak_ulat_sutera_diusahakan_utp";"rerata_jml_ternak_walet_diusahakan_utp";"rerata_jml_ternak_ayam_lokal_lain_diusahakan_utp";"rerata_jml_ternak_unggas_non_pangan_diusahakan_utp";"rerata_jml_ternak_lainnya_diusahakan_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"3";"3";"0";"0";"0";"0";"4";"0";"0";"3";"3";"0";"0";"0";"0";"3";"0";"0";"0";"13";"13";"11";"11";"0";"0";"7";"0";"0";"7";"2";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"2";"0";"0";"0";"0";"60";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"3";"3";"0";"0";"0";"0";"2";"0";"0";"3";"3";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"12";"12";"0";"0";"3";"0";"0";"3";"0";"2";"0";"0";"0";"0";"0";"3";"0";"0";"0";"2";"0";"0";"0";"0";"11";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"3";"3";"0";"0";"0";"0";"2";"0";"0";"3";"3";"0";"0";"0";"0";"3";"0";"0";"2139";"100";"2155";"12";"12";"0";"0";"9";"0";"0";"9";"0";"15";"0";"0";"0";"0";"0";"3";"0";"0";"0";"2";"0";"0";"0";"0";"15";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"3";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"7";"7";"0";"0";"2";"0";"0";"2";"0";"4";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"3";"3";"0";"0";"0";"0";"2";"0";"0";"3";"3";"0";"0";"0";"0";"2";"0";"0";"2467";"18";"1488";"8";"8";"0";"0";"4";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"15";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"3";"3";"0";"0";"0";"0";"2";"0";"0";"3";"3";"0";"0";"0";"0";"3";"0";"0";"1900";"375";"1290";"13";"13";"0";"0";"7";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"40";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"2";"2";"0";"5";"5";"0";"2";"0";"0";"3";"3";"0";"0";"0";"0";"3";"0";"0";"2161";"0";"2161";"9";"9";"0";"0";"4";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"3";"3";"0";"4";"4";"0";"2";"0";"0";"4";"4";"0";"0";"0";"0";"3";"0";"0";"2173";"1000";"1880";"13";"13";"0";"0";"6";"0";"0";"6";"1";"8";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"11";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"4";"4";"0";"3";"3";"0";"2";"0";"0";"3";"3";"0";"0";"0";"0";"3";"0";"0";"2404";"0";"2404";"11";"11";"0";"0";"8";"0";"0";"8";"0";"11";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"15";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"5";"5";"0";"0";"0";"0";"2";"0";"0";"4";"4";"0";"0";"0";"0";"3";"0";"0";"1742";"150";"1619";"11";"11";"0";"0";"11";"0";"0";"11";"20";"16";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"12";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"4";"4";"0";"7";"7";"0";"2";"0";"0";"5";"5";"0";"0";"0";"0";"3";"0";"0";"2662";"0";"2662";"13";"13";"0";"0";"9";"0";"0";"9";"0";"19";"0";"0";"0";"4";"0";"3";"0";"0";"0";"2";"0";"0";"0";"2300";"28";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"3";"3";"0";"4";"4";"0";"2";"0";"0";"3";"3";"0";"0";"0";"0";"3";"0";"0";"2120";"230";"1899";"10";"10";"0";"0";"7";"0";"0";"7";"8";"15";"0";"0";"0";"4";"0";"4";"0";"0";"0";"2";"5";"0";"0";"822";"15";"0";"0"
