tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_rtup_tunggal;n_rtup_campuran;n_rtup_tumpang_sari;n_rtup_asosiasi_antar_semusim;n_rtup_jumlah;n_rtup
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310052] KANGAE;53;5310;5310052;0;2;0;0;2;2
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310061] PALUE;53;5310;5310061;0;1;0;0;1;1
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310062] KOTING;53;5310;5310062;0;3;0;0;3;3
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310070] NITA;53;5310;5310070;4;124;0;0;128;128
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310071] MAGEPANDA;53;5310;5310071;1;0;0;0;1;1
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310082] ALOK TIMUR;53;5310;5310082;0;2;1;0;3;3
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310] SIKKA;53;5310;5310999;9;204;2;1;216;216
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310010] PAGA;53;5310;5310010;7;18;0;0;25;25
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310011] MEGO;53;5310;5310011;0;1;0;0;1;1
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310020] LELA;53;5310;5310020;0;24;0;1;25;25
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310030] BOLA;53;5310;5310030;2;76;0;1;79;79
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310031] DORENG;53;5310;5310031;1;69;0;0;70;70
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310032] MAPITARA;53;5310;5310032;0;7;0;0;7;7
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310040] TALIBURA;53;5310;5310040;52;180;12;41;285;285
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310041] WAIGETE;53;5310;5310041;98;807;100;138;1143;1139
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310042] WAIBLAMA;53;5310;5310042;13;130;3;2;148;148
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310050] KEWAPANTE;53;5310;5310050;42;313;4;23;382;382
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310051] HEWOKLOANG;53;5310;5310051;10;159;1;0;170;170
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310052] KANGAE;53;5310;5310052;139;641;28;7;815;815
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310061] PALUE;53;5310;5310061;0;1;0;0;1;1
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310062] KOTING;53;5310;5310062;0;24;0;0;24;24
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310063] NELLE;53;5310;5310063;0;34;0;0;34;34
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310070] NITA;53;5310;5310070;4;82;0;0;86;86
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310071] MAGEPANDA;53;5310;5310071;219;40;47;7;313;312
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310080] ALOK;53;5310;5310080;48;22;0;9;79;79
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310081] ALOK BARAT;53;5310;5310081;111;42;19;26;198;198
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310082] ALOK TIMUR;53;5310;5310082;37;181;1;11;230;230
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310] SIKKA;53;5310;5310999;783;2851;215;266;4115;4110
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310010] PAGA;53;5310;5310010;8;13;0;0;21;21
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310011] MEGO;53;5310;5310011;3;134;0;0;137;137
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310012] TANA WAWO;53;5310;5310012;6;175;0;0;181;181
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310020] LELA;53;5310;5310020;0;7;0;0;7;7
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310030] BOLA;53;5310;5310030;7;833;2;1;843;842
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310031] DORENG;53;5310;5310031;6;1574;0;0;1580;1580
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310032] MAPITARA;53;5310;5310032;2;223;0;1;226;226
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310040] TALIBURA;53;5310;5310040;0;9;1;7;17;17
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310041] WAIGETE;53;5310;5310041;6;447;3;54;510;510
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310042] WAIBLAMA;53;5310;5310042;2;16;3;3;24;24
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310050] KEWAPANTE;53;5310;5310050;28;82;0;0;110;110
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310051] HEWOKLOANG;53;5310;5310051;8;1110;3;1;1122;1122
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310052] KANGAE;53;5310;5310052;10;93;1;0;104;104
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310061] PALUE;53;5310;5310061;0;6;0;0;6;6
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310062] KOTING;53;5310;5310062;0;6;0;0;6;6
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310063] NELLE;53;5310;5310063;0;1;0;0;1;1
BAB_5_tabel_5_38_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310070] NITA;53;5310;5310070;5;232;1;1;239;238
