"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_tanaman_umur_kurang2thn";"n_tanaman_umur_2sampai4thn";"n_tanaman_umur_4sampai6thn";"n_tanaman_umur_lebih6thn";"jumlah"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310010] PAGA";"53";"5310";"5310010";"0";"0";"4";"8";"12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310011] MEGO";"53";"5310";"5310011";"0";"0";"49";"0";"49"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"2";"0";"104";"106"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310020] LELA";"53";"5310";"5310020";"0";"3";"0";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310030] BOLA";"53";"5310";"5310030";"8";"19";"740";"50";"817"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310031] DORENG";"53";"5310";"5310031";"44";"15";"58";"14";"131"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"0";"20";"517";"537"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310040] TALIBURA";"53";"5310";"5310040";"7888";"152";"181";"488";"8709"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310041] WAIGETE";"53";"5310";"5310041";"6";"201";"58";"216";"481"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310042] WAIBLAMA";"53";"5310";"5310042";"70";"497";"15";"0";"582"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310050] KEWAPANTE";"53";"5310";"5310050";"0";"44";"58";"13";"115"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"20";"0";"0";"20";"40"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310052] KANGAE";"53";"5310";"5310052";"0";"300";"2";"136";"438"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310062] KOTING";"53";"5310";"5310062";"0";"3";"70";"200";"273"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310070] NITA";"53";"5310";"5310070";"82";"1677";"31";"426";"2216"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"2";"0";"4";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310080] ALOK";"53";"5310";"5310080";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310081] ALOK BARAT";"53";"5310";"5310081";"0";"0";"1500";"0";"1500"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"50";"0";"0";"80";"130"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6176";"[5310] SIKKA";"53";"5310";"5310999";"8168";"2915";"2786";"2276";"16145"
