"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_tanaman_6101";"n_tanaman_6102";"n_tanaman_6103";"n_tanaman_6104";"n_tanaman_6105";"n_tanaman_6106";"n_tanaman_6107";"n_tanaman_6108";"n_tanaman_6109";"n_tanaman_6110";"n_tanaman_6111";"n_tanaman_6112";"n_tanaman_6113";"n_tanaman_6114";"n_tanaman_6115";"n_tanaman_6116";"n_tanaman_6117";"n_tanaman_6118";"n_tanaman_6119";"n_tanaman_6120";"n_tanaman_6121";"n_tanaman_6122";"n_tanaman_6123";"n_tanaman_6124";"n_tanaman_6125";"n_tanaman_6126";"n_tanaman_6127";"n_tanaman_6128";"n_tanaman_6129";"n_tanaman_6130";"n_tanaman_6131";"n_tanaman_6132";"n_tanaman_6133";"n_tanaman_6134";"n_tanaman_6135";"n_tanaman_6136";"n_tanaman_6137";"n_tanaman_6138";"n_tanaman_6139";"n_tanaman_6140";"n_tanaman_6141";"n_tanaman_6142";"n_tanaman_6143";"n_tanaman_6144";"n_tanaman_6145";"n_tanaman_6146";"n_tanaman_6147";"n_tanaman_6148";"n_tanaman_6149";"n_tanaman_6150";"n_tanaman_6151";"n_tanaman_6152";"n_tanaman_6153";"n_tanaman_6154";"n_tanaman_6155";"n_tanaman_6156";"n_tanaman_6157";"n_tanaman_6158";"n_tanaman_6159";"n_tanaman_6160";"n_tanaman_6161";"n_tanaman_6162";"n_tanaman_6163";"n_tanaman_6164";"n_tanaman_6165";"n_tanaman_6166";"n_tanaman_6167";"n_tanaman_6168";"n_tanaman_6169";"n_tanaman_6170";"n_tanaman_6171";"n_tanaman_6172";"n_tanaman_6173";"n_tanaman_6174";"n_tanaman_6175";"n_tanaman_6176";"n_tanaman_6177";"n_tanaman_6178";"n_tanaman_6179";"n_tanaman_6180";"n_tanaman_6181";"n_tanaman_6182";"n_tanaman_6183";"n_tanaman_6184";"n_tanaman_6185";"n_tanaman_6186";"n_tanaman_6187";"n_tanaman_6188";"n_tanaman_6189";"n_tanaman_6199"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"0";"0";"0";"0";"0";"0";"0";"0";"349";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2467";"2371";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"0";"2";"0";"0";"0";"0";"0";"4059";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"115";"0";"0";"99";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"0";"0";"0";"0";"0";"0";"0";"1835";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1208";"2322";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"58";"0";"0";"0";"0";"0";"0";"0";"2348";"0";"0";"0";"0";"0";"0";"0";"64";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"40";"0";"0";"31";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"0";"0";"0";"0";"0";"0";"0";"0";"1339";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"94";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"900";"3605";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12";"5211";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"438";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"19";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"0";"0";"0";"0";"0";"0";"0";"0";"444";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1384";"1331";"0";"0";"20";"0";"0";"0";"0";"0";"0";"0";"0";"11";"0";"0";"0";"0";"0";"0";"0";"1704";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"273";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"0";"0";"0";"0";"0";"0";"1671";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"188";"390";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21";"0";"0";"0";"0";"0";"0";"2";"209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"0";"0";"1";"0";"0";"0";"0";"0";"1954";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"124";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"4180";"11787";"0";"0";"28";"0";"0";"0";"0";"20";"0";"0";"0";"117";"0";"21";"0";"0";"0";"0";"1031";"15517";"0";"0";"0";"0";"0";"0";"0";"10";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2216";"0";"0";"47";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"428"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"0";"0";"0";"0";"0";"0";"0";"221";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"696";"2129";"0";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"188";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"0";"0";"0";"0";"0";"0";"0";"0";"33";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2290";"791";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"200";"800";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"44";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"207";"212";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"68";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1500";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0";"0";"0";"0";"0";"0";"0";"0";"677";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"298";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2146";"3775";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"12";"0";"0";"0";"0";"0";"10917";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"130";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"0";"0";"1";"0";"105";"0";"0";"0";"17317";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1242";"0";"0";"0";"0";"0";"196";"0";"0";"0";"0";"0";"0";"0";"54187";"373589";"0";"0";"960";"0";"0";"0";"0";"20";"0";"0";"0";"303";"0";"40";"0";"0";"0";"0";"2455";"180655";"0";"0";"0";"0";"0";"0";"0";"144";"94";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"16145";"0";"0";"193";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"516"
