"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_budidaya";"n_utp_pembibitan";"n_utp_budidaya_dan_pembibitan";"n_utp_jumlah";"n_utp_budidaya_jumlah";"n_utp_pembibitan_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310010] PAGA";"53";"5310";"5310010";"1032";"0";"0";"1032";"1032";"0";"1032"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310011] MEGO";"53";"5310";"5310011";"614";"0";"0";"614";"614";"0";"614"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310012] TANA WAWO";"53";"5310";"5310012";"11";"0";"0";"11";"11";"0";"11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310020] LELA";"53";"5310";"5310020";"1573";"0";"0";"1573";"1573";"0";"1573"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310030] BOLA";"53";"5310";"5310030";"1776";"0";"6";"1782";"1782";"6";"1782"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310031] DORENG";"53";"5310";"5310031";"1570";"0";"0";"1570";"1570";"0";"1570"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310032] MAPITARA";"53";"5310";"5310032";"758";"0";"0";"758";"758";"0";"758"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310040] TALIBURA";"53";"5310";"5310040";"1941";"0";"0";"1941";"1941";"0";"1941"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310041] WAIGETE";"53";"5310";"5310041";"1246";"0";"0";"1246";"1246";"0";"1246"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310042] WAIBLAMA";"53";"5310";"5310042";"761";"1";"0";"762";"761";"1";"762"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310050] KEWAPANTE";"53";"5310";"5310050";"800";"0";"0";"800";"800";"0";"800"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1361";"0";"0";"1361";"1361";"0";"1361"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310052] KANGAE";"53";"5310";"5310052";"1007";"0";"0";"1007";"1007";"0";"1007"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310061] PALUE";"53";"5310";"5310061";"876";"0";"0";"876";"876";"0";"876"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310062] KOTING";"53";"5310";"5310062";"1056";"0";"1";"1057";"1057";"1";"1057"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310063] NELLE";"53";"5310";"5310063";"586";"0";"0";"586";"586";"0";"586"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310070] NITA";"53";"5310";"5310070";"2163";"0";"0";"2163";"2163";"0";"2163"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310071] MAGEPANDA";"53";"5310";"5310071";"362";"0";"0";"362";"362";"0";"362"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310080] ALOK";"53";"5310";"5310080";"165";"2";"1";"168";"166";"3";"168"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310081] ALOK BARAT";"53";"5310";"5310081";"70";"0";"0";"70";"70";"0";"70"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"288";"0";"0";"288";"288";"0";"288"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310] SIKKA";"53";"5310";"5310999";"20016";"3";"8";"20027";"20024";"11";"20027"
