"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_utp_gol_luas_lahan_0";"n_utp_gol_luas_lahan_less1000";"n_utp_gol_luas_lahan_1000_1999";"n_utp_gol_luas_lahan_2000_4999";"n_utp_gol_luas_lahan_5000_9999";"n_utp_gol_luas_lahan_10000_19999";"n_utp_gol_luas_lahan_20000_29999";"n_utp_gol_luas_lahan_30000_39999";"n_utp_gol_luas_lahan_40000_49999";"n_utp_gol_luas_lahan_50000_99999";"n_utp_gol_luas_lahan_100000_199999";"n_utp_gol_luas_lahan_200000_299999";"n_utp_gol_luas_lahan_300000_399999";"n_utp_gol_luas_lahan_400000_499999";"n_utp_gol_luas_lahan_500000_999999";"n_utp_gol_luas_lahan_1000000_1999999";"n_utp_gol_luas_lahan_2000000_4999999";"n_utp_gol_luas_lahan_5000000_9999999";"n_utp_gol_luas_lahan_10000000plus";"n_utp_luas_lahan";"n_utp_cek"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"119";"637";"361";"655";"696";"397";"81";"19";"6";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2858";"2977"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"69";"170";"64";"337";"685";"696";"238";"85";"33";"24";"6";"0";"0";"0";"1";"0";"0";"0";"0";"2339";"2408"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"11";"48";"109";"449";"588";"437";"102";"22";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1759";"1770"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"140";"309";"159";"423";"487";"351";"84";"21";"16";"9";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1860";"2000"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"53";"208";"453";"820";"524";"150";"25";"6";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2187";"2240"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"24";"49";"138";"851";"810";"334";"53";"11";"4";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2259";"2283"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"28";"32";"110";"583";"479";"165";"28";"11";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1411";"1439"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"477";"436";"398";"853";"1122";"1056";"240";"55";"19";"17";"1";"0";"0";"0";"0";"0";"0";"0";"0";"4197";"4674"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"79";"696";"941";"1703";"1017";"437";"68";"16";"2";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4887";"4966"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"5";"32";"43";"292";"539";"614";"114";"19";"11";"9";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1675";"1680"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"105";"648";"307";"550";"377";"119";"24";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2030";"2135"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"15";"89";"180";"631";"547";"255";"44";"8";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1761";"1776"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"279";"770";"513";"927";"632";"286";"47";"7";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3183";"3462"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"14";"752";"497";"430";"147";"40";"8";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1876";"1890"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"6";"337";"229";"399";"229";"95";"17";"6";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1313";"1319"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"31";"264";"168";"354";"227";"32";"8";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1054";"1085"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"30";"580";"385";"1110";"1017";"611";"176";"42";"13";"19";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3953";"3983"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"246";"576";"449";"705";"400";"255";"55";"9";"5";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2459";"2705"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"810";"1295";"362";"261";"120";"49";"15";"7";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2113";"2923"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"970";"1299";"218";"196";"100";"82";"14";"3";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1917";"2887"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"745";"782";"254";"492";"483";"285";"36";"2";"2";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2341";"3086"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"4256";"10009";"6338";"13021";"11226";"6746";"1477";"356";"122";"121";"14";"1";"0";"0";"1";"0";"0";"0";"0";"49432";"53688"
