"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_pohon_perkebunan_kelor_2306";"n_pohon_perkebunan_aren_3101";"n_pohon_perkebunan_asam_jawa_3102";"n_pohon_perkebunan_cengkeh_3103";"n_pohon_perkebunan_gambir_3104";"n_pohon_perkebunan_jambu_mete_3105";"n_pohon_perkebunan_jarak_pagar_3106";"n_pohon_perkebunan_kakao_3107";"n_pohon_perkebunan_kapok_3108";"n_pohon_perkebunan_karet_3109";"n_pohon_perkebunan_kayumanis_3110";"n_pohon_perkebunan_kelapa_sawit_3111";"n_pohon_perkebunan_kelapa_3112";"n_pohon_perkebunan_kemenyan_3113";"n_pohon_perkebunan_kemiri_3114";"n_pohon_perkebunan_kemiri_sunan_3115";"n_pohon_perkebunan_kenanga_3116";"n_pohon_perkebunan_kina_3117";"n_pohon_perkebunan_klerek_3118";"n_pohon_perkebunan_kopi_3119";"n_pohon_perkebunan_lada_3120";"n_pohon_perkebunan_lontar_3121";"n_pohon_perkebunan_panili_3123";"n_pohon_perkebunan_pala_3124";"n_pohon_perkebunan_pandan_anyam_3125";"n_pohon_perkebunan_pinang_jambe_3126";"n_pohon_perkebunan_sagu_3127";"n_pohon_perkebunan_soga_3128";"n_pohon_perkebunan_teh_3129";"n_pohon_perkebunan_andaliman_3130";"n_pohon_perkebunan_gayam_3131";"n_pohon_perkebunan_kurma_3132";"n_pohon_perkebunan_kelapa_nira_3198";"n_pohon_perkebunan_lainnya_3199"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"0";"47";"0";"360";"0";"1383";"0";"26978";"0";"0";"0";"0";"9594";"0";"3417";"0";"0";"0";"0";"174";"30";"0";"3234";"259";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"0";"33";"30";"2260";"0";"660";"0";"33851";"0";"0";"300";"0";"8025";"0";"16263";"116";"0";"0";"0";"4634";"17";"0";"10567";"751";"0";"20";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"17";"0";"3658";"0";"75";"0";"16976";"0";"0";"0";"0";"28";"0";"2240";"0";"0";"0";"0";"4307";"20";"0";"1965";"3258";"0";"100";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"0";"0";"15";"43";"0";"2410";"0";"3795";"0";"0";"0";"0";"16637";"0";"154";"0";"0";"0";"0";"13";"39";"0";"833";"461";"0";"70";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"0";"0";"33";"10213";"0";"1782";"0";"7155";"0";"0";"0";"0";"10255";"0";"428";"5";"0";"0";"0";"2299";"716";"258";"25432";"14888";"0";"720";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"0";"0";"385";"33680";"0";"1152";"0";"11045";"0";"0";"15";"0";"23938";"0";"1202";"0";"0";"0";"0";"610";"5";"72";"83978";"31420";"3";"218";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"0";"22";"4711";"0";"3947";"0";"7857";"0";"0";"0";"0";"8385";"0";"2183";"0";"0";"0";"0";"295";"40";"170";"17004";"6556";"25";"105";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"60";"0";"205";"313";"0";"32437";"0";"2538";"0";"0";"0";"0";"19398";"0";"7002";"16";"0";"0";"0";"1501";"226";"52";"3111";"883";"0";"75";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"0";"0";"665";"7263";"0";"15622";"0";"4483";"0";"0";"0";"0";"6475";"0";"4157";"16";"0";"0";"0";"886";"12";"1625";"4588";"6914";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"357";"399";"0";"6188";"0";"4565";"0";"0";"0";"0";"7422";"0";"7823";"26";"0";"0";"0";"112";"0";"30";"148";"170";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0"
