"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_utp_tunggal";"n_utp_campuran";"n_utp_tumpang_sari";"n_utp_asosiasi_antar_semusim";"n_utp_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310010] PAGA";"53";"5310";"5310010";"7674135";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310011] MEGO";"53";"5310";"5310011";"6578150";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310012] TANA WAWO";"53";"5310";"5310012";"5482475";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310020] LELA";"53";"5310";"5310020";"4934142";"1";"0";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310030] BOLA";"53";"5310";"5310030";"4385836";"1";"0";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310031] DORENG";"53";"5310";"5310031";"4933989";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310032] MAPITARA";"53";"5310";"5310032";"2192858";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310040] TALIBURA";"53";"5310";"5310040";"10961674";"7";"7";"0";"3";"17";"17"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310041] WAIGETE";"53";"5310";"5310041";"6023523";"0";"6";"0";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310042] WAIBLAMA";"53";"5310";"5310042";"3833088";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310050] KEWAPANTE";"53";"5310";"5310050";"4928184";"2";"4";"0";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"3832976";"0";"4";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310052] KANGAE";"53";"5310";"5310052";"4928040";"1";"4";"1";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310061] PALUE";"53";"5310";"5310061";"4380412";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310062] KOTING";"53";"5310";"5310062";"3833165";"0";"4";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310063] NELLE";"53";"5310";"5310063";"2738285";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310070] NITA";"53";"5310";"5310070";"8214705";"0";"4";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310071] MAGEPANDA";"53";"5310";"5310071";"4381084";"1";"1";"0";"1";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310080] ALOK";"53";"5310";"5310080";"3833396";"7";"1";"0";"0";"8";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310081] ALOK BARAT";"53";"5310";"5310081";"2190490";"2";"1";"0";"0";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"6023765";"1";"3";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310] SIKKA";"53";"5310";"5310999";"106284372";"23";"41";"1";"4";"69";"69"
