"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_penyebab_kekeringan";"n_utp_penyebab_hama";"n_utp_penyebab_penyakit";"n_utp_penyebab_banjir";"n_utp_penyebab_panen_sebagian";"n_utp_penyebab_dirusak_oleh_hewan";"n_utp_penyebab_pencurian";"n_utp_penyebab_lainnya"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1102";"[5310010] PAGA";"53";"5310";"5310010";"22";"121";"7";"0";"0";"135";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1102";"[5310011] MEGO";"53";"5310";"5310011";"54";"146";"4";"0";"23";"20";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1102";"[5310012] TANA WAWO";"53";"5310";"5310012";"41";"181";"4";"0";"4";"41";"0";"16"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1102";"[5310020] LELA";"53";"5310";"5310020";"0";"0";"0";"0";"0";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1102";"[5310030] BOLA";"53";"5310";"5310030";"23";"50";"9";"0";"1";"59";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1102";"[5310031] DORENG";"53";"5310";"5310031";"6";"2";"3";"0";"0";"2";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1102";"[5310032] MAPITARA";"53";"5310";"5310032";"98";"16";"17";"1";"1";"0";"0";"12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1102";"[5310040] TALIBURA";"53";"5310";"5310040";"451";"827";"316";"8";"12";"25";"0";"20"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1102";"[5310041] WAIGETE";"53";"5310";"5310041";"715";"611";"20";"1";"7";"63";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1102";"[5310042] WAIBLAMA";"53";"5310";"5310042";"13";"336";"10";"1";"3";"17";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1102";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1";"4";"0";"0";"0";"3";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1102";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"3";"9";"0";"0";"0";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1102";"[5310052] KANGAE";"53";"5310";"5310052";"0";"0";"2";"0";"0";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1102";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1102";"[5310062] KOTING";"53";"5310";"5310062";"1";"5";"1";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1102";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1102";"[5310070] NITA";"53";"5310";"5310070";"12";"30";"7";"0";"1";"38";"0";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1102";"[5310071] MAGEPANDA";"53";"5310";"5310071";"10";"8";"5";"1";"1";"64";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1102";"[5310080] ALOK";"53";"5310";"5310080";"2";"2";"0";"0";"1";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1102";"[5310081] ALOK BARAT";"53";"5310";"5310081";"7";"2";"0";"0";"0";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1102";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1102";"[5310] SIKKA";"53";"5310";"5310999";"1459";"2350";"405";"12";"54";"471";"1";"68"
