"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"rerata_produksi_ternak_sapi_diusahakan_rtup";"rerata_produksi_ternak_sapi_potong_diusahakan_rtup";"rerata_produksi_ternak_sapi_perah_diusahakan_rtup";"rerata_produksi_ternak_kerbau_diusahakan_rtup";"rerata_produksi_ternak_kerbau_potong_diusahakan_rtup";"rerata_produksi_ternak_kerbau_perah_diusahakan_rtup";"rerata_produksi_ternak_kuda_diusahakan_rtup";"rerata_produksi_ternak_unta_diusahakan_rtup";"rerata_produksi_ternak_rusa_diusahakan_rtup";"rerata_produksi_ternak_kambing_diusahakan_rtup";"rerata_produksi_ternak_kambing_potong_diusahakan_rtup";"rerata_produksi_ternak_kambing_perah_diusahakan_rtup";"rerata_produksi_ternak_domba_diusahakan_rtup";"rerata_produksi_ternak_domba_potong_diusahakan_rtup";"rerata_produksi_ternak_domba_perah_diusahakan_rtup";"rerata_produksi_ternak_babi_diusahakan_rtup";"rerata_produksi_ternak_keledai_diusahakan_rtup";"rerata_produksi_ternak_kelinci_potong_diusahakan_rtup";"rerata_produksi_ternak_ayam_ras_pedaging_diusahakan_rtup";"rerata_produksi_ternak_ayam_ras_petelur_diusahakan_rtup";"rerata_produksi_ternak_ayam_ras_pedaging_petelur_diusahakan_rtup";"rerata_produksi_ternak_ayam_kampung_diusahakan_rtup";"rerata_produksi_ternak_ayam_kampung_biasa_diusahakan_rtup";"rerata_produksi_ternak_ayam_kampung_pedaging_diusahakan_rtup";"rerata_produksi_ternak_ayam_kampung_petelur_diusahakan_rtup";"rerata_produksi_ternak_itik_diusahakan_rtup";"rerata_produksi_ternak_itik_petelur_diusahakan_rtup";"rerata_produksi_ternak_itik_pedaging_diusahakan_rtup";"rerata_produksi_ternak_itik_manila_diusahakan_rtup";"rerata_produksi_ternak_angsa_diusahakan_rtup";"rerata_produksi_ternak_merpati_diusahakan_rtup";"rerata_produksi_ternak_puyuh_diusahakan_rtup";"rerata_produksi_ternak_puyuh_petelur_diusahakan_rtup";"rerata_produksi_ternak_puyuh_pedaging_diusahakan_rtup";"rerata_produksi_ternak_kalkun_diusahakan_rtup";"rerata_produksi_ternak_burung_unta_diusahakan_rtup";"rerata_produksi_ternak_anjing_diusahakan_rtup";"rerata_produksi_ternak_cacing_diusahakan_rtup";"rerata_produksi_ternak_hamster_diusahakan_rtup";"rerata_produksi_ternak_jangkrik_diusahakan_rtup";"rerata_produksi_ternak_kucing_diusahakan_rtup";"rerata_produksi_ternak_lebah_diusahakan_rtup";"rerata_produksi_ternak_marmut_diusahakan_rtup";"rerata_produksi_ternak_ulat_sutera_diusahakan_rtup";"rerata_produksi_ternak_walet_diusahakan_rtup";"rerata_produksi_ternak_ayam_lokal_lain_diusahakan_rtup";"rerata_produksi_ternak_unggas_non_pangan_diusahakan_rtup";"rerata_produksi_ternak_lainnya_diusahakan_rtup";"rerata_produksi_peternakan_diusahakan_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"4724.17";"4724.17";"0.00";"0.00";"0.00";"0.00";"10500.00";"0.00";"0.00";"763.63";"763.63";"0.00";"0.00";"0.00";"0.00";"20587.86";"0.00";"0.00";"0.00";"600.00";"600.00";"1418.22";"1418.22";"0.00";"0.00";"229.48";"0.00";"0.00";"229.48";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"330.22";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"5028.75";"0.00";"0.00";"10782.36"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"2011.43";"2011.43";"0.00";"0.00";"0.00";"0.00";"9000.00";"0.00";"0.00";"563.60";"563.60";"0.00";"0.00";"0.00";"0.00";"842.96";"0.00";"0.00";"0.00";"0.00";"0.00";"633.56";"633.56";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"293.06";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"398.44";"0.00";"0.00";"1048.54"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"3596.48";"3596.48";"0.00";"0.00";"0.00";"0.00";"1735.29";"0.00";"0.00";"947.69";"947.69";"0.00";"0.00";"0.00";"0.00";"2808.70";"0.00";"0.00";"14977.33";"1200.00";"15177.33";"515.19";"515.19";"0.00";"0.00";"339.27";"0.00";"0.00";"339.27";"0.00";"210.00";"0.00";"0.00";"0.00";"0.00";"0.00";"386.09";"0.00";"0.00";"0.00";"5.88";"0.00";"0.00";"0.00";"0.00";"4625.00";"0.00";"0.00";"2331.52"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1148.41";"1148.41";"0.00";"0.00";"0.00";"0.00";"4036.45";"0.00";"0.00";"0.00";"0.00";"0.00";"118.67";"118.67";"0.00";"0.00";"75.00";"0.00";"0.00";"75.00";"0.00";"50.00";"0.00";"0.00";"0.00";"0.00";"0.00";"381.95";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"2557.06"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"2125.00";"2125.00";"0.00";"0.00";"0.00";"0.00";"18916.67";"0.00";"0.00";"1147.12";"1147.12";"0.00";"0.00";"0.00";"0.00";"3121.35";"0.00";"0.00";"152000.00";"2391.00";"92156.40";"480.08";"480.08";"0.00";"0.00";"315.77";"0.00";"0.00";"315.77";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"871.26";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"5383.33";"0.00";"0.00";"2730.27"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"10020.45";"10020.45";"0.00";"0.00";"0.00";"0.00";"4000.00";"0.00";"0.00";"864.37";"864.37";"0.00";"0.00";"0.00";"0.00";"3013.90";"0.00";"0.00";"103083.33";"15000.00";"67850.00";"767.96";"767.96";"0.00";"0.00";"254.50";"0.00";"0.00";"254.50";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"787.16";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"5000.00";"0.00";"0.00";"2924.42"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"4056.29";"4056.29";"0.00";"1500.00";"1500.00";"0.00";"2000.00";"0.00";"0.00";"801.30";"801.30";"0.00";"0.00";"0.00";"0.00";"2158.49";"0.00";"0.00";"172212.29";"0.00";"172212.29";"327.76";"327.76";"0.00";"0.00";"42.81";"0.00";"0.00";"42.81";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"425.90";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"250.00";"0.00";"0.00";"3086.74"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"3298.72";"3298.72";"0.00";"3244.05";"3244.05";"0.00";"2701.39";"0.00";"0.00";"694.71";"694.71";"0.00";"0.00";"0.00";"0.00";"1747.67";"0.00";"0.00";"719866.67";"4320.00";"540980.00";"928.94";"928.94";"0.00";"0.00";"153.80";"0.00";"0.00";"153.80";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"160.56";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1011.25";"0.00";"0.00";"4201.94"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"6272.73";"6272.73";"0.00";"0.00";"0.00";"0.00";"3550.00";"0.00";"0.00";"926.27";"926.27";"0.00";"0.00";"0.00";"0.00";"6005.39";"0.00";"0.00";"673161.67";"0.00";"673161.67";"499.41";"499.41";"0.00";"0.00";"354.55";"0.00";"0.00";"354.55";"0.00";"512.00";"0.00";"0.00";"0.00";"0.00";"0.00";"2189.02";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"3241.69";"0.00";"0.00";"6888.41"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"4669.10";"4669.10";"0.00";"0.00";"0.00";"0.00";"2044.25";"0.00";"0.00";"1204.88";"1204.88";"0.00";"0.00";"0.00";"0.00";"4907.27";"0.00";"0.00";"150534.58";"500.00";"138993.46";"474.02";"474.02";"0.00";"0.00";"772.23";"0.00";"0.00";"772.23";"500.00";"1375.00";"0.00";"0.00";"0.00";"0.00";"0.00";"360.71";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1981.09";"0.00";"0.00";"5245.71"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"6426.47";"6426.47";"0.00";"0.00";"0.00";"0.00";"1000.00";"0.00";"0.00";"1104.12";"1104.12";"0.00";"0.00";"0.00";"0.00";"6091.46";"0.00";"0.00";"19577.78";"0.00";"19577.78";"535.65";"535.65";"0.00";"0.00";"217.56";"0.00";"0.00";"217.56";"0.00";"407.14";"0.00";"0.00";"0.00";"166.67";"0.00";"402.08";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"37500.00";"1456.25";"0.00";"0.00";"4384.27"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"5040.22";"5040.22";"0.00";"3585.78";"3585.78";"0.00";"2682.89";"0.00";"0.00";"747.84";"747.84";"0.00";"0.00";"0.00";"0.00";"4082.80";"0.00";"0.00";"208174.26";"4493.50";"184131.30";"491.85";"491.85";"0.00";"0.00";"247.17";"0.00";"0.00";"247.17";"166.67";"499.17";"0.00";"0.00";"0.00";"166.67";"0.00";"329.83";"0.00";"0.00";"0.00";"1.98";"8000.00";"0.00";"0.00";"21500.00";"2221.35";"0.00";"0.00";"3517.03"
