"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_usaha_selain_ternak_besar_produksinya_seluruhnya_dijual";"n_utp_usaha_selain_ternak_besar_produksinya_sebagian_besar_dijual";"n_utp_usaha_selain_ternak_besar_produksinya_sisanya_dijual";"n_utp_usaha_selain_ternak_besar_produksinya_belum_dijual";"jumlah";"n_utp_usaha_selain_ternak_besar"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310010] PAGA";"53";"5310";"5310010";"61";"30";"12";"409";"512";"512"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310011] MEGO";"53";"5310";"5310011";"74";"24";"16";"468";"582";"582"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310012] TANA WAWO";"53";"5310";"5310012";"74";"45";"54";"223";"396";"396"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310020] LELA";"53";"5310";"5310020";"37";"32";"5";"400";"474";"474"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310030] BOLA";"53";"5310";"5310030";"119";"30";"20";"539";"708";"708"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310031] DORENG";"53";"5310";"5310031";"108";"59";"28";"472";"667";"667"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310032] MAPITARA";"53";"5310";"5310032";"6";"30";"67";"271";"374";"374"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310040] TALIBURA";"53";"5310";"5310040";"234";"61";"13";"850";"1158";"1158"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310041] WAIGETE";"53";"5310";"5310041";"129";"120";"74";"684";"1007";"1007"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310042] WAIBLAMA";"53";"5310";"5310042";"38";"14";"2";"291";"345";"345"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310050] KEWAPANTE";"53";"5310";"5310050";"158";"98";"8";"386";"650";"650"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"30";"42";"29";"349";"450";"450"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310052] KANGAE";"53";"5310";"5310052";"242";"153";"33";"696";"1124";"1124"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310061] PALUE";"53";"5310";"5310061";"23";"147";"67";"85";"322";"322"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310062] KOTING";"53";"5310";"5310062";"42";"38";"9";"216";"305";"305"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310063] NELLE";"53";"5310";"5310063";"80";"49";"17";"261";"407";"407"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310070] NITA";"53";"5310";"5310070";"156";"105";"8";"658";"927";"927"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310071] MAGEPANDA";"53";"5310";"5310071";"138";"109";"12";"525";"784";"784"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310080] ALOK";"53";"5310";"5310080";"366";"69";"37";"354";"826";"826"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310081] ALOK BARAT";"53";"5310";"5310081";"265";"69";"14";"379";"727";"727"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"508";"241";"34";"410";"1193";"1193"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310] SIKKA";"53";"5310";"5310999";"2888";"1565";"559";"8926";"13938";"13938"
