tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_utp_panen_sendiri;n_utp_ijon;n_utp_tebas;n_utp_tdk_panen;n_utp_blm_panen
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310082] ALOK TIMUR;53;5310;5310082;1;0;0;0;1
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310] SIKKA;53;5310;5310999;22;0;0;3;11
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310010] PAGA;53;5310;5310010;10;0;0;1;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310011] MEGO;53;5310;5310011;23;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310012] TANA WAWO;53;5310;5310012;36;0;0;0;3
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310020] LELA;53;5310;5310020;1;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310030] BOLA;53;5310;5310030;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310031] DORENG;53;5310;5310031;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310040] TALIBURA;53;5310;5310040;0;0;0;1;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;1
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;2
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310052] KANGAE;53;5310;5310052;1;0;0;0;1
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310061] PALUE;53;5310;5310061;1;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310062] KOTING;53;5310;5310062;1;0;0;1;1
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310063] NELLE;53;5310;5310063;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310070] NITA;53;5310;5310070;128;0;0;0;1
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310071] MAGEPANDA;53;5310;5310071;1;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310080] ALOK;53;5310;5310080;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310082] ALOK TIMUR;53;5310;5310082;3;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310] SIKKA;53;5310;5310999;205;0;0;3;9
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310010] PAGA;53;5310;5310010;24;0;0;1;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310011] MEGO;53;5310;5310011;0;0;0;0;1
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310020] LELA;53;5310;5310020;20;0;0;1;5
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310030] BOLA;53;5310;5310030;62;1;0;13;3
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310031] DORENG;53;5310;5310031;65;0;0;3;4
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310032] MAPITARA;53;5310;5310032;6;0;0;0;1
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310040] TALIBURA;53;5310;5310040;251;0;0;19;21
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310041] WAIGETE;53;5310;5310041;1131;0;1;6;28
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310042] WAIBLAMA;53;5310;5310042;140;0;1;1;6
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310050] KEWAPANTE;53;5310;5310050;360;0;0;15;10
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310051] HEWOKLOANG;53;5310;5310051;173;0;0;2;2
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310052] KANGAE;53;5310;5310052;796;0;0;13;10
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310061] PALUE;53;5310;5310061;1;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310062] KOTING;53;5310;5310062;20;0;0;1;3
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310063] NELLE;53;5310;5310063;31;0;0;2;1
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310070] NITA;53;5310;5310070;86;0;0;1;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310071] MAGEPANDA;53;5310;5310071;301;0;0;6;12
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310080] ALOK;53;5310;5310080;76;0;0;3;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310081] ALOK BARAT;53;5310;5310081;193;0;0;1;4
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310082] ALOK TIMUR;53;5310;5310082;224;0;0;1;5
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3102;[5310] SIKKA;53;5310;5310999;3960;1;2;89;116
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310010] PAGA;53;5310;5310010;8;0;0;3;10
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310011] MEGO;53;5310;5310011;28;0;0;0;110
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310012] TANA WAWO;53;5310;5310012;21;0;0;0;160
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310020] LELA;53;5310;5310020;3;0;0;0;5
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310030] BOLA;53;5310;5310030;177;3;0;269;417
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310031] DORENG;53;5310;5310031;211;34;0;593;817
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310032] MAPITARA;53;5310;5310032;9;0;0;23;207
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310040] TALIBURA;53;5310;5310040;3;0;0;0;14
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310041] WAIGETE;53;5310;5310041;224;0;0;21;290
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310042] WAIBLAMA;53;5310;5310042;9;0;0;0;15
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310050] KEWAPANTE;53;5310;5310050;33;0;0;40;37
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310051] HEWOKLOANG;53;5310;5310051;371;0;0;641;151
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310052] KANGAE;53;5310;5310052;45;0;0;20;39
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310061] PALUE;53;5310;5310061;1;0;0;0;5
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310062] KOTING;53;5310;5310062;5;0;0;0;1
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310063] NELLE;53;5310;5310063;0;0;0;0;1
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310070] NITA;53;5310;5310070;44;2;0;57;141
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310080] ALOK;53;5310;5310080;7;0;0;5;1
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310081] ALOK BARAT;53;5310;5310081;4;0;0;0;5
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310082] ALOK TIMUR;53;5310;5310082;31;0;0;10;43
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3103;[5310] SIKKA;53;5310;5310999;1234;39;0;1682;2469
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310010] PAGA;53;5310;5310010;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310011] MEGO;53;5310;5310011;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310020] LELA;53;5310;5310020;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310030] BOLA;53;5310;5310030;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310031] DORENG;53;5310;5310031;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310061] PALUE;53;5310;5310061;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310062] KOTING;53;5310;5310062;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310063] NELLE;53;5310;5310063;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310070] NITA;53;5310;5310070;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310080] ALOK;53;5310;5310080;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3104;[5310] SIKKA;53;5310;5310999;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310010] PAGA;53;5310;5310010;407;0;0;38;19
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310011] MEGO;53;5310;5310011;118;0;0;1;13
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310012] TANA WAWO;53;5310;5310012;3;0;0;0;2
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310020] LELA;53;5310;5310020;639;0;0;6;86
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310030] BOLA;53;5310;5310030;686;1;0;51;47
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310031] DORENG;53;5310;5310031;395;0;0;27;26
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310032] MAPITARA;53;5310;5310032;444;1;0;10;21
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310040] TALIBURA;53;5310;5310040;2834;1;0;22;163
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310041] WAIGETE;53;5310;5310041;2861;0;0;9;85
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310042] WAIBLAMA;53;5310;5310042;1061;1;2;8;67
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310050] KEWAPANTE;53;5310;5310050;849;0;0;20;19
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310051] HEWOKLOANG;53;5310;5310051;496;0;0;11;6
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310052] KANGAE;53;5310;5310052;867;0;0;52;33
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310061] PALUE;53;5310;5310061;1346;0;0;0;7
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310062] KOTING;53;5310;5310062;413;0;0;16;8
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310063] NELLE;53;5310;5310063;399;0;0;4;10
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310070] NITA;53;5310;5310070;925;0;0;21;29
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310071] MAGEPANDA;53;5310;5310071;1120;0;1;2;57
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310080] ALOK;53;5310;5310080;804;0;0;16;38
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310081] ALOK BARAT;53;5310;5310081;438;0;1;0;19
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310082] ALOK TIMUR;53;5310;5310082;793;0;0;0;59
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3105;[5310] SIKKA;53;5310;5310999;17898;4;4;314;814
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310010] PAGA;53;5310;5310010;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310011] MEGO;53;5310;5310011;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310020] LELA;53;5310;5310020;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310030] BOLA;53;5310;5310030;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310031] DORENG;53;5310;5310031;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310061] PALUE;53;5310;5310061;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310062] KOTING;53;5310;5310062;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310063] NELLE;53;5310;5310063;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310070] NITA;53;5310;5310070;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310080] ALOK;53;5310;5310080;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3106;[5310] SIKKA;53;5310;5310999;0;0;0;0;0
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3107;[5310010] PAGA;53;5310;5310010;1486;1;0;47;70
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3107;[5310011] MEGO;53;5310;5310011;1457;0;0;24;49
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3107;[5310012] TANA WAWO;53;5310;5310012;1188;0;0;7;43
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3107;[5310020] LELA;53;5310;5310020;694;0;0;4;25
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3107;[5310030] BOLA;53;5310;5310030;1557;1;0;35;50
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3107;[5310031] DORENG;53;5310;5310031;1401;4;0;44;44
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3107;[5310032] MAPITARA;53;5310;5310032;593;0;0;12;45
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3107;[5310040] TALIBURA;53;5310;5310040;260;0;1;6;53
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3107;[5310041] WAIGETE;53;5310;5310041;424;1;0;15;139
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3107;[5310042] WAIBLAMA;53;5310;5310042;343;0;0;8;25
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3107;[5310050] KEWAPANTE;53;5310;5310050;142;0;0;55;24
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3107;[5310051] HEWOKLOANG;53;5310;5310051;756;0;0;97;41
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3107;[5310052] KANGAE;53;5310;5310052;270;0;0;57;21
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3107;[5310061] PALUE;53;5310;5310061;293;0;0;1;27
BAB_5_tabel_5_49_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3107;[5310062] KOTING;53;5310;5310062;581;0;0;27;18
