"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_rtup_pelihara_ternak";"n_rtup_ternak_pelihara_sapi";"n_rtup_ternak_pelihara_sapi_potong";"n_rtup_ternak_pelihara_sapi_perah";"n_rtup_ternak_pelihara_kerbau";"n_rtup_ternak_pelihara_kerbau_potong";"n_rtup_ternak_pelihara_kerbau_perah";"n_rtup_ternak_pelihara_kuda";"n_rtup_ternak_pelihara_unta";"n_rtup_ternak_pelihara_rusa";"n_rtup_ternak_pelihara_kambing";"n_rtup_ternak_pelihara_kambing_potong";"n_rtup_ternak_pelihara_kambing_perah";"n_rtup_ternak_pelihara_domba";"n_rtup_ternak_pelihara_domba_potong";"n_rtup_ternak_pelihara_domba_perah";"n_rtup_ternak_pelihara_babi";"n_rtup_ternak_pelihara_keledai";"n_rtup_ternak_pelihara_kelinci_potong";"n_rtup_ternak_pelihara_ayam_ras_pedaging";"n_rtup_ternak_pelihara_ayam_ras_petelur";"n_rtup_ternak_pelihara_ayam_ras_pedaging_petelur";"n_rtup_ternak_pelihara_ayam_kampung";"n_rtup_ternak_pelihara_ayam_kampung_biasa";"n_rtup_ternak_pelihara_ayam_kampung_pedaging";"n_rtup_ternak_pelihara_ayam_kampung_petelur";"n_rtup_ternak_pelihara_itik";"n_rtup_ternak_pelihara_itik_petelur";"n_rtup_ternak_pelihara_itik_pedaging";"n_rtup_ternak_pelihara_itik_manila";"n_rtup_ternak_pelihara_angsa";"n_rtup_ternak_pelihara_merpati";"n_rtup_ternak_pelihara_puyuh";"n_rtup_ternak_pelihara_puyuh_petelur";"n_rtup_ternak_pelihara_puyuh_pedaging";"n_rtup_ternak_pelihara_kalkun";"n_rtup_ternak_pelihara_burung_unta";"n_rtup_ternak_pelihara_anjing";"n_rtup_ternak_pelihara_cacing";"n_rtup_ternak_pelihara_hamster";"n_rtup_ternak_pelihara_jangkrik";"n_rtup_ternak_pelihara_kucing";"n_rtup_ternak_pelihara_lebah";"n_rtup_ternak_pelihara_marmut";"n_rtup_ternak_pelihara_ulat_sutera";"n_rtup_ternak_pelihara_walet";"n_rtup_ternak_pelihara_ayam_lokal_lain";"n_rtup_ternak_pelihara_unggas_non_pangan";"n_rtup_ternak_pelihara_lainnya"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1623";"232";"232";"0";"0";"0";"0";"5";"0";"0";"375";"375";"0";"0";"0";"0";"686";"0";"0";"0";"1";"1";"1179";"1179";"0";"0";"33";"0";"0";"33";"1";"1";"0";"0";"0";"0";"0";"575";"0";"0";"0";"308";"0";"0";"0";"0";"10";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1438";"35";"35";"0";"0";"0";"0";"1";"0";"0";"239";"239";"0";"0";"0";"0";"464";"0";"0";"0";"0";"0";"1283";"1283";"0";"0";"12";"0";"0";"12";"0";"1";"0";"0";"0";"0";"0";"792";"0";"0";"1";"414";"0";"0";"0";"0";"17";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"2808";"334";"334";"0";"0";"0";"0";"17";"0";"0";"623";"623";"0";"0";"0";"0";"1116";"0";"0";"6";"1";"6";"2376";"2376";"0";"0";"67";"0";"0";"67";"0";"2";"0";"0";"0";"0";"0";"780";"0";"0";"0";"421";"0";"0";"0";"0";"8";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"1372";"0";"0";"0";"0";"0";"0";"0";"0";"0";"265";"265";"0";"0";"0";"0";"504";"0";"0";"0";"0";"0";"1090";"1090";"0";"0";"9";"0";"0";"9";"0";"1";"0";"0";"0";"0";"0";"642";"0";"0";"0";"27";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"1116";"12";"12";"0";"0";"0";"0";"8";"0";"0";"225";"225";"0";"0";"0";"0";"458";"0";"0";"3";"2";"5";"952";"952";"0";"0";"20";"0";"0";"20";"0";"3";"0";"0";"0";"0";"0";"453";"0";"0";"0";"205";"0";"0";"0";"0";"9";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"982";"23";"23";"0";"0";"0";"0";"8";"0";"0";"136";"136";"0";"0";"0";"0";"431";"0";"0";"3";"2";"5";"876";"876";"0";"0";"29";"0";"0";"29";"0";"2";"0";"0";"0";"0";"0";"377";"0";"0";"0";"232";"0";"0";"0";"0";"2";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"2822";"50";"50";"0";"4";"4";"0";"37";"0";"0";"621";"621";"0";"0";"0";"0";"999";"0";"0";"24";"1";"24";"2175";"2175";"0";"0";"56";"0";"0";"56";"1";"0";"0";"0";"0";"1";"0";"1215";"0";"0";"0";"266";"0";"0";"0";"0";"13";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1710";"445";"445";"0";"202";"202";"0";"73";"0";"0";"424";"424";"0";"0";"0";"0";"792";"0";"0";"3";"1";"4";"1047";"1047";"0";"0";"94";"0";"0";"94";"1";"1";"0";"0";"0";"0";"0";"287";"0";"0";"0";"82";"0";"0";"0";"0";"9";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"1575";"11";"11";"0";"1";"1";"0";"10";"0";"0";"261";"261";"0";"0";"0";"0";"821";"0";"0";"6";"0";"6";"912";"912";"0";"0";"124";"0";"0";"124";"0";"9";"0";"0";"0";"1";"0";"252";"0";"0";"0";"243";"0";"0";"0";"0";"68";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"1582";"221";"221";"0";"1";"1";"0";"22";"0";"0";"330";"330";"0";"0";"0";"0";"788";"0";"0";"12";"1";"13";"999";"999";"0";"0";"69";"0";"0";"69";"1";"7";"0";"0";"0";"0";"0";"324";"0";"0";"0";"119";"0";"0";"0";"0";"72";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"2231";"119";"119";"0";"1";"1";"0";"11";"0";"0";"633";"633";"0";"0";"0";"0";"1184";"0";"0";"9";"0";"9";"1228";"1228";"0";"0";"90";"0";"0";"90";"0";"11";"0";"0";"0";"3";"0";"498";"0";"0";"0";"276";"0";"0";"0";"1";"9";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"37511";"4837";"4837";"0";"241";"241";"0";"321";"0";"0";"9486";"9486";"0";"0";"0";"0";"14800";"0";"0";"82";"13";"93";"26704";"26704";"0";"0";"925";"0";"0";"925";"5";"44";"0";"0";"0";"6";"0";"13176";"0";"0";"1";"4202";"1";"0";"0";"3";"276";"2";"0"
