"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_rtup_gol_luas_lahan_0";"n_rtup_gol_luas_lahan_less1000";"n_rtup_gol_luas_lahan_1000_1999";"n_rtup_gol_luas_lahan_2000_4999";"n_rtup_gol_luas_lahan_5000_9999";"n_rtup_gol_luas_lahan_10000_19999";"n_rtup_gol_luas_lahan_20000_29999";"n_rtup_gol_luas_lahan_30000_39999";"n_rtup_gol_luas_lahan_40000_49999";"n_rtup_gol_luas_lahan_50000_99999";"n_rtup_gol_luas_lahan_100000_199999";"n_rtup_gol_luas_lahan_200000_299999";"n_rtup_gol_luas_lahan_300000_399999";"n_rtup_gol_luas_lahan_400000_499999";"n_rtup_gol_luas_lahan_500000_999999";"n_rtup_gol_luas_lahan_1000000_1999999";"n_rtup_gol_luas_lahan_2000000_4999999";"n_rtup_gol_luas_lahan_5000000_9999999";"n_rtup_gol_luas_lahan_10000000plus";"n_rtup_luas_lahan";"n_rtup_cek"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"70";"571";"344";"647";"678";"389";"74";"17";"6";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2732";"2802"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"70";"168";"64";"347";"668";"693";"245";"79";"32";"21";"3";"0";"0";"0";"1";"0";"0";"0";"0";"2321";"2391"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"10";"48";"109";"449";"587";"436";"102";"22";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1757";"1767"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"112";"294";"158";"409";"470";"349";"85";"21";"18";"9";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1814";"1926"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"38";"178";"418";"795";"517";"154";"25";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2090";"2128"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"22";"38";"138";"798";"775";"307";"56";"8";"6";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2132";"2154"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"5";"16";"78";"519";"461";"166";"33";"12";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1288";"1293"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"433";"405";"368";"816";"985";"964";"279";"59";"18";"17";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3912";"4345"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"68";"657";"803";"1539";"941";"447";"70";"18";"3";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"4484";"4552"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"5";"30";"49";"304";"577";"540";"100";"18";"10";"7";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1637";"1642"
