tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;persentase_utp_seluruhnya_dijual;persentase_utp_sebagian_besar_dijual;persentase_utp_sebagian_besar_dikonsumsi;persentase_utp_belum_dijual
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310010] PAGA;53;5310;5310010;-;-;-;-
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310011] MEGO;53;5310;5310011;-;-;-;-
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310012] TANA WAWO;53;5310;5310012;-;-;-;-
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310020] LELA;53;5310;5310020;-;-;-;-
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310030] BOLA;53;5310;5310030;-;-;-;-
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310031] DORENG;53;5310;5310031;-;-;-;-
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310032] MAPITARA;53;5310;5310032;-;-;-;-
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310040] TALIBURA;53;5310;5310040;0.00;0.00;100.00;0.00
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310041] WAIGETE;53;5310;5310041;0.00;100.00;0.00;0.00
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310042] WAIBLAMA;53;5310;5310042;-;-;-;-
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310050] KEWAPANTE;53;5310;5310050;-;-;-;-
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310051] HEWOKLOANG;53;5310;5310051;-;-;-;-
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310052] KANGAE;53;5310;5310052;0.00;50.00;50.00;0.00
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310061] PALUE;53;5310;5310061;-;-;-;-
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310062] KOTING;53;5310;5310062;0.00;100.00;0.00;0.00
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310063] NELLE;53;5310;5310063;0.00;100.00;0.00;0.00
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310070] NITA;53;5310;5310070;-;-;-;-
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310071] MAGEPANDA;53;5310;5310071;-;-;-;-
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310080] ALOK;53;5310;5310080;33.33;0.00;66.67;0.00
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310081] ALOK BARAT;53;5310;5310081;0.00;57.14;42.86;0.00
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310082] ALOK TIMUR;53;5310;5310082;0.00;100.00;0.00;0.00
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310] SIKKA;53;5310;5310999;4.55;54.55;40.91;0.00
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310010] PAGA;53;5310;5310010;10.00;90.00;0.00;0.00
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310011] MEGO;53;5310;5310011;34.78;60.87;0.00;4.35
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310012] TANA WAWO;53;5310;5310012;16.67;77.78;5.56;0.00
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310020] LELA;53;5310;5310020;0.00;100.00;0.00;0.00
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310030] BOLA;53;5310;5310030;-;-;-;-
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310031] DORENG;53;5310;5310031;-;-;-;-
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310032] MAPITARA;53;5310;5310032;-;-;-;-
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310040] TALIBURA;53;5310;5310040;-;-;-;-
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310041] WAIGETE;53;5310;5310041;-;-;-;-
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310042] WAIBLAMA;53;5310;5310042;-;-;-;-
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310050] KEWAPANTE;53;5310;5310050;-;-;-;-
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310051] HEWOKLOANG;53;5310;5310051;-;-;-;-
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310052] KANGAE;53;5310;5310052;100.00;0.00;0.00;0.00
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310061] PALUE;53;5310;5310061;0.00;0.00;100.00;0.00
BAB_5_tabel_5_58_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310062] KOTING;53;5310;5310062;100.00;0.00;0.00;0.00
