"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"persentase_rtup_seluruhnya_dijual";"persentase_rtup_sebagian_besar_dijual";"persentase_rtup_sebagian_besar_dikonsumsi";"persentase_rtup_belum_dijual"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310010] PAGA";"53";"5310";"5310010";"63.80";"34.37";"1.72";"0.43"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310011] MEGO";"53";"5310";"5310011";"46.32";"50.63";"3.05";"0.18"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310012] TANA WAWO";"53";"5310";"5310012";"14.29";"71.43";"0.00";"14.29"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310020] LELA";"53";"5310";"5310020";"56.85";"41.84";"0.52";"0.85"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310030] BOLA";"53";"5310";"5310030";"84.37";"14.91";"0.72";"0.24"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310031] DORENG";"53";"5310";"5310031";"51.13";"47.44";"1.50";"0.34"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310032] MAPITARA";"53";"5310";"5310032";"20.80";"78.32";"0.88";"0.29"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310040] TALIBURA";"53";"5310";"5310040";"30.40";"57.32";"12.15";"0.50"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310041] WAIGETE";"53";"5310";"5310041";"41.46";"56.34";"2.11";"0.35"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310042] WAIBLAMA";"53";"5310";"5310042";"48.30";"49.27";"2.26";"0.16"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310050] KEWAPANTE";"53";"5310";"5310050";"35.16";"61.13";"3.57";"0.14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"32.98";"65.48";"1.69";"0.56"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310052] KANGAE";"53";"5310";"5310052";"24.05";"69.34";"6.07";"0.54"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310061] PALUE";"53";"5310";"5310061";"76.99";"22.77";"0.23";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310062] KOTING";"53";"5310";"5310062";"34.41";"65.09";"0.29";"0.20"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310063] NELLE";"53";"5310";"5310063";"8.01";"89.90";"1.92";"0.17"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310070] NITA";"53";"5310";"5310070";"39.23";"59.80";"1.12";"0.15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310071] MAGEPANDA";"53";"5310";"5310071";"31.65";"57.91";"10.44";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310080] ALOK";"53";"5310";"5310080";"21.25";"65.63";"13.13";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310081] ALOK BARAT";"53";"5310";"5310081";"64.71";"22.06";"11.76";"1.47"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"42.54";"42.54";"14.93";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310] SIKKA";"53";"5310";"5310999";"45.21";"51.64";"3.03";"0.34"
