"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"mean_luas_lahan_sawah";"mean_luas_lahan_bukan_sawah";"mean_luas_lahan_padang_rumput_sementara";"mean_luas_lahan_padang_rumput_permanen";"mean_luas_lahan_menunggu_penanaman";"mean_luas_lahan_tanaman_tahunan";"mean_luas_lahan_kandang_ternak";"mean_luas_lahan_kehutanan";"mean_luas_lahan_budidaya_ikan";"mean_luas_bukan_lahan_pertanian";"mean_luas_lahan_dikuasai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"234.47";"799.36";"0.00";"0.60";"753.15";"2959.95";"8.67";"120.67";"0.01";"145.27";"5022.14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"363.04";"1737.61";"4.69";"3.48";"581.89";"8112.70";"45.99";"112.61";"0.00";"281.80";"11243.79"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"171.34";"1918.37";"41.83";"54.00";"1332.24";"4456.32";"69.08";"126.74";"0.00";"11.45";"8181.38"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"5.47";"556.19";"0.00";"2.50";"52.61";"5464.54";"8.33";"6.80";"0.00";"2.25";"6098.69"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"3.42";"189.80";"0.54";"22.18";"486.67";"3476.06";"10.15";"25.48";"0.02";"121.96";"4336.28"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"0.64";"249.60";"3.50";"62.81";"868.37";"5022.29";"21.79";"53.21";"0.20";"276.11";"6558.52"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"1.04";"1173.12";"0.87";"12.14";"722.91";"3891.25";"25.59";"14.15";"0.00";"86.10";"5927.17"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"168.59";"2017.87";"5.49";"13.42";"330.31";"3920.22";"17.33";"478.34";"0.51";"177.71";"7129.78"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"126.26";"957.43";"1.24";"1.46";"152.59";"2841.45";"7.19";"51.35";"0.05";"131.51";"4270.52"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"281.63";"2536.74";"12.29";"31.99";"809.71";"6084.83";"55.84";"178.98";"0.21";"856.79";"10849.01"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1.52";"711.37";"0.20";"8.97";"823.99";"1704.55";"10.18";"31.97";"0.00";"102.00";"3394.76"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0.36";"242.88";"0.25";"41.14";"492.91";"5125.40";"13.72";"61.00";"0.00";"184.54";"6162.20"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"10.80";"1599.39";"0.00";"0.00";"86.99";"1324.91";"16.92";"65.31";"0.00";"693.83";"3798.14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"3.12";"642.59";"4.95";"0.00";"105.33";"1297.12";"4.26";"0.44";"0.00";"75.48";"2133.28"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"31.68";"709.94";"0.00";"0.00";"47.25";"2903.58";"16.70";"45.98";"0.00";"77.77";"3832.90"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"11.91";"800.91";"0.00";"0.00";"103.96";"950.75";"6.27";"152.71";"0.02";"955.61";"2982.14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"112.72";"634.05";"3.33";"11.09";"224.59";"5321.39";"20.08";"95.63";"0.01";"301.66";"6724.54"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1328.41";"553.14";"0.00";"15.70";"385.36";"1205.79";"7.20";"21.65";"0.00";"444.67";"3961.93"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"36.52";"639.66";"4.80";"5.24";"51.32";"484.73";"4.46";"17.60";"0.03";"89.02";"1333.39"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"41.27";"364.83";"0.04";"2.38";"141.52";"383.43";"11.61";"10.09";"0.02";"237.24";"1192.43"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"44.62";"1587.30";"16.81";"27.01";"271.75";"1073.26";"8.54";"30.44";"0.01";"58.61";"3118.33"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"154.47";"1016.11";"4.43";"13.59";"382.31";"3159.11";"16.93";"95.04";"0.07";"239.28";"5081.33"
