"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_utp_buah_alpukat";"n_utp_buah_anggur";"n_utp_buah_apel";"n_utp_buah_belimbing_dewa";"n_utp_buah_belimbing_demak_kunir";"n_utp_buah_belimbing_karang_sari";"n_utp_buah_belimbing_lainnya";"n_utp_buah_belimbing";"n_utp_buah_naga";"n_utp_buah_srikaya";"n_utp_buah_cempedak";"n_utp_buah_duku";"n_utp_buah_durian_monthong";"n_utp_buah_durian_lai";"n_utp_buah_durian_lainnya";"n_utp_buah_durian";"n_utp_buah_duwet";"n_utp_buah_jambu_air";"n_utp_buah_jambu_air_citra";"n_utp_buah_jambu_air_dalhari";"n_utp_buah_jambu_air_camplong";"n_utp_buah_jambu_biji";"n_utp_buah_jambu_biji_putih";"n_utp_buah_jambu_biji_merah";"n_utp_buah_jambu_bol";"n_utp_buah_jambu_air_total";"n_utp_buah_jambu_biji_total";"n_utp_buah_jeruk_siam";"n_utp_buah_jeruk_keprok";"n_utp_buah_jeruk_besar";"n_utp_buah_jeruk_manis";"n_utp_buah_jeruk_lainnya";"n_utp_buah_jeruk";"n_utp_buah_kedondong";"n_utp_buah_kesemek";"n_utp_buah_langsat";"n_utp_buah_lengkeng";"n_utp_buah_mangga_arumanis";"n_utp_buah_mangga_cengkir";"n_utp_buah_mangga_gedong_gincu";"n_utp_buah_mangga_gedong";"n_utp_buah_mangga_kweni";"n_utp_buah_mangga_manalagi";"n_utp_buah_mangga_lainnya";"n_utp_buah_mangga";"n_utp_buah_manggis";"n_utp_buah_markisa_konyal";"n_utp_buah_markisa_siuh";"n_utp_buah_markisa_lainnya";"n_utp_buah_markisa";"n_utp_buah_matoa_buah";"n_utp_buah_nangka";"n_utp_buah_nenas_queen";"n_utp_buah_nenas_smooth_cayenne";"n_utp_buah_nenas_lainnya";"n_utp_buah_nenas";"n_utp_buah_pepaya_besar_dampit";"n_utp_buah_pepaya_sedang_calina";"n_utp_buah_pepaya_kecil_hawaii";"n_utp_buah_pepaya_lainnya";"n_utp_buah_pepaya";"n_utp_buah_pisang_mas_lampung";"n_utp_buah_pisang_ambon";"n_utp_buah_pisang_kepok";"n_utp_buah_pisang_raja";"n_utp_buah_pisang_lainnya";"n_utp_buah_pisang";"n_utp_buah_rambutan_binjai";"n_utp_buah_rambutan_rapiah";"n_utp_buah_rambutan_lainnya";"n_utp_buah_rambutan";"n_utp_buah_salak_pondoh";"n_utp_buah_salak_gula_pasir";"n_utp_buah_salak_lainnya";"n_utp_buah_salak";"n_utp_buah_sawo";"n_utp_buah_sirsak";"n_utp_buah_sukun";"n_utp_buah_terong_brastagi";"n_utp_buah_buahan_lainnya";"n_utp_sayuran_blimbing_wuluh";"n_utp_sayuran_jengkol";"n_utp_sayuran_kluwih";"n_utp_sayuran_melinjo";"n_utp_sayuran_petai";"n_utp_sayuran_lainnya";"n_utp_obat_daun_ungu";"n_utp_obat_dlingo";"n_utp_obat_jati_belanda";"n_utp_obat_jojoba";"n_utp_obat_kapulaga";"n_utp_obat_lavander";"n_utp_obat_mahkota_dewa";"n_utp_obat_mengkudu";"n_utp_obat_paliasa";"n_utp_obat_salam";"n_utp_obat_sereh";"n_utp_obat_sembung";"n_utp_obat_sirih";"n_utp_obat_tribulus";"n_utp_obat_zodiak";"n_utp_obat_cincau";"n_utp_obat_buah_merah";"n_utp_obat_jeruk_nipis";"n_utp_obat_lainnya";"n_utp_hias_anthurium_bunga";"n_utp_hias_anthurium_daun";"n_utp_hias_bambu_hias";"n_utp_hias_bougenvillea_spp";"n_utp_hias_caladium";"n_utp_hias_dieffenbachia";"n_utp_hias_euphorbia";"n_utp_hias_kaktus";"n_utp_hias_phylodendron";"n_utp_hias_ponix";"n_utp_hias_polyscias";"n_utp_hias_soka_ixora";"n_utp_hias_tabulampot";"n_utp_hias_lainnya"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"50";"0";"0";"0";"0";"0";"0";"0";"4";"2";"0";"0";"4";"0";"21";"25";"1";"6";"0";"0";"0";"1";"0";"0";"0";"6";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"88";"0";"1";"2";"1";"1";"82";"164";"0";"0";"0";"0";"0";"0";"64";"19";"0";"6";"25";"15";"30";"0";"8";"52";"19";"22";"690";"1";"309";"832";"0";"0";"1";"1";"2";"0";"0";"2";"1";"4";"12";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"2";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"420";"0";"0";"1";"1";"0";"0";"2";"5";"1";"1";"0";"1";"17";"91";"109";"2";"4";"0";"0";"0";"3";"0";"0";"0";"4";"3";"2";"1";"0";"2";"2";"6";"0";"0";"0";"1";"8";"0";"2";"0";"0";"0";"11";"20";"0";"0";"0";"0";"0";"0";"116";"14";"4";"69";"87";"1";"26";"1";"5";"31";"18";"12";"731";"4";"144";"825";"2";"2";"9";"13";"0";"3";"21";"24";"3";"7";"2";"0";"0";"0";"0";"0";"0";"23";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"24";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"91";"0";"0";"1";"0";"0";"0";"1";"3";"41";"1";"0";"2";"0";"0";"2";"0";"6";"0";"0";"0";"1";"0";"0";"0";"6";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"61";"1";"0";"0";"0";"3";"41";"94";"0";"0";"0";"0";"0";"0";"109";"3";"0";"6";"9";"19";"39";"5";"7";"69";"8";"3";"715";"2";"131";"798";"0";"0";"0";"0";"2";"0";"0";"2";"1";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"359";"0";"0";"0";"0";"0";"0";"0";"4";"0";"1";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"0";"0";"0";"4";"1";"0";"0";"0";"1";"9";"10";"0";"0";"0";"0";"52";"0";"0";"0";"0";"0";"49";"96";"0";"0";"0";"0";"0";"0";"9";"0";"1";"16";"17";"2";"4";"1";"2";"8";"4";"1";"513";"0";"16";"522";"0";"0";"5";"5";"0";"0";"22";"22";"0";"0";"0";"0";"0";"1";"0";"0";"0";"10";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"6";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"47";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"2";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"41";"0";"0";"2";"0";"0";"35";"71";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"2";"6";"5";"0";"0";"11";"2";"0";"490";"0";"32";"509";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"352";"0";"0";"1";"0";"0";"0";"1";"9";"11";"1";"0";"2";"3";"13";"18";"8";"4";"0";"0";"0";"1";"0";"0";"0";"4";"1";"1";"0";"1";"6";"1";"9";"0";"0";"0";"0";"55";"0";"0";"2";"0";"1";"14";"68";"0";"0";"0";"0";"0";"0";"15";"7";"1";"26";"34";"2";"16";"0";"9";"27";"5";"17";"1244";"13";"83";"1298";"0";"28";"31";"59";"3";"9";"24";"36";"1";"4";"0";"0";"0";"2";"0";"0";"0";"8";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"22";"0";"22";"0";"0";"0";"0";"9";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"1";"0";"2";"1";"0";"0";"1";"231";"1";"1";"0";"1";"15";"43";"278";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"1";"3";"1";"2";"7";"5";"8";"254";"5";"18";"278";"1";"1";"0";"2";"0";"0";"0";"0";"1";"1";"2";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"8";"1";"0";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"8";"0";"0";"0";"0";"1";"1";"0";"8";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"135";"7";"2";"2";"2";"20";"152";"294";"0";"0";"0";"0";"0";"0";"5";"0";"0";"1";"1";"11";"9";"1";"2";"23";"4";"3";"237";"3";"41";"268";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"1";"0";"2";"0";"0";"0";"1";"0";"0";"0";"1";"0";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"4";"0";"0";"0";"0";"0";"3";"3";"0";"0";"1";"0";"0";"0";"1";"1";"0";"3";"0";"0";"0";"3";"0";"0";"0";"3";"3";"0";"0";"0";"1";"1";"2";"0";"0";"0";"0";"127";"0";"4";"2";"0";"2";"24";"149";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"5";"2";"3";"13";"1";"0";"76";"1";"21";"91";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"52";"3";"0";"0";"0";"0";"0";"0";"4";"1";"2";"0";"1";"0";"0";"1";"1";"4";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"155";"0";"5";"3";"0";"15";"9";"175";"0";"0";"0";"0";"0";"0";"23";"12";"0";"0";"12";"28";"24";"1";"5";"58";"3";"9";"309";"30";"22";"345";"1";"1";"0";"2";"4";"0";"0";"4";"2";"0";"3";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"3";"0";"0";"0";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"2376";"5";"1";"4";"1";"0";"9";"14";"67";"74";"9";"1";"51";"34";"299";"384";"24";"69";"0";"0";"0";"16";"3";"1";"0";"69";"19";"11";"1";"3";"18";"22";"54";"3";"0";"0";"8";"1335";"11";"20";"36";"4";"76";"647";"2012";"0";"0";"0";"0";"0";"0";"557";"316";"11";"490";"750";"130";"269";"35";"81";"506";"120";"112";"10682";"77";"1367";"11456";"7";"41";"73";"121";"16";"13";"212";"241";"23";"40";"47";"0";"3";"4";"3";"0";"0";"264";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"48";"0";"104";"0";"0";"0";"0";"50";"1";"2";"3";"4";"5";"4";"0";"1";"1";"1";"0";"0";"1";"0";"8"
