"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"sum_jumlah_tanaman_buah_alpukat";"sum_jumlah_tanaman_buah_anggur";"sum_jumlah_tanaman_buah_apel";"sum_jumlah_tanaman_buah_belimbing_dewa";"sum_jumlah_tanaman_buah_belimbing_demak_kunir";"sum_jumlah_tanaman_buah_belimbing_karang_sari";"sum_jumlah_tanaman_buah_belimbing_lainnya";"sum_jumlah_tanaman_buah_naga";"sum_jumlah_tanaman_buah_srikaya";"sum_jumlah_tanaman_buah_cempedak";"sum_jumlah_tanaman_buah_duku";"sum_jumlah_tanaman_buah_durian_monthong";"sum_jumlah_tanaman_buah_durian_lai";"sum_jumlah_tanaman_buah_durian_lainnya";"sum_jumlah_tanaman_buah_duwet";"sum_jumlah_tanaman_buah_jambu_air";"sum_jumlah_tanaman_buah_jambu_air_citra";"sum_jumlah_tanaman_buah_jambu_air_dalhari";"sum_jumlah_tanaman_buah_jambu_air_camplong";"sum_jumlah_tanaman_buah_jambu_biji";"sum_jumlah_tanaman_buah_jambu_biji_putih";"sum_jumlah_tanaman_buah_jambu_biji_merah";"sum_jumlah_tanaman_buah_jambu_bol";"sum_jumlah_tanaman_buah_jeruk_siam";"sum_jumlah_tanaman_buah_jeruk_keprok";"sum_jumlah_tanaman_buah_jeruk_besar";"sum_jumlah_tanaman_buah_jeruk_manis";"sum_jumlah_tanaman_buah_jeruk_lainnya";"sum_jumlah_tanaman_buah_kedondong";"sum_jumlah_tanaman_buah_kesemek";"sum_jumlah_tanaman_buah_langsat";"sum_jumlah_tanaman_buah_lengkeng";"sum_jumlah_tanaman_buah_mangga_arumanis";"sum_jumlah_tanaman_buah_mangga_cengkir";"sum_jumlah_tanaman_buah_mangga_gedong_gincu";"sum_jumlah_tanaman_buah_mangga_gedong";"sum_jumlah_tanaman_buah_mangga_kweni";"sum_jumlah_tanaman_buah_mangga_manalagi";"sum_jumlah_tanaman_buah_mangga_lainnya";"sum_jumlah_tanaman_buah_manggis";"sum_jumlah_tanaman_buah_markisa_konyal";"sum_jumlah_tanaman_buah_markisa_siuh";"sum_jumlah_tanaman_buah_markisa_lainnya";"sum_jumlah_tanaman_buah_matoa_buah";"sum_jumlah_tanaman_buah_nangka";"sum_jumlah_tanaman_buah_nenas_queen";"sum_jumlah_tanaman_buah_nenas_smooth_cayenne";"sum_jumlah_tanaman_buah_nenas_lainnya";"sum_jumlah_tanaman_buah_pepaya_besar_dampit";"sum_jumlah_tanaman_buah_pepaya_sedang_calina";"sum_jumlah_tanaman_buah_pepaya_kecil_hawaii";"sum_jumlah_tanaman_buah_pepaya_lainnya";"sum_jumlah_tanaman_buah_pisang_mas_lampung";"sum_jumlah_tanaman_buah_pisang_ambon";"sum_jumlah_tanaman_buah_pisang_kepok";"sum_jumlah_tanaman_buah_pisang_raja";"sum_jumlah_tanaman_buah_pisang_lainnya";"sum_jumlah_tanaman_buah_rambutan_binjai";"sum_jumlah_tanaman_buah_rambutan_rapiah";"sum_jumlah_tanaman_buah_rambutan_lainnya";"sum_jumlah_tanaman_buah_salak_pondoh";"sum_jumlah_tanaman_buah_salak_gula_pasir";"sum_jumlah_tanaman_buah_salak_lainnya";"sum_jumlah_tanaman_buah_sawo";"sum_jumlah_tanaman_buah_sirsak";"sum_jumlah_tanaman_buah_sukun";"sum_jumlah_tanaman_buah_terong_brastagi";"sum_jumlah_tanaman_buah_buahan_lainnya";"sum_jumlah_tanaman_buah_belimbing_gabung";"sum_jumlah_tanaman_buah_durian_gabung";"sum_jumlah_tanaman_buah_jambu_air_gabung";"sum_jumlah_tanaman_buah_jambu_biji_gabung";"sum_jumlah_tanaman_buah_jeruk_gabung";"sum_jumlah_tanaman_buah_mangga_gabung";"sum_jumlah_tanaman_buah_markisa_gabung";"sum_jumlah_tanaman_buah_nenas_gabung";"sum_jumlah_tanaman_buah_pepaya_gabung";"sum_jumlah_tanaman_buah_pisang_gabung";"sum_jumlah_tanaman_buah_rambutan_gabung";"sum_jumlah_tanaman_buah_salak_gabung";"sum_jumlah_tanaman_sayuran_blimbing_wuluh";"sum_jumlah_tanaman_sayuran_jengkol";"sum_jumlah_tanaman_sayuran_kluwih";"sum_jumlah_tanaman_sayuran_melinjo";"sum_jumlah_tanaman_sayuran_petai";"sum_jumlah_tanaman_sayuran_lainnya";"sum_jumlah_tanaman_obat_daun_ungu";"sum_jumlah_tanaman_obat_dlingo";"sum_jumlah_tanaman_obat_jati_belanda";"sum_jumlah_tanaman_obat_jojoba";"sum_jumlah_tanaman_obat_kapulaga";"sum_jumlah_tanaman_obat_lavander";"sum_jumlah_tanaman_obat_mahkota_dewa";"sum_jumlah_tanaman_obat_mengkudu";"sum_jumlah_tanaman_obat_paliasa";"sum_jumlah_tanaman_obat_salam";"sum_jumlah_tanaman_obat_sereh";"sum_jumlah_tanaman_obat_sembung";"sum_jumlah_tanaman_obat_sirih";"sum_jumlah_tanaman_obat_tribulus";"sum_jumlah_tanaman_obat_zodiak";"sum_jumlah_tanaman_obat_cincau";"sum_jumlah_tanaman_obat_buah_merah";"sum_jumlah_tanaman_obat_jeruk_nipis";"sum_jumlah_tanaman_obat_lainnya";"sum_jumlah_tanaman_hias_anthurium_bunga";"sum_jumlah_tanaman_hias_anthurium_daun";"sum_jumlah_tanaman_hias_bambu_hias";"sum_jumlah_tanaman_hias_bougenvillea_spp";"sum_jumlah_tanaman_hias_caladium";"sum_jumlah_tanaman_hias_dieffenbachia";"sum_jumlah_tanaman_hias_euphorbia";"sum_jumlah_tanaman_hias_kaktus";"sum_jumlah_tanaman_hias_phylodendron";"sum_jumlah_tanaman_hias_ponix";"sum_jumlah_tanaman_hias_polyscias";"sum_jumlah_tanaman_hias_soka_ixora";"sum_jumlah_tanaman_hias_tabulampot";"sum_jumlah_tanaman_hias_lainnya"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"13";"0";"0";"0";"0";"0";"0";"85";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"5";"0";"0";"50";"0";"0";"0";"0";"0";"15400";"3";"361";"0";"0";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11";"0";"5";"50";"15764";"4";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"223";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30";"0";"31";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"333";"0";"0";"0";"0";"4";"6";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"3";"0";"5";"45";"13298";"0";"83";"0";"6";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30";"0";"0";"0";"343";"0";"0";"3";"13431";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"383";"0";"0";"0";"0";"0";"500";"0";"0";"0";"0";"0";"3";"20";"5";"0";"0";"0";"0";"0";"0";"0";"0";"70";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15";"20";"3965";"15";"295";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"500";"23";"0";"0";"72";"20";"0";"0";"0";"4310";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"200";"0";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"102";"0";"0";"0";"0";"0";"17";"31";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"0";"0";"1";"15";"0";"0";"0";"0";"0";"32";"0";"0";"14";"20";"1";"59";"9";"0";"3";"9424";"5";"231";"0";"0";"0";"0";"0";"670";"0";"0";"2";"0";"0";"17";"0";"1";"0";"0";"26";"0";"14";"89";"9663";"0";"670";"0";"0";"0";"0";"22";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"228";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"1221";"0";"0";"0";"0";"0";"0";"24";"0";"1";"0";"18";"1";"7";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"43";"0";"0";"1";"0";"0";"35";"0";"0";"0";"0";"0";"245";"253";"30";"298";"148";"103";"16";"60";"35";"25";"6293";"8";"518";"3";"17";"11";"15";"0";"11";"0";"17";"0";"0";"4";"0";"26";"1";"0";"3";"79";"0";"581";"327";"6879";"31";"26";"0";"0";"0";"0";"2";"28";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"19";"0";"0";"0";"0";"9";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"486";"20";"0";"0";"0";"0";"0";"8";"0";"0";"0";"68";"11";"579";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"41";"0";"0";"110";"8";"0";"0";"0";"245";"90";"4888";"5";"177";"0";"1";"9";"23";"10";"3224";"3";"50";"0";"0";"0";"0";"658";"0";"0";"0";"13";"0";"110";"8";"5405";"10";"3257";"0";"0";"0";"0";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"283";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"957";"0";"0";"0";"0";"0";"50";"0";"300";"0";"0";"0";"0";"28";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"653";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"28";"0";"0";"0";"14";"0";"0";"0";"653";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"282";"0";"0";"0";"0";"0";"1";"5";"0";"0";"0";"0";"0";"28";"21";"27";"0";"0";"0";"0";"17";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"909";"2";"4";"0";"0";"27";"127";"0";"0";"0";"0";"0";"57";"10304";"5";"10315";"42";"230";"47";"162";"87";"224";"18156";"183";"2815";"10";"0";"71";"100";"0";"0";"6";"28";"9";"0";"1";"1";"28";"27";"17";"1";"1069";"0";"20624";"481";"21465";"81";"100";"0";"0";"0";"0";"986";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"3";"0";"0";"0";"0";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"1529";"0";"0";"0";"0";"0";"30";"51";"250";"0";"0";"3";"0";"0";"155";"8";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"6";"454";"0";"0";"51";"0";"28";"358";"0";"0";"0";"0";"0";"148";"25";"0";"1853";"22";"416";"95";"52";"84";"80";"16422";"0";"598";"0";"0";"0";"5";"0";"12";"4";"37";"5";"0";"0";"30";"3";"8";"4";"2";"891";"0";"1878";"585";"17184";"0";"17";"0";"0";"0";"0";"0";"14";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"62";"0";"3";"0";"0";"0";"0";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"15";"0";"0";"0";"0";"0";"0";"30";"0";"0";"0";"0";"0";"30";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"29";"0";"0";"2";"0";"4";"1";"0";"0";"0";"0";"0";"22";"0";"0";"884";"0";"11";"0";"50";"0";"30";"1961";"8";"342";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30";"1";"0";"0";"36";"0";"884";"61";"2341";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"0";"0";"0";"0";"0";"0";"0"
