"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_seluruhnya_dijual";"n_utp_sebagian_besar_dijual";"n_utp_sebagian_besar_dikonsumsi_sendiri";"n_utp_seluruhnya_dikonsumsi_sendiri";"n_utp_belum_dijual"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1206";"[5310010] PAGA";"53";"5310";"5310010";"0";"0";"0";"4";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1206";"[5310011] MEGO";"53";"5310";"5310011";"0";"0";"0";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1206";"[5310012] TANA WAWO";"53";"5310";"5310012";"1";"0";"0";"16";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1206";"[5310020] LELA";"53";"5310";"5310020";"0";"0";"0";"2";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1206";"[5310030] BOLA";"53";"5310";"5310030";"3";"30";"5";"18";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1206";"[5310031] DORENG";"53";"5310";"5310031";"1";"2";"1";"2";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1206";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"0";"0";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1206";"[5310040] TALIBURA";"53";"5310";"5310040";"1";"148";"13";"137";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1206";"[5310041] WAIGETE";"53";"5310";"5310041";"0";"3";"0";"6";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1206";"[5310042] WAIBLAMA";"53";"5310";"5310042";"3";"5";"1";"10";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1206";"[5310050] KEWAPANTE";"53";"5310";"5310050";"2";"4";"0";"3";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1206";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"1";"1";"5";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1206";"[5310052] KANGAE";"53";"5310";"5310052";"0";"4";"1";"4";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1206";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1206";"[5310062] KOTING";"53";"5310";"5310062";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1206";"[5310063] NELLE";"53";"5310";"5310063";"0";"1";"0";"2";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1206";"[5310070] NITA";"53";"5310";"5310070";"1";"28";"11";"45";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1206";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"0";"1";"2";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1206";"[5310080] ALOK";"53";"5310";"5310080";"0";"0";"0";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1206";"[5310081] ALOK BARAT";"53";"5310";"5310081";"0";"0";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1206";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1206";"[5310] SIKKA";"53";"5310";"5310999";"12";"226";"35";"260";"3"
