tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_rtup_selain_ternak_besar_tujuan_pengembangbiakan;n_rtup_selain_ternak_besar_tujuan_penggemukan;n_rtup_selain_ternak_besar_tujuan_pembibitan;n_rtup_selain_ternak_besar_tujuan_pembesaran;n_rtup_selain_ternak_besar_tujuan_produksi;jumlah;n_rtup_usaha_selain_ternak_besar
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310010] PAGA;53;5310;5310010;10;0;0;0;0;10;10
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310011] MEGO;53;5310;5310011;29;2;0;0;0;31;31
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310012] TANA WAWO;53;5310;5310012;9;2;0;0;0;11;11
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310020] LELA;53;5310;5310020;15;1;0;0;0;16;16
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310030] BOLA;53;5310;5310030;1;1;0;0;0;2;2
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310031] DORENG;53;5310;5310031;3;4;0;0;0;7;7
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310032] MAPITARA;53;5310;5310032;19;4;0;0;0;23;23
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310040] TALIBURA;53;5310;5310040;1;0;0;0;0;1;1
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310041] WAIGETE;53;5310;5310041;5;1;0;0;0;6;6
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310050] KEWAPANTE;53;5310;5310050;3;2;0;0;0;5;5
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310051] HEWOKLOANG;53;5310;5310051;1;0;0;0;0;1;1
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310052] KANGAE;53;5310;5310052;13;4;0;0;0;17;17
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310062] KOTING;53;5310;5310062;4;2;0;0;0;6;6
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310063] NELLE;53;5310;5310063;7;0;0;0;0;7;7
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310070] NITA;53;5310;5310070;16;12;0;0;0;28;28
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310071] MAGEPANDA;53;5310;5310071;29;43;0;0;0;72;72
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310080] ALOK;53;5310;5310080;7;3;0;0;0;10;10
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310081] ALOK BARAT;53;5310;5310081;4;12;0;0;0;16;16
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310082] ALOK TIMUR;53;5310;5310082;5;6;0;0;0;11;11
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4102;[5310] SIKKA;53;5310;5310999;181;99;0;0;0;280;280
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310010] PAGA;53;5310;5310010;469;36;2;0;0;507;507
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310011] MEGO;53;5310;5310011;552;29;0;0;0;581;581
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310012] TANA WAWO;53;5310;5310012;359;37;0;0;0;396;396
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310020] LELA;53;5310;5310020;426;45;0;0;0;471;471
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310030] BOLA;53;5310;5310030;513;184;3;0;0;700;700
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310031] DORENG;53;5310;5310031;486;172;1;0;0;659;659
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310032] MAPITARA;53;5310;5310032;340;24;0;0;0;364;364
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310040] TALIBURA;53;5310;5310040;1063;83;0;0;0;1146;1146
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310041] WAIGETE;53;5310;5310041;738;248;1;0;0;987;987
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310042] WAIBLAMA;53;5310;5310042;340;2;0;0;0;342;342
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310050] KEWAPANTE;53;5310;5310050;536;106;0;0;0;642;642
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310051] HEWOKLOANG;53;5310;5310051;276;171;0;0;0;447;447
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310052] KANGAE;53;5310;5310052;924;179;2;0;0;1105;1105
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310061] PALUE;53;5310;5310061;288;33;0;0;0;321;321
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310062] KOTING;53;5310;5310062;198;106;0;0;0;304;304
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310063] NELLE;53;5310;5310063;336;67;0;0;0;403;403
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310070] NITA;53;5310;5310070;637;287;2;0;0;926;926
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310071] MAGEPANDA;53;5310;5310071;364;406;3;0;0;773;773
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310080] ALOK;53;5310;5310080;568;248;1;0;0;817;817
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310081] ALOK BARAT;53;5310;5310081;194;530;0;0;0;724;724
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310082] ALOK TIMUR;53;5310;5310082;711;470;1;0;0;1182;1182
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4201;[5310] SIKKA;53;5310;5310999;10318;3463;16;0;0;13797;13797
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0
BAB_6_tabel_6_13_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0
