"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_tunggal";"n_rtup_campuran";"n_rtup_tumpang_sari";"n_rtup_asosiasi_antar_semusim";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310010] PAGA";"53";"5310";"5310010";"313";"617";"163";"14";"1104"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310011] MEGO";"53";"5310";"5310011";"40";"497";"2";"0";"539"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310012] TANA WAWO";"53";"5310";"5310012";"31";"277";"55";"3";"365"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310020] LELA";"53";"5310";"5310020";"32";"363";"0";"13";"401"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310030] BOLA";"53";"5310";"5310030";"38";"462";"39";"22";"560"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310031] DORENG";"53";"5310";"5310031";"14";"28";"64";"2";"107"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310032] MAPITARA";"53";"5310";"5310032";"2";"129";"0";"9";"140"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310040] TALIBURA";"53";"5310";"5310040";"258";"638";"256";"257";"1398"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310041] WAIGETE";"53";"5310";"5310041";"246";"594";"348";"316";"1490"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310042] WAIBLAMA";"53";"5310";"5310042";"14";"192";"114";"129";"447"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310050] KEWAPANTE";"53";"5310";"5310050";"209";"630";"243";"36";"1115"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"46";"104";"92";"1";"241"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310052] KANGAE";"53";"5310";"5310052";"245";"680";"1123";"8";"2055"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310061] PALUE";"53";"5310";"5310061";"17";"1424";"2";"0";"1440"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310062] KOTING";"53";"5310";"5310062";"37";"522";"24";"14";"593"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310063] NELLE";"53";"5310";"5310063";"35";"461";"166";"1";"657"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310070] NITA";"53";"5310";"5310070";"121";"855";"396";"10";"1378"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310071] MAGEPANDA";"53";"5310";"5310071";"433";"86";"156";"25";"693"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310080] ALOK";"53";"5310";"5310080";"95";"449";"149";"566";"1241"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310081] ALOK BARAT";"53";"5310";"5310081";"470";"139";"293";"73";"970"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"195";"1127";"199";"41";"1556"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310] SIKKA";"53";"5310";"5310999";"2891";"10274";"3884";"1540";"18490"
