"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"jenis_produksi";"satuan_produksi";"ID";"sum_jumlah_tanaman_belum_menghasilkan";"sum_jumlah_tanaman_menghasilkan";"sum_jumlah_tanaman_tidak_menghasilkan";"sum_produksi_volume";"sum_produksi_nilai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2138";"[5310011] MEGO";"53";"5310";"5310011";"5";"1";"2749643";"0";"4";"0";"20";"200"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2138";"[5310020] LELA";"53";"5310";"5310020";"5";"1";"2750836";"0";"1";"0";"20";"400"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2138";"[5310041] WAIGETE";"53";"5310";"5310041";"5";"1";"11003584";"0";"27";"3";"1498";"6121"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2138";"[5310042] WAIBLAMA";"53";"5310";"5310042";"5";"1";"2749561";"0";"4";"0";"20";"40"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2138";"[5310050] KEWAPANTE";"53";"5310";"5310050";"5";"1";"2750877";"0";"1";"0";"42";"50"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2138";"[5310052] KANGAE";"53";"5310";"5310052";"5";"1";"2750863";"0";"3";"0";"229";"1180"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2138";"[5310070] NITA";"53";"5310";"5310070";"5";"1";"2750724";"0";"1";"0";"180";"200"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2138";"[5310071] MAGEPANDA";"53";"5310";"5310071";"5";"1";"5500269";"0";"7";"0";"124";"460"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2138";"[5310080] ALOK";"53";"5310";"5310080";"5";"1";"10999378";"1";"17";"0";"2871";"11060"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2138";"[5310081] ALOK BARAT";"53";"5310";"5310081";"5";"1";"2750696";"0";"3";"0";"34";"180"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2138";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"5";"1";"13753561";"0";"28";"0";"2147";"6845"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2138";"[5310] SIKKA";"53";"5310";"5310999";"5";"1";"60509992";"1";"96";"3";"7185";"26736"
