"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_utp_hias_anthurium_bunga_dipanen_sendiri";"n_utp_hias_anthurium_bunga_diijonkan";"n_utp_hias_anthurium_bunga_ditebaskan";"n_utp_hias_anthurium_bunga_tidak_panen";"n_utp_hias_anthurium_bunga_belum_panen";"n_utp_hias_anthurium_daun_dipanen_sendiri";"n_utp_hias_anthurium_daun_diijonkan";"n_utp_hias_anthurium_daun_ditebaskan";"n_utp_hias_anthurium_daun_tidak_panen";"n_utp_hias_anthurium_daun_belum_panen";"n_utp_hias_bambu_hias_dipanen_sendiri";"n_utp_hias_bambu_hias_diijonkan";"n_utp_hias_bambu_hias_ditebaskan";"n_utp_hias_bambu_hias_tidak_panen";"n_utp_hias_bambu_hias_belum_panen";"n_utp_hias_bougenvillea_spp_dipanen_sendiri";"n_utp_hias_bougenvillea_spp_diijonkan";"n_utp_hias_bougenvillea_spp_ditebaskan";"n_utp_hias_bougenvillea_spp_tidak_panen";"n_utp_hias_bougenvillea_spp_belum_panen";"n_utp_hias_caladium_dipanen_sendiri";"n_utp_hias_caladium_diijonkan";"n_utp_hias_caladium_ditebaskan";"n_utp_hias_caladium_tidak_panen";"n_utp_hias_caladium_belum_panen";"n_utp_hias_dieffenbachia_dipanen_sendiri";"n_utp_hias_dieffenbachia_diijonkan";"n_utp_hias_dieffenbachia_ditebaskan";"n_utp_hias_dieffenbachia_tidak_panen";"n_utp_hias_dieffenbachia_belum_panen";"n_utp_hias_euphorbia_dipanen_sendiri";"n_utp_hias_euphorbia_diijonkan";"n_utp_hias_euphorbia_ditebaskan";"n_utp_hias_euphorbia_tidak_panen";"n_utp_hias_euphorbia_belum_panen";"n_utp_hias_kaktus_dipanen_sendiri";"n_utp_hias_kaktus_diijonkan";"n_utp_hias_kaktus_ditebaskan";"n_utp_hias_kaktus_tidak_panen";"n_utp_hias_kaktus_belum_panen";"n_utp_hias_phylodendron_dipanen_sendiri";"n_utp_hias_phylodendron_diijonkan";"n_utp_hias_phylodendron_ditebaskan";"n_utp_hias_phylodendron_tidak_panen";"n_utp_hias_phylodendron_belum_panen";"n_utp_hias_ponix_dipanen_sendiri";"n_utp_hias_ponix_diijonkan";"n_utp_hias_ponix_ditebaskan";"n_utp_hias_ponix_tidak_panen";"n_utp_hias_ponix_belum_panen";"n_utp_hias_polyscias_dipanen_sendiri";"n_utp_hias_polyscias_diijonkan";"n_utp_hias_polyscias_ditebaskan";"n_utp_hias_polyscias_tidak_panen";"n_utp_hias_polyscias_belum_panen";"n_utp_hias_soka_ixora_dipanen_sendiri";"n_utp_hias_soka_ixora_diijonkan";"n_utp_hias_soka_ixora_ditebaskan";"n_utp_hias_soka_ixora_tidak_panen";"n_utp_hias_soka_ixora_belum_panen";"n_utp_hias_tabulampot_dipanen_sendiri";"n_utp_hias_tabulampot_diijonkan";"n_utp_hias_tabulampot_ditebaskan";"n_utp_hias_tabulampot_tidak_panen";"n_utp_hias_tabulampot_belum_panen";"n_utp_hias_lainnya_dipanen_sendiri";"n_utp_hias_lainnya_diijonkan";"n_utp_hias_lainnya_ditebaskan";"n_utp_hias_lainnya_tidak_panen";"n_utp_hias_lainnya_belum_panen"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"2";"0";"0";"0";"0";"2";"0";"0";"0";"1";"2";"0";"0";"0";"2";"4";"0";"0";"0";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"1";"1";"0"
