"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"jenis_produksi";"satuan_produksi";"ID";"sum_jumlah_tanaman_belum_menghasilkan";"sum_jumlah_tanaman_menghasilkan";"sum_jumlah_tanaman_tidak_menghasilkan";"sum_produksi_volume";"sum_produksi_nilai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2703";"[5310062] KOTING";"53";"5310";"5310062";"22";"3";"527829";"0";"500";"0";"2";"1400"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2703";"[5310081] ALOK BARAT";"53";"5310";"5310081";"22";"3";"527871";"14";"7";"3";"4";"100"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2703";"[5310] SIKKA";"53";"5310";"5310999";"22";"3";"1055700";"14";"507";"3";"6";"1500"
