tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_rtup_usaha_ternak_besar_produksinya_seluruhnya_dijual;n_rtup_usaha_ternak_besar_produksinya_sebagian_besar_dijual;n_rtup_usaha_ternak_besar_produksinya_sisanya_dijual;n_rtup_usaha_ternak_besar_produksinya_belum_dijual;jumlah;n_rtup_usaha_ternak_besar
BAB_6_tabel_6_23_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0
BAB_6_tabel_6_23_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0
BAB_6_tabel_6_23_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0
BAB_6_tabel_6_23_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0
BAB_6_tabel_6_23_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0
BAB_6_tabel_6_23_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0
BAB_6_tabel_6_23_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0
BAB_6_tabel_6_23_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310] SIKKA;53;5310;5310999;0;0;0;0;0;0
BAB_6_tabel_6_23_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310010] PAGA;53;5310;5310010;53;30;7;178;268;268
BAB_6_tabel_6_23_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310011] MEGO;53;5310;5310011;115;19;12;291;437;437
BAB_6_tabel_6_23_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310012] TANA WAWO;53;5310;5310012;51;55;36;196;338;338
BAB_6_tabel_6_23_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310020] LELA;53;5310;5310020;16;17;0;80;113;113
BAB_6_tabel_6_23_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310030] BOLA;53;5310;5310030;49;9;5;152;215;215
BAB_6_tabel_6_23_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310031] DORENG;53;5310;5310031;26;27;6;160;219;219
BAB_6_tabel_6_23_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310032] MAPITARA;53;5310;5310032;5;13;50;96;164;164
BAB_6_tabel_6_23_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310040] TALIBURA;53;5310;5310040;248;45;4;444;741;741
BAB_6_tabel_6_23_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310041] WAIGETE;53;5310;5310041;76;56;10;268;410;410
BAB_6_tabel_6_23_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310042] WAIBLAMA;53;5310;5310042;40;6;1;105;152;152
BAB_6_tabel_6_23_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310050] KEWAPANTE;53;5310;5310050;75;29;1;106;211;211
BAB_6_tabel_6_23_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310051] HEWOKLOANG;53;5310;5310051;3;5;1;26;35;35
BAB_6_tabel_6_23_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310052] KANGAE;53;5310;5310052;73;65;3;185;326;326
BAB_6_tabel_6_23_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0
BAB_6_tabel_6_23_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310062] KOTING;53;5310;5310062;0;3;0;5;8;8
BAB_6_tabel_6_23_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310063] NELLE;53;5310;5310063;15;1;0;6;22;22
