"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"mean_luas_lahan_sawah";"mean_luas_lahan_bukan_sawah";"mean_luas_lahan_padang_rumput_sementara";"mean_luas_lahan_padang_rumput_permanen";"mean_luas_lahan_menunggu_penanaman";"mean_luas_lahan_tanaman_tahunan";"mean_luas_lahan_kandang_ternak";"mean_luas_lahan_kehutanan";"mean_luas_lahan_budidaya_ikan";"mean_luas_bukan_lahan_pertanian";"mean_luas_lahan_dikuasai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"255.31";"870.40";"0.00";"0.65";"820.09";"3223.03";"9.44";"131.39";"0.01";"158.19";"5468.51"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"376.48";"1801.96";"4.86";"3.61";"603.44";"8413.17";"47.69";"116.78";"0.00";"292.24";"11660.23"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"172.61";"1932.57";"42.14";"54.40";"1342.10";"4489.29";"69.59";"127.68";"0.00";"11.54";"8241.91"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"6.03";"613.22";"0.00";"2.76";"58.00";"6024.85";"9.19";"7.49";"0.00";"2.48";"6724.02"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"3.66";"203.32";"0.58";"23.76";"521.35";"3723.76";"10.88";"27.29";"0.02";"130.65";"4645.28"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"0.68";"267.28";"3.75";"67.26";"929.88";"5378.00";"23.33";"56.98";"0.21";"295.67";"7023.03"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"1.16";"1310.65";"0.97";"13.56";"807.66";"4347.44";"28.59";"15.81";"0.00";"96.20";"6622.05"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"201.37";"2410.31";"6.56";"16.03";"394.55";"4682.62";"20.70";"571.37";"0.61";"212.27";"8516.38"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"139.80";"1060.11";"1.37";"1.61";"168.96";"3146.19";"7.96";"56.86";"0.05";"145.61";"4728.52"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"289.03";"2603.38";"12.61";"32.83";"830.98";"6244.66";"57.31";"183.68";"0.21";"879.30";"11133.99"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1.65";"771.34";"0.22";"9.73";"893.46";"1848.25";"11.04";"34.66";"0.00";"110.60";"3680.96"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0.39";"261.59";"0.27";"44.31";"530.87";"5520.14";"14.77";"65.70";"0.00";"198.75";"6636.79"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"12.18";"1803.61";"0.00";"0.00";"98.10";"1494.09";"19.08";"73.65";"0.00";"782.42";"4283.12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"3.17";"652.60";"5.02";"0.00";"106.97";"1317.33";"4.32";"0.45";"0.00";"76.66";"2166.52"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"32.50";"728.16";"0.00";"0.00";"48.46";"2978.09";"17.13";"47.16";"0.00";"79.76";"3931.25"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"12.42";"835.57";"0.00";"0.00";"108.45";"991.88";"6.54";"159.32";"0.02";"996.96";"3111.17"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"119.40";"671.66";"3.52";"11.75";"237.91";"5637.00";"21.27";"101.30";"0.01";"319.55";"7123.37"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1582.97";"659.14";"0.00";"18.71";"459.21";"1436.86";"8.58";"25.80";"0.00";"529.88";"4721.15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"51.89";"908.96";"6.82";"7.45";"72.93";"688.81";"6.34";"25.01";"0.04";"126.50";"1894.75"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"65.61";"579.99";"0.07";"3.79";"224.98";"609.56";"18.46";"16.04";"0.03";"377.16";"1895.68"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"59.97";"2133.45";"22.59";"36.31";"365.25";"1442.54";"11.48";"40.91";"0.01";"78.77";"4191.28"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"175.52";"1154.63";"5.03";"15.44";"434.43";"3589.78";"19.24";"108.00";"0.08";"271.90";"5774.05"
