"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"jenis_produksi";"satuan_produksi";"ID";"sum_jumlah_tanaman_belum_menghasilkan";"sum_jumlah_tanaman_menghasilkan";"sum_jumlah_tanaman_tidak_menghasilkan";"sum_produksi_volume";"sum_produksi_nilai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310010] PAGA";"53";"5310";"5310010";"5";"1";"3723868";"0";"50";"0";"3652";"3620"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310020] LELA";"53";"5310";"5310020";"5";"1";"7447892";"21";"20";"10";"44";"420"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310030] BOLA";"53";"5310";"5310030";"5";"1";"22343606";"7";"148";"11";"1846";"5173"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310031] DORENG";"53";"5310";"5310031";"5";"1";"7447847";"4";"8";"0";"67";"425"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310040] TALIBURA";"53";"5310";"5310040";"5";"1";"14895546";"42";"42";"0";"178.53";"780"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310041] WAIGETE";"53";"5310";"5310041";"5";"1";"14895129";"1";"22";"0";"165";"655"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310050] KEWAPANTE";"53";"5310";"5310050";"5";"1";"14895061";"45";"201";"0";"4268";"18980"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"5";"1";"3718670";"15";"10";"0";"63";"500"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310052] KANGAE";"53";"5310";"5310052";"5";"1";"26066241";"42";"145";"2";"1632";"14265"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310062] KOTING";"53";"5310";"5310062";"5";"1";"3723843";"0";"25";"0";"5";"40"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310063] NELLE";"53";"5310";"5310063";"5";"1";"11171512";"0";"44";"1";"255";"2628"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310070] NITA";"53";"5310";"5310070";"5";"1";"3723831";"0";"35";"0";"1205";"9600"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310071] MAGEPANDA";"53";"5310";"5310071";"5";"1";"3723818";"2";"1";"0";"5";"50"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310080] ALOK";"53";"5310";"5310080";"5";"1";"14890100";"23";"81";"16";"2008";"6565"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310081] ALOK BARAT";"53";"5310";"5310081";"5";"1";"3723803";"0";"7";"1";"207";"2055"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"5";"1";"18612757";"21";"276";"1";"3057";"9676"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310] SIKKA";"53";"5310";"5310999";"5";"1";"175003524";"223";"1115";"42";"18657.53";"75432"
