"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"jenis_produksi";"satuan_produksi";"ID";"sum_jumlah_tanaman_belum_menghasilkan";"sum_jumlah_tanaman_menghasilkan";"sum_jumlah_tanaman_tidak_menghasilkan";"sum_produksi_volume";"sum_produksi_nilai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2511";"[5310010] PAGA";"53";"5310";"5310010";"10";"1";"719019";"0";"12";"0";"40";"1200"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2511";"[5310020] LELA";"53";"5310";"5310020";"10";"1";"719071";"0";"4";"0";"30";"150"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2511";"[5310032] MAPITARA";"53";"5310";"5310032";"10";"1";"719048";"0";"10";"0";"5";"50"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2511";"[5310041] WAIGETE";"53";"5310";"5310041";"10";"1";"2156771";"0";"62";"0";"1561";"2294"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2511";"[5310050] KEWAPANTE";"53";"5310";"5310050";"10";"1";"2156720";"0";"80";"0";"284";"1620"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2511";"[5310052] KANGAE";"53";"5310";"5310052";"10";"1";"1437789";"0";"15";"0";"57";"105"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2511";"[5310063] NELLE";"53";"5310";"5310063";"10";"1";"718965";"4";"19";"0";"12";"164"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2511";"[5310070] NITA";"53";"5310";"5310070";"10";"1";"4313777";"96";"1475";"0";"3106";"55425"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2511";"[5310071] MAGEPANDA";"53";"5310";"5310071";"10";"1";"1437895";"0";"22";"0";"19";"200"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2511";"[5310081] ALOK BARAT";"53";"5310";"5310081";"10";"1";"2156799";"0";"30";"0";"350";"1875"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2511";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"10";"1";"719216";"5";"1";"0";"5";"30"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2511";"[5310] SIKKA";"53";"5310";"5310999";"10";"1";"17255070";"105";"1730";"0";"5469";"63113"
