tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;jenis_produksi;n_utp_seluruhnya_dijual;n_utp_sebagian_besar_dijual;n_utp_sebagian_besar_dikonsumsi_sendiri;n_utp_seluruhnya_dikonsumsi_sendiri;n_utp_belum_dijual
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310080] ALOK;53;5310;5310080;5;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310081] ALOK BARAT;53;5310;5310081;5;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310082] ALOK TIMUR;53;5310;5310082;5;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310] SIKKA;53;5310;5310999;5;0;1;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310010] PAGA;53;5310;5310010;5;7;14;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310011] MEGO;53;5310;5310011;5;45;19;3;0;1
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310012] TANA WAWO;53;5310;5310012;5;0;87;2;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310020] LELA;53;5310;5310020;5;7;6;4;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310030] BOLA;53;5310;5310030;5;11;1;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310031] DORENG;53;5310;5310031;5;3;9;2;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310032] MAPITARA;53;5310;5310032;5;2;1;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310040] TALIBURA;53;5310;5310040;5;0;3;3;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310041] WAIGETE;53;5310;5310041;5;6;7;2;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310042] WAIBLAMA;53;5310;5310042;5;1;2;0;0;1
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310050] KEWAPANTE;53;5310;5310050;5;9;7;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310051] HEWOKLOANG;53;5310;5310051;5;1;5;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310052] KANGAE;53;5310;5310052;5;3;1;1;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310061] PALUE;53;5310;5310061;5;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310062] KOTING;53;5310;5310062;5;9;5;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310063] NELLE;53;5310;5310063;5;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310070] NITA;53;5310;5310070;5;40;129;5;0;2
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310071] MAGEPANDA;53;5310;5310071;5;9;14;1;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310080] ALOK;53;5310;5310080;5;1;8;3;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310081] ALOK BARAT;53;5310;5310081;5;7;7;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310082] ALOK TIMUR;53;5310;5310082;5;2;4;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310] SIKKA;53;5310;5310999;5;163;329;26;0;4
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310010] PAGA;53;5310;5310010;25;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310011] MEGO;53;5310;5310011;25;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310012] TANA WAWO;53;5310;5310012;25;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310020] LELA;53;5310;5310020;25;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310030] BOLA;53;5310;5310030;25;1;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310031] DORENG;53;5310;5310031;25;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310032] MAPITARA;53;5310;5310032;25;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310040] TALIBURA;53;5310;5310040;25;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310041] WAIGETE;53;5310;5310041;25;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310042] WAIBLAMA;53;5310;5310042;25;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310050] KEWAPANTE;53;5310;5310050;25;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310051] HEWOKLOANG;53;5310;5310051;25;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310052] KANGAE;53;5310;5310052;25;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310061] PALUE;53;5310;5310061;25;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310062] KOTING;53;5310;5310062;25;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310063] NELLE;53;5310;5310063;25;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310070] NITA;53;5310;5310070;25;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310071] MAGEPANDA;53;5310;5310071;25;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310080] ALOK;53;5310;5310080;25;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310081] ALOK BARAT;53;5310;5310081;25;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310082] ALOK TIMUR;53;5310;5310082;25;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310] SIKKA;53;5310;5310999;25;1;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310010] PAGA;53;5310;5310010;26;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310011] MEGO;53;5310;5310011;26;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310012] TANA WAWO;53;5310;5310012;26;0;1;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310020] LELA;53;5310;5310020;26;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310030] BOLA;53;5310;5310030;26;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310031] DORENG;53;5310;5310031;26;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310032] MAPITARA;53;5310;5310032;26;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310040] TALIBURA;53;5310;5310040;26;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310041] WAIGETE;53;5310;5310041;26;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310042] WAIBLAMA;53;5310;5310042;26;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310050] KEWAPANTE;53;5310;5310050;26;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310051] HEWOKLOANG;53;5310;5310051;26;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310052] KANGAE;53;5310;5310052;26;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310061] PALUE;53;5310;5310061;26;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310062] KOTING;53;5310;5310062;26;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310063] NELLE;53;5310;5310063;26;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310070] NITA;53;5310;5310070;26;5;5;3;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310071] MAGEPANDA;53;5310;5310071;26;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310080] ALOK;53;5310;5310080;26;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310081] ALOK BARAT;53;5310;5310081;26;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310082] ALOK TIMUR;53;5310;5310082;26;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2423_2424;[5310] SIKKA;53;5310;5310999;26;5;6;3;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310010] PAGA;53;5310;5310010;21;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310011] MEGO;53;5310;5310011;21;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310012] TANA WAWO;53;5310;5310012;21;0;7;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310020] LELA;53;5310;5310020;21;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310030] BOLA;53;5310;5310030;21;0;3;2;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310031] DORENG;53;5310;5310031;21;4;19;3;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310032] MAPITARA;53;5310;5310032;21;10;5;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310040] TALIBURA;53;5310;5310040;21;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310041] WAIGETE;53;5310;5310041;21;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310042] WAIBLAMA;53;5310;5310042;21;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310050] KEWAPANTE;53;5310;5310050;21;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310051] HEWOKLOANG;53;5310;5310051;21;5;11;23;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310052] KANGAE;53;5310;5310052;21;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310061] PALUE;53;5310;5310061;21;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310062] KOTING;53;5310;5310062;21;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310063] NELLE;53;5310;5310063;21;0;1;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310070] NITA;53;5310;5310070;21;6;36;1;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310071] MAGEPANDA;53;5310;5310071;21;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310080] ALOK;53;5310;5310080;21;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310081] ALOK BARAT;53;5310;5310081;21;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310082] ALOK TIMUR;53;5310;5310082;21;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2603_2605;[5310] SIKKA;53;5310;5310999;21;25;82;29;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310010] PAGA;53;5310;5310010;15;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310011] MEGO;53;5310;5310011;15;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310012] TANA WAWO;53;5310;5310012;15;0;1;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310020] LELA;53;5310;5310020;15;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310030] BOLA;53;5310;5310030;15;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310031] DORENG;53;5310;5310031;15;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310032] MAPITARA;53;5310;5310032;15;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310040] TALIBURA;53;5310;5310040;15;0;0;1;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310041] WAIGETE;53;5310;5310041;15;7;120;5;0;4
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310042] WAIBLAMA;53;5310;5310042;15;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310050] KEWAPANTE;53;5310;5310050;15;7;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310051] HEWOKLOANG;53;5310;5310051;15;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310052] KANGAE;53;5310;5310052;15;0;1;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310061] PALUE;53;5310;5310061;15;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310062] KOTING;53;5310;5310062;15;0;0;1;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310063] NELLE;53;5310;5310063;15;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310070] NITA;53;5310;5310070;15;1;1;2;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310071] MAGEPANDA;53;5310;5310071;15;3;5;3;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310080] ALOK;53;5310;5310080;15;0;0;3;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310081] ALOK BARAT;53;5310;5310081;15;2;0;3;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310082] ALOK TIMUR;53;5310;5310082;15;0;0;1;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310] SIKKA;53;5310;5310999;15;20;128;19;0;4
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2201;[5310010] PAGA;53;5310;5310010;5;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2201;[5310011] MEGO;53;5310;5310011;5;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2201;[5310012] TANA WAWO;53;5310;5310012;5;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2201;[5310020] LELA;53;5310;5310020;5;0;1;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2201;[5310030] BOLA;53;5310;5310030;5;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2201;[5310031] DORENG;53;5310;5310031;5;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2201;[5310032] MAPITARA;53;5310;5310032;5;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2201;[5310040] TALIBURA;53;5310;5310040;5;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2201;[5310041] WAIGETE;53;5310;5310041;5;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2201;[5310042] WAIBLAMA;53;5310;5310042;5;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2201;[5310050] KEWAPANTE;53;5310;5310050;5;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2201;[5310051] HEWOKLOANG;53;5310;5310051;5;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2201;[5310052] KANGAE;53;5310;5310052;5;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2201;[5310061] PALUE;53;5310;5310061;5;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2201;[5310062] KOTING;53;5310;5310062;5;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2201;[5310063] NELLE;53;5310;5310063;5;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2201;[5310070] NITA;53;5310;5310070;5;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2201;[5310071] MAGEPANDA;53;5310;5310071;5;0;0;0;0;0
BAB_4_tabel_4_22_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2201;[5310080] ALOK;53;5310;5310080;5;0;0;0;0;0
