"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"mean_luas_lahan_sawah";"mean_luas_lahan_bukan_sawah";"mean_luas_lahan_padang_rumput_sementara";"mean_luas_lahan_padang_rumput_permanen";"mean_luas_lahan_menunggu_penanaman";"mean_luas_lahan_tanaman_tahunan";"mean_luas_lahan_kandang_ternak";"mean_luas_lahan_kehutanan";"mean_luas_lahan_budidaya_ikan";"mean_luas_bukan_lahan_pertanian";"mean_luas_lahan_dikuasai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"1075.52";"1566.61";"0.00";"890.50";"2792.19";"4448.14";"58.67";"1075.54";"20.00";"3544.90";"5468.51"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"1908.72";"2961.19";"2256.40";"322.31";"3134.65";"9613.86";"2050.59";"1342.44";"0.00";"9557.45";"11660.23"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"1290.54";"2317.76";"4113.44";"5622.18";"2803.88";"5052.97";"3596.15";"606.31";"0.00";"1192.18";"8241.91"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"1367.75";"1093.79";"0.00";"5000.00";"4046.73";"6847.80";"757.36";"647.19";"0.00";"2250.00";"6724.02"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"765.50";"417.63";"243.00";"6211.25";"1716.75";"3847.03";"166.01";"375.48";"39.00";"3213.99";"4645.28"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"362.50";"624.14";"8000.00";"3773.49";"1295.75";"5486.07";"256.39";"495.86";"149.67";"1090.59";"7023.03"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"1500.00";"1972.10";"1250.00";"5823.33";"5779.28";"4556.14";"5260.71";"656.90";"0.00";"4956.00";"6622.05"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"1778.73";"3066.17";"2850.89";"3484.33";"3170.20";"5901.16";"297.73";"1356.66";"397.33";"3270.06";"8516.38"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"1741.71";"1683.64";"1227.60";"1448.20";"2070.40";"3634.89";"148.75";"951.50";"59.00";"1283.03";"4728.52"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"2902.72";"3052.81";"3441.00";"3582.87";"2357.55";"6655.28";"1954.38";"751.72";"86.50";"4830.24";"11133.99"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1625.00";"1236.78";"435.00";"3830.40";"2956.68";"2437.52";"35.70";"290.42";"0.00";"1177.17";"3680.96"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"214.00";"572.86";"226.00";"8119.22";"2285.64";"5587.91";"405.98";"188.74";"0.00";"4148.54";"6636.79"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"3398.09";"2497.56";"0.00";"0.00";"2574.02";"2215.87";"115.28";"543.54";"0.00";"3407.14";"4283.12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"1966.67";"676.59";"1558.33";"0.00";"1877.99";"1768.80";"619.08";"166.00";"0.00";"2097.94";"2166.52"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"2089.50";"1206.72";"0.00";"0.00";"1684.43";"3356.55";"314.67";"509.60";"0.00";"614.22";"3931.25"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"1845.71";"1285.49";"0.00";"0.00";"1634.68";"1166.92";"20.49";"749.72";"12.00";"1945.29";"3111.17"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"1592.06";"1158.99";"2649.40";"2103.52";"4160.62";"6345.84";"199.90";"854.04";"12.33";"3442.70";"7123.37"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"2722.23";"1298.83";"0.00";"7078.50";"3341.02";"2111.11";"114.62";"522.81";"0.00";"5011.80";"4721.15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"4269.84";"1420.76";"1557.89";"1094.71";"2542.64";"1115.65";"26.20";"1008.78";"80.00";"2115.52";"1894.75"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"2905.90";"918.27";"120.00";"3437.00";"4346.45";"1432.04";"46.05";"728.27";"15.67";"4176.34";"1895.68"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"3623.34";"2997.80";"3457.73";"2874.38";"4214.13";"2451.57";"57.66";"513.29";"8.25";"2512.03";"4191.28"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"2031.09";"1796.28";"2671.03";"3330.68";"2540.92";"4472.98";"171.77";"840.20";"115.47";"2765.02";"5774.05"
