"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_usaha_selain_ternak_besar_produksinya_seluruhnya_dijual";"n_utp_usaha_selain_ternak_besar_produksinya_sebagian_besar_dijual";"n_utp_usaha_selain_ternak_besar_produksinya_sisanya_dijual";"n_utp_usaha_selain_ternak_besar_produksinya_belum_dijual";"jumlah";"n_utp_usaha_selain_ternak_besar"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310010] PAGA";"53";"5310";"5310010";"145";"167";"261";"376";"949";"949"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310011] MEGO";"53";"5310";"5310011";"92";"101";"137";"797";"1127";"1127"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310012] TANA WAWO";"53";"5310";"5310012";"37";"135";"222";"385";"779";"779"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310020] LELA";"53";"5310";"5310020";"35";"127";"208";"616";"986";"986"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310030] BOLA";"53";"5310";"5310030";"114";"90";"622";"199";"1025";"1025"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310031] DORENG";"53";"5310";"5310031";"184";"149";"615";"421";"1369";"1369"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310032] MAPITARA";"53";"5310";"5310032";"10";"25";"202";"117";"354";"354"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310040] TALIBURA";"53";"5310";"5310040";"258";"241";"300";"1105";"1904";"1904"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310041] WAIGETE";"53";"5310";"5310041";"136";"684";"757";"979";"2556";"2556"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310042] WAIBLAMA";"53";"5310";"5310042";"64";"82";"22";"229";"397";"397"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310050] KEWAPANTE";"53";"5310";"5310050";"163";"393";"176";"318";"1050";"1050"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"68";"152";"454";"573";"1247";"1247"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310052] KANGAE";"53";"5310";"5310052";"369";"753";"609";"517";"2248";"2248"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310061] PALUE";"53";"5310";"5310061";"42";"44";"96";"94";"276";"276"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310062] KOTING";"53";"5310";"5310062";"60";"154";"209";"169";"592";"592"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310063] NELLE";"53";"5310";"5310063";"72";"172";"240";"161";"645";"645"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310070] NITA";"53";"5310";"5310070";"313";"423";"390";"519";"1645";"1645"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310071] MAGEPANDA";"53";"5310";"5310071";"138";"262";"247";"327";"974";"974"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310080] ALOK";"53";"5310";"5310080";"105";"290";"141";"174";"710";"710"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310081] ALOK BARAT";"53";"5310";"5310081";"162";"221";"157";"189";"729";"729"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"288";"381";"213";"262";"1144";"1144"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310] SIKKA";"53";"5310";"5310999";"2855";"5046";"6278";"8527";"22706";"22706"
