"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"persentase_utp_seluruhnya_dijual";"persentase_utp_sebagian_besar_dijual";"persentase_utp_sebagian_besar_dikonsumsi";"persentase_utp_belum_dijual"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310010] PAGA";"53";"5310";"5310010";"10.00";"90.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310011] MEGO";"53";"5310";"5310011";"34.78";"60.87";"0.00";"4.35"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310012] TANA WAWO";"53";"5310";"5310012";"16.67";"77.78";"5.56";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310020] LELA";"53";"5310";"5310020";"0.00";"100.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310030] BOLA";"53";"5310";"5310030";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310031] DORENG";"53";"5310";"5310031";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310032] MAPITARA";"53";"5310";"5310032";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310040] TALIBURA";"53";"5310";"5310040";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310041] WAIGETE";"53";"5310";"5310041";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310042] WAIBLAMA";"53";"5310";"5310042";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310050] KEWAPANTE";"53";"5310";"5310050";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310051] HEWOKLOANG";"53";"5310";"5310051";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310052] KANGAE";"53";"5310";"5310052";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310061] PALUE";"53";"5310";"5310061";"0.00";"0.00";"100.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310062] KOTING";"53";"5310";"5310062";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310063] NELLE";"53";"5310";"5310063";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310070] NITA";"53";"5310";"5310070";"40.63";"59.38";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310071] MAGEPANDA";"53";"5310";"5310071";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310080] ALOK";"53";"5310";"5310080";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310081] ALOK BARAT";"53";"5310";"5310081";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0.00";"100.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3101";"[5310] SIKKA";"53";"5310";"5310999";"34.15";"63.90";"1.46";"0.49"
