"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp";"sum_luas_tanam";"mean_luas_tanam_per_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1226";"[5310010] PAGA";"53";"5310";"5310010";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1226";"[5310011] MEGO";"53";"5310";"5310011";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1226";"[5310012] TANA WAWO";"53";"5310";"5310012";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1226";"[5310020] LELA";"53";"5310";"5310020";"2";"0.11";"550.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1226";"[5310030] BOLA";"53";"5310";"5310030";"7";"0.41";"585.71"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1226";"[5310031] DORENG";"53";"5310";"5310031";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1226";"[5310032] MAPITARA";"53";"5310";"5310032";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1226";"[5310040] TALIBURA";"53";"5310";"5310040";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1226";"[5310041] WAIGETE";"53";"5310";"5310041";"22";"2.50";"1136.36"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1226";"[5310042] WAIBLAMA";"53";"5310";"5310042";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1226";"[5310050] KEWAPANTE";"53";"5310";"5310050";"2";"0.15";"750.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1226";"[5310051] HEWOKLOANG";"53";"5310";"5310051";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1226";"[5310052] KANGAE";"53";"5310";"5310052";"272";"98.29";"3613.60"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1226";"[5310061] PALUE";"53";"5310";"5310061";"36";"1.90";"527.77"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1226";"[5310062] KOTING";"53";"5310";"5310062";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1226";"[5310063] NELLE";"53";"5310";"5310063";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1226";"[5310070] NITA";"53";"5310";"5310070";"2";"0.42";"2100.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1226";"[5310071] MAGEPANDA";"53";"5310";"5310071";"6";"0.18";"300.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1226";"[5310080] ALOK";"53";"5310";"5310080";"6";"1.57";"2616.66"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1226";"[5310081] ALOK BARAT";"53";"5310";"5310081";"18";"2.95";"1638.88"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1226";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"17";"2.78";"1635.29"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1226";"[5310] SIKKA";"53";"5310";"5310999";"390";"111.25";"2852.56"
