"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"jml_utp_usaha_total_1_2_ternak";"jml_utp_usaha_total_3_4_ternak";"jml_utp_usaha_total_5_9_ternak";"jml_utp_usaha_total_10_19_ternak";"jml_utp_usaha_total_20_49_ternak";"jml_utp_usaha_total_50_99_ternak";"jml_utp_usaha_total_100_199_ternak";"jml_utp_usaha_total_200_499_ternak";"jml_utp_usaha_total_500_or_more_ternak"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310010] PAGA";"53";"5310";"5310010";"127";"56";"14";"2";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310011] MEGO";"53";"5310";"5310011";"476";"116";"26";"1";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310012] TANA WAWO";"53";"5310";"5310012";"354";"160";"63";"1";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310020] LELA";"53";"5310";"5310020";"190";"67";"41";"2";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310030] BOLA";"53";"5310";"5310030";"84";"61";"34";"2";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310031] DORENG";"53";"5310";"5310031";"169";"65";"18";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310032] MAPITARA";"53";"5310";"5310032";"51";"21";"6";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310040] TALIBURA";"53";"5310";"5310040";"350";"130";"41";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310041] WAIGETE";"53";"5310";"5310041";"250";"116";"32";"4";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310042] WAIBLAMA";"53";"5310";"5310042";"33";"29";"9";"3";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310050] KEWAPANTE";"53";"5310";"5310050";"76";"37";"21";"1";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"86";"60";"21";"3";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310052] KANGAE";"53";"5310";"5310052";"283";"105";"72";"1";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310061] PALUE";"53";"5310";"5310061";"86";"28";"18";"1";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310062] KOTING";"53";"5310";"5310062";"43";"27";"14";"3";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310063] NELLE";"53";"5310";"5310063";"59";"33";"16";"1";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310070] NITA";"53";"5310";"5310070";"131";"57";"59";"4";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310071] MAGEPANDA";"53";"5310";"5310071";"37";"17";"17";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310080] ALOK";"53";"5310";"5310080";"26";"6";"9";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310081] ALOK BARAT";"53";"5310";"5310081";"54";"19";"8";"3";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"135";"49";"30";"3";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310] SIKKA";"53";"5310";"5310999";"3100";"1259";"569";"35";"0";"0";"0";"0";"1"
