"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_panen_sendiri";"n_utp_ijon";"n_utp_tebas";"n_utp_tdk_panen";"n_utp_blm_panen"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310010] PAGA";"53";"5310";"5310010";"24";"0";"0";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310011] MEGO";"53";"5310";"5310011";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310020] LELA";"53";"5310";"5310020";"20";"0";"0";"1";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310030] BOLA";"53";"5310";"5310030";"62";"1";"0";"13";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310031] DORENG";"53";"5310";"5310031";"65";"0";"0";"3";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310032] MAPITARA";"53";"5310";"5310032";"6";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310040] TALIBURA";"53";"5310";"5310040";"251";"0";"0";"19";"21"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310041] WAIGETE";"53";"5310";"5310041";"1131";"0";"1";"6";"28"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310042] WAIBLAMA";"53";"5310";"5310042";"140";"0";"1";"1";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310050] KEWAPANTE";"53";"5310";"5310050";"360";"0";"0";"15";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"173";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310052] KANGAE";"53";"5310";"5310052";"796";"0";"0";"13";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310061] PALUE";"53";"5310";"5310061";"1";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310062] KOTING";"53";"5310";"5310062";"20";"0";"0";"1";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310063] NELLE";"53";"5310";"5310063";"31";"0";"0";"2";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310070] NITA";"53";"5310";"5310070";"86";"0";"0";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310071] MAGEPANDA";"53";"5310";"5310071";"301";"0";"0";"6";"12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310080] ALOK";"53";"5310";"5310080";"76";"0";"0";"3";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310081] ALOK BARAT";"53";"5310";"5310081";"193";"0";"0";"1";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"224";"0";"0";"1";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3102";"[5310] SIKKA";"53";"5310";"5310999";"3960";"1";"2";"89";"116"
