"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_art_10thn_plus";"n_putp_tp_h_kebun_ternak";"n_putp_perikanan_kehutanan";"n_putp_jasa_pertanian";"n_pekerja_tp_h_kebun_ternak";"n_pekerja_perikanan_kehutanan";"n_pekerja_jasa_pertanian";"n_putp_lainnya";"n_pekerja_lainnya";"n_putp_all";"n_putp_all_non_jasa_pertanian";"n_putp_cek"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"3365";"860";"102";"0";"2288";"4";"1";"172";"395";"860";"860";"2977"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"3105";"426";"38";"1";"2583";"0";"6";"160";"242";"426";"426";"2408"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"2489";"336";"60";"0";"2110";"0";"0";"21";"138";"336";"336";"1770"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"2000";"310";"8";"0";"1224";"2";"0";"514";"573";"310";"310";"2000"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"2768";"683";"147";"0";"1745";"5";"1";"621";"742";"683";"683";"2240"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"2968";"427";"41";"0";"2420";"1";"0";"515";"347";"427";"427";"2283"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"1640";"187";"2";"0";"1364";"0";"0";"44";"229";"187";"187";"1439"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"5119";"980";"465";"0";"3733";"160";"32";"241";"550";"983";"983";"4674"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"5747";"1116";"159";"0";"4204";"17";"8";"811";"671";"1116";"1116";"4966"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"1962";"314";"79";"0";"1559";"0";"66";"33";"72";"314";"314";"1680"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"2369";"619";"102";"0";"1123";"3";"1";"818";"594";"619";"619";"2135"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"2382";"400";"184";"0";"1863";"0";"0";"801";"261";"400";"400";"1776"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"4495";"1187";"214";"1";"2507";"65";"1";"1355";"1080";"1187";"1187";"3462"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"2773";"730";"4";"0";"1953";"19";"0";"132";"829";"730";"730";"1890"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"1658";"294";"44";"0";"1162";"1";"1";"737";"385";"294";"294";"1319"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"1548";"285";"55";"0";"1044";"3";"0";"675";"562";"286";"286";"1085"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"4814";"944";"209";"0";"2998";"0";"2";"1356";"1200";"944";"944";"3983"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"2624";"569";"42";"2";"1748";"56";"6";"163";"330";"576";"576";"2705"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"3026";"1083";"15";"1";"1269";"10";"0";"600";"779";"1088";"1087";"2923"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"2321";"715";"54";"1";"559";"86";"5";"686";"644";"761";"760";"2887"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"3082";"635";"75";"0";"1666";"9";"0";"84";"1442";"639";"639";"3086"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"62255";"13100";"2099";"6";"41122";"441";"130";"10539";"12065";"13166";"13164";"53688"
