"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_utp_sertifikat_hak_milik";"n_utp_sertifikat_hak_guna_bangunan";"n_utp_sertifikat_hak_milik_atas_srs";"n_utp_sertifikat_hak_guna_usaha";"n_utp_sertifikat_hak_pakai";"n_utp_letter_c";"n_utp_lahan_garapan";"n_utp_tanpa_dokumen_resmi";"n_utp_sewa_perjanjian_tertulis";"n_utp_sewa_tanpa_perjanjian_tertulis";"n_utp_menggarap_lahan_orang_lain";"n_utp_milik_negara_adat_program_perhutanan_sosial";"n_utp_milik_negara_adat_selain_program_perhutanan_sosial";"n_utp_milik_negara_adat_tanpa_perjanjian_tertulis";"n_utp_menempati_tanpa_izin";"n_utp_lainnya";"n_utp_lebih_dari1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"105";"0";"0";"0";"0";"337";"4";"46";"8";"24";"414";"0";"0";"1";"0";"4";"87"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"39";"0";"0";"0";"0";"325";"0";"2";"0";"6";"52";"0";"0";"0";"0";"0";"14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"2";"0";"0";"0";"0";"277";"0";"22";"0";"1";"48";"0";"0";"0";"0";"0";"17"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"80";"0";"0";"0";"0";"129";"37";"40";"2";"2";"16";"0";"0";"0";"0";"2";"18"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"249";"1";"0";"0";"0";"231";"2";"17";"4";"18";"172";"32";"0";"0";"0";"2";"54"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"118";"0";"0";"0";"13";"228";"0";"30";"2";"14";"43";"7";"2";"2";"0";"0";"43"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"1";"0";"0";"0";"0";"147";"0";"21";"0";"5";"9";"1";"0";"0";"0";"0";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"370";"1";"0";"0";"1";"349";"46";"102";"2";"21";"156";"22";"0";"15";"0";"3";"118"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"385";"0";"0";"0";"1";"292";"21";"268";"2";"32";"178";"75";"1";"7";"0";"0";"144"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"111";"0";"0";"0";"1";"196";"9";"7";"0";"0";"41";"8";"0";"0";"0";"0";"59"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"280";"0";"0";"0";"0";"99";"3";"48";"1";"50";"197";"1";"0";"0";"1";"11";"84"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"190";"0";"0";"0";"3";"152";"0";"20";"2";"8";"40";"2";"0";"0";"0";"0";"21"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"669";"0";"1";"0";"1";"187";"11";"102";"9";"59";"193";"2";"0";"10";"0";"7";"125"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"5";"0";"0";"0";"0";"651";"19";"5";"0";"0";"55";"0";"0";"0";"0";"0";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"49";"0";"0";"0";"0";"172";"0";"22";"0";"7";"89";"0";"0";"0";"0";"0";"45"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"126";"0";"0";"0";"1";"90";"1";"19";"0";"2";"69";"0";"1";"0";"0";"0";"33"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"257";"0";"0";"0";"1";"285";"3";"25";"3";"12";"445";"1";"0";"0";"0";"1";"88"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"276";"1";"0";"0";"0";"90";"13";"42";"8";"61";"124";"0";"1";"0";"0";"2";"81"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"371";"0";"0";"0";"2";"205";"8";"143";"5";"7";"287";"0";"1";"15";"3";"2";"62"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"460";"0";"0";"1";"0";"20";"21";"3";"4";"91";"129";"0";"1";"11";"0";"0";"57"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"231";"0";"0";"0";"0";"109";"0";"90";"0";"1";"124";"1";"2";"1";"0";"2";"39"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"4374";"3";"1";"1";"24";"4571";"198";"1074";"52";"421";"2881";"152";"9";"62";"4";"36";"1202"
