"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_usaha_selain_ternak_besar_produksi_daging";"n_rtup_usaha_selain_ternak_besar_produksi_susu_segar";"n_rtup_usaha_selain_ternak_besar_produksi_telur_konsumsi";"n_rtup_usaha_selain_ternak_besar_produksi_telur_tetas";"n_rtup_usaha_selain_ternak_besar_produksi_semen_ternak";"n_rtup_usaha_selain_ternak_besar_produksi_embrio";"n_rtup_usaha_selain_ternak_besar_produksi_madu";"n_rtup_usaha_selain_ternak_besar_produksi_liur_atau_sarang";"n_rtup_usaha_selain_ternak_besar_produksi_bulu";"n_rtup_usaha_selain_ternak_besar_produksi_kepompong";"n_rtup_usaha_selain_ternak_besar_produksi_kulit";"n_rtup_usaha_selain_ternak_besar_produksi_lilin_malam";"jumlah";"n_rtup_usaha_selain_ternak_besar"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310010] PAGA";"53";"5310";"5310010";"931";"0";"58";"4";"0";"0";"0";"0";"0";"0";"0";"0";"993";"939"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310011] MEGO";"53";"5310";"5310011";"1119";"0";"14";"14";"0";"0";"0";"0";"0";"0";"0";"0";"1147";"1127"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310012] TANA WAWO";"53";"5310";"5310012";"776";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"787";"777"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310020] LELA";"53";"5310";"5310020";"971";"0";"36";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1008";"972"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310030] BOLA";"53";"5310";"5310030";"998";"0";"116";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1115";"1002"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310031] DORENG";"53";"5310";"5310031";"1341";"0";"23";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1365";"1346"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310032] MAPITARA";"53";"5310";"5310032";"347";"0";"33";"0";"0";"0";"0";"0";"0";"0";"0";"0";"380";"349"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310040] TALIBURA";"53";"5310";"5310040";"1840";"0";"31";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1874";"1841"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310041] WAIGETE";"53";"5310";"5310041";"2463";"0";"389";"53";"0";"0";"0";"0";"0";"0";"0";"0";"2905";"2466"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310042] WAIBLAMA";"53";"5310";"5310042";"392";"0";"38";"1";"0";"0";"0";"0";"0";"0";"0";"0";"431";"393"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1036";"0";"9";"6";"0";"0";"0";"0";"0";"0";"0";"0";"1051";"1042"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1197";"0";"31";"37";"0";"0";"0";"0";"0";"0";"0";"0";"1265";"1198"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310052] KANGAE";"53";"5310";"5310052";"2197";"0";"78";"34";"0";"0";"0";"0";"0";"0";"0";"0";"2309";"2207"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310061] PALUE";"53";"5310";"5310061";"275";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"275";"275"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310062] KOTING";"53";"5310";"5310062";"582";"0";"33";"0";"0";"0";"0";"0";"0";"0";"0";"0";"615";"588"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310063] NELLE";"53";"5310";"5310063";"645";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"646";"645"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310070] NITA";"53";"5310";"5310070";"1548";"0";"287";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1838";"1629"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310071] MAGEPANDA";"53";"5310";"5310071";"954";"0";"139";"10";"0";"0";"0";"0";"0";"0";"0";"0";"1103";"958"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310080] ALOK";"53";"5310";"5310080";"699";"0";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"709";"703"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310081] ALOK BARAT";"53";"5310";"5310081";"718";"0";"135";"11";"0";"0";"0";"0";"0";"0";"0";"0";"864";"728"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1133";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1135";"1134"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310] SIKKA";"53";"5310";"5310999";"22162";"0";"1474";"179";"0";"0";"0";"0";"0";"0";"0";"0";"23815";"22319"
