"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup";"jumlah_tanaman_belum_menghasilkan";"jumlah_tanaman_menghasilkan";"jumlah_tanaman_tidak_menghasilkan";"sum_produksi_volume";"sum_produksi_nilai";"produktivitas"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310010] PAGA";"53";"5310";"5310010";"1016";"9594";"37089";"828";"2595465";"1931218";"70"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310011] MEGO";"53";"5310";"5310011";"610";"8025";"28777";"936";"772803";"1415694";"27"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310012] TANA WAWO";"53";"5310";"5310012";"11";"28";"227";"5";"4768";"4270";"21"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310020] LELA";"53";"5310";"5310020";"1545";"16637";"82019";"2657";"4504316";"6074335";"55"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310030] BOLA";"53";"5310";"5310030";"1724";"10255";"64898";"2096";"3691323";"4422807";"57"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310031] DORENG";"53";"5310";"5310031";"1512";"23938";"51912";"763";"5374471";"4415625";"104"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310032] MAPITARA";"53";"5310";"5310032";"724";"8385";"21376";"520";"1501905";"1490563";"70"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310040] TALIBURA";"53";"5310";"5310040";"1842";"19398";"57968";"1847";"3568586";"3865204";"62"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310041] WAIGETE";"53";"5310";"5310041";"1215";"6475";"29087";"1061";"2013213";"2180943";"69"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310042] WAIBLAMA";"53";"5310";"5310042";"759";"7422";"21478";"516";"443097";"1179291";"21"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310050] KEWAPANTE";"53";"5310";"5310050";"791";"4300";"17369";"623";"1106028";"853546";"64"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1296";"5639";"37192";"236";"2040496";"2081444";"55"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310052] KANGAE";"53";"5310";"5310052";"1001";"6144";"21073";"623";"802454";"1832897";"38"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310061] PALUE";"53";"5310";"5310061";"873";"1299";"18624";"43";"1462211";"1468412";"79"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310062] KOTING";"53";"5310";"5310062";"1045";"5438";"37690";"648";"2729089";"2426308";"72"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310063] NELLE";"53";"5310";"5310063";"586";"1839";"11599";"67";"984693";"1028012";"85"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310070] NITA";"53";"5310";"5310070";"2126";"18380";"704177";"2110";"8415255";"7262866";"12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310071] MAGEPANDA";"53";"5310";"5310071";"361";"1071";"4866";"56";"261636";"328515";"54"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310080] ALOK";"53";"5310";"5310080";"168";"775";"6097";"374";"377598";"377174";"62"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310081] ALOK BARAT";"53";"5310";"5310081";"70";"161";"2344";"98";"76919";"106070";"33"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"286";"1822";"10286";"306";"569333";"821925";"55"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3112";"[5310] SIKKA";"53";"5310";"5310999";"19561";"157025";"1266148";"16413";"43295659";"45567119";"34"
