"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_selain_ternak_besar_tujuan_pengembangbiakan";"n_utp_selain_ternak_besar_tujuan_penggemukan";"n_utp_selain_ternak_besar_tujuan_pembibitan";"n_utp_selain_ternak_besar_tujuan_pembesaran";"n_utp_selain_ternak_besar_tujuan_produksi";"jumlah";"n_utp_usaha_selain_ternak_besar"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310010] PAGA";"53";"5310";"5310010";"199";"0";"0";"0";"0";"199";"199"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310011] MEGO";"53";"5310";"5310011";"619";"0";"0";"0";"0";"619";"619"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310012] TANA WAWO";"53";"5310";"5310012";"579";"0";"0";"0";"0";"579";"579"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310020] LELA";"53";"5310";"5310020";"300";"0";"0";"0";"0";"300";"300"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310030] BOLA";"53";"5310";"5310030";"181";"0";"0";"0";"0";"181";"181"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310031] DORENG";"53";"5310";"5310031";"252";"0";"0";"0";"0";"252";"252"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310032] MAPITARA";"53";"5310";"5310032";"78";"0";"0";"0";"0";"78";"78"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310040] TALIBURA";"53";"5310";"5310040";"521";"0";"0";"0";"0";"521";"521"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310041] WAIGETE";"53";"5310";"5310041";"402";"0";"0";"0";"0";"402";"402"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310042] WAIBLAMA";"53";"5310";"5310042";"74";"0";"0";"0";"0";"74";"74"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310050] KEWAPANTE";"53";"5310";"5310050";"135";"0";"0";"0";"0";"135";"135"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"170";"0";"0";"0";"0";"170";"170"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310052] KANGAE";"53";"5310";"5310052";"461";"0";"0";"0";"0";"461";"461"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310061] PALUE";"53";"5310";"5310061";"133";"0";"0";"0";"0";"133";"133"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310062] KOTING";"53";"5310";"5310062";"87";"0";"0";"0";"0";"87";"87"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310063] NELLE";"53";"5310";"5310063";"109";"0";"0";"0";"0";"109";"109"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310070] NITA";"53";"5310";"5310070";"251";"0";"0";"0";"0";"251";"251"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310071] MAGEPANDA";"53";"5310";"5310071";"71";"0";"0";"0";"0";"71";"71"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310080] ALOK";"53";"5310";"5310080";"41";"0";"0";"0";"0";"41";"41"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310081] ALOK BARAT";"53";"5310";"5310081";"84";"0";"0";"0";"0";"84";"84"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"217";"0";"0";"0";"0";"217";"217"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4407";"[5310] SIKKA";"53";"5310";"5310999";"4964";"0";"0";"0";"0";"4964";"4964"
