tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_rtup_ternak_besar_tujuan_pengembangbiakan;n_rtup_ternak_besar_tujuan_penggemukan;n_rtup_ternak_besar_tujuan_pembibitan;n_rtup_ternak_besar_tujuan_pembesaran;n_rtup_ternak_besar_tujuan_produksi;jumlah;n_rtup_usaha_ternak_besar
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310070] NITA;53;5310;5310070;4;0;0;0;0;4;4
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310071] MAGEPANDA;53;5310;5310071;94;74;0;0;0;168;168
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310080] ALOK;53;5310;5310080;1;0;0;0;0;1;1
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310082] ALOK TIMUR;53;5310;5310082;1;0;0;0;0;1;1
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4101;[5310] SIKKA;53;5310;5310999;132;74;0;0;0;206;206
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4103;[5310] SIKKA;53;5310;5310999;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310010] PAGA;53;5310;5310010;253;15;0;0;0;268;268
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310011] MEGO;53;5310;5310011;427;10;0;0;0;437;437
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310012] TANA WAWO;53;5310;5310012;300;38;0;0;0;338;338
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310020] LELA;53;5310;5310020;106;7;0;0;0;113;113
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310030] BOLA;53;5310;5310030;186;26;3;0;0;215;215
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310031] DORENG;53;5310;5310031;166;53;0;0;0;219;219
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310032] MAPITARA;53;5310;5310032;156;8;0;0;0;164;164
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310040] TALIBURA;53;5310;5310040;693;45;3;0;0;741;741
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310041] WAIGETE;53;5310;5310041;270;140;0;0;0;410;410
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310042] WAIBLAMA;53;5310;5310042;150;2;0;0;0;152;152
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310050] KEWAPANTE;53;5310;5310050;181;30;0;0;0;211;211
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310051] HEWOKLOANG;53;5310;5310051;22;13;0;0;0;35;35
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310052] KANGAE;53;5310;5310052;307;19;0;0;0;326;326
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310062] KOTING;53;5310;5310062;4;4;0;0;0;8;8
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310063] NELLE;53;5310;5310063;20;2;0;0;0;22;22
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310070] NITA;53;5310;5310070;36;13;0;0;0;49;49
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310071] MAGEPANDA;53;5310;5310071;178;212;0;0;0;390;390
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310080] ALOK;53;5310;5310080;7;4;0;0;0;11;11
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310081] ALOK BARAT;53;5310;5310081;80;119;0;0;0;199;199
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310082] ALOK TIMUR;53;5310;5310082;96;23;0;0;0;119;119
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4104;[5310] SIKKA;53;5310;5310999;3638;783;6;0;0;4427;4427
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0
BAB_6_tabel_6_12_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310] SIKKA;53;5310;5310999;0;0;0;0;0;0;0
