tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_utp_budidaya;n_utp_pembibitan;n_utp_budidaya_dan_pembibitan;n_utp_jumlah;n_utp_budidaya_jumlah;n_utp_pembibitan_jumlah;n_utp
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310040] TALIBURA;53;5310;5310040;2;0;0;2;2;0;2
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310041] WAIGETE;53;5310;5310041;1;0;0;1;1;0;1
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310052] KANGAE;53;5310;5310052;6;0;0;6;6;0;6
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310062] KOTING;53;5310;5310062;13;0;0;13;13;0;13
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310063] NELLE;53;5310;5310063;2;0;0;2;2;0;2
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310080] ALOK;53;5310;5310080;3;0;0;3;3;0;3
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310081] ALOK BARAT;53;5310;5310081;7;0;0;7;7;0;7
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310082] ALOK TIMUR;53;5310;5310082;2;0;0;2;2;0;2
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2306;[5310] SIKKA;53;5310;5310999;36;0;0;36;36;0;36
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310010] PAGA;53;5310;5310010;11;0;0;11;11;0;11
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310011] MEGO;53;5310;5310011;23;0;0;23;23;0;23
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310012] TANA WAWO;53;5310;5310012;39;0;0;39;39;0;39
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310020] LELA;53;5310;5310020;1;0;0;1;1;0;1
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310040] TALIBURA;53;5310;5310040;1;0;0;1;1;0;1
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0
BAB_5_tabel_5_37_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;3101;[5310050] KEWAPANTE;53;5310;5310050;1;0;0;1;1;0;1
