"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_putp_0";"n_putp_0_to_0_1";"n_putp_0_1_to_0_19";"n_putp_0_2_to_0_49";"n_putp_0_5_to_0_99";"n_putp_1_to_1_99";"n_putp_2_to_2_99";"n_putp_3_to_3_99";"n_putp_4_to_4_99";"n_putp_5_to_9_99";"n_putp_10_to_19_99";"n_putp_20_to_49_99";"n_putp_50_to_99";"n_putp_100_to_199";"n_putp_200_to_499";"n_putp_500_to_999";"n_putp_1000plus"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"2163";"309";"169";"220";"89";"17";"3";"5";"1";"1";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"1957";"179";"69";"111";"55";"32";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"927";"213";"179";"320";"108";"16";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"1974";"7";"1";"14";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"1585";"361";"108";"137";"40";"8";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"682";"1114";"225";"177";"66";"17";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"1254";"12";"31";"68";"44";"21";"8";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"4160";"181";"86";"155";"71";"14";"4";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"4592";"174";"61";"102";"30";"5";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"1100";"295";"84";"114";"67";"14";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1538";"177";"121";"189";"92";"17";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1365";"221";"71";"68";"37";"11";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"3345";"48";"22";"26";"16";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"1783";"56";"17";"23";"9";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"1280";"18";"10";"9";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"1016";"30";"18";"18";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"3768";"42";"42";"68";"45";"15";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"2382";"91";"57";"106";"58";"10";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"2864";"22";"8";"23";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"2787";"30";"5";"31";"26";"7";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"2886";"58";"34";"47";"40";"16";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"45408";"3638";"1418";"2026";"902";"232";"40";"14";"6";"4";"0";"0";"0";"0";"0";"0";"0"
