tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;populasi_ternak_besar_jantan_anak_dipelihara_rtup;populasi_ternak_besar_jantan_muda_dipelihara_rtup;populasi_ternak_besar_jantan_dewasa_dipelihara_rtup;jml_ternak_besar_jantan_dipelihara_rtup;populasi_ternak_besar_betina_anak_dipelihara_rtup;populasi_ternak_besar_betina_muda_dipelihara_rtup;populasi_ternak_besar_betina_dewasa_2sd8thn_dipelihara_rtup;populasi_ternak_besar_betina_dewasa_more8thn_dipelihara_rtup;jml_ternak_besar_betina_dipelihara_rtup;jumlah;populasi_ternak_besar_dipelihara_rtup_pada_1Mei2023
BAB_6_tabel_6_36_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_36_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_36_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_36_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_36_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_36_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_36_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_36_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_36_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_36_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_36_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_36_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_36_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_36_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_36_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4105;[5310] SIKKA;53;5310;5310999;0;0;0;0;0;0;0;0;0;0;0
