"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_budidaya";"n_utp_pembibitan";"n_utp_budidaya_dan_pembibitan";"n_utp_jumlah";"n_utp_budidaya_jumlah";"n_utp_pembibitan_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310010] PAGA";"53";"5310";"5310010";"21";"0";"0";"21";"21";"0";"21"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310011] MEGO";"53";"5310";"5310011";"138";"0";"0";"138";"138";"0";"138"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310012] TANA WAWO";"53";"5310";"5310012";"181";"0";"0";"181";"181";"0";"181"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310020] LELA";"53";"5310";"5310020";"8";"0";"0";"8";"8";"0";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310030] BOLA";"53";"5310";"5310030";"864";"0";"1";"865";"865";"1";"865"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310031] DORENG";"53";"5310";"5310031";"1654";"0";"1";"1655";"1655";"1";"1655"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310032] MAPITARA";"53";"5310";"5310032";"239";"0";"0";"239";"239";"0";"239"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310040] TALIBURA";"53";"5310";"5310040";"17";"0";"0";"17";"17";"0";"17"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310041] WAIGETE";"53";"5310";"5310041";"535";"0";"0";"535";"535";"0";"535"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310042] WAIBLAMA";"53";"5310";"5310042";"24";"0";"0";"24";"24";"0";"24"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310050] KEWAPANTE";"53";"5310";"5310050";"110";"0";"0";"110";"110";"0";"110"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1161";"1";"2";"1164";"1163";"3";"1164"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310052] KANGAE";"53";"5310";"5310052";"104";"0";"0";"104";"104";"0";"104"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310061] PALUE";"53";"5310";"5310061";"6";"0";"0";"6";"6";"0";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310062] KOTING";"53";"5310";"5310062";"6";"0";"0";"6";"6";"0";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310063] NELLE";"53";"5310";"5310063";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310070] NITA";"53";"5310";"5310070";"243";"0";"1";"244";"244";"1";"244"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310080] ALOK";"53";"5310";"5310080";"13";"0";"0";"13";"13";"0";"13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310081] ALOK BARAT";"53";"5310";"5310081";"9";"0";"0";"9";"9";"0";"9"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"84";"0";"0";"84";"84";"0";"84"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3103";"[5310] SIKKA";"53";"5310";"5310999";"5418";"1";"5";"5424";"5423";"6";"5424"
