"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"populasi_ternak_betina_dewasa_sapi_diusahakan_rtup";"populasi_ternak_betina_dewasa_sapi_potong_diusahakan_rtup";"populasi_ternak_betina_dewasa_sapi_perah_diusahakan_rtup";"populasi_ternak_betina_dewasa_kerbau_diusahakan_rtup";"populasi_ternak_betina_dewasa_kerbau_potong_diusahakan_rtup";"populasi_ternak_betina_dewasa_kerbau_perah_diusahakan_rtup";"populasi_ternak_betina_dewasa_kuda_diusahakan_rtup";"populasi_ternak_betina_dewasa_unta_diusahakan_rtup";"populasi_ternak_betina_dewasa_rusa_diusahakan_rtup";"populasi_ternak_betina_dewasa_kambing_diusahakan_rtup";"populasi_ternak_betina_dewasa_kambing_potong_diusahakan_rtup";"populasi_ternak_betina_dewasa_kambing_perah_diusahakan_rtup";"populasi_ternak_betina_dewasa_domba_diusahakan_rtup";"populasi_ternak_betina_dewasa_domba_potong_diusahakan_rtup";"populasi_ternak_betina_dewasa_domba_perah_diusahakan_rtup";"populasi_ternak_betina_dewasa_babi_diusahakan_rtup";"populasi_ternak_betina_dewasa_keledai_diusahakan_rtup";"populasi_ternak_betina_dewasa_kelinci_potong_diusahakan_rtup";"populasi_ternak_betina_dewasa_ayam_ras_pedaging_diusahakan_rtup";"populasi_ternak_betina_dewasa_ayam_ras_petelur_diusahakan_rtup";"populasi_ternak_betina_dewasa_ayam_ras_pedaging_petelur_diusahakan_rtup";"populasi_ternak_betina_dewasa_ayam_kampung_diusahakan_rtup";"populasi_ternak_betina_dewasa_ayam_kampung_biasa_diusahakan_rtup";"populasi_ternak_betina_dewasa_ayam_kampung_pedaging_diusahakan_rtup";"populasi_ternak_betina_dewasa_ayam_kampung_petelur_diusahakan_rtup";"populasi_ternak_betina_dewasa_itik_diusahakan_rtup";"populasi_ternak_betina_dewasa_itik_petelur_diusahakan_rtup";"populasi_ternak_betina_dewasa_itik_pedaging_diusahakan_rtup";"populasi_ternak_betina_dewasa_itik_manila_diusahakan_rtup";"populasi_ternak_betina_dewasa_angsa_diusahakan_rtup";"populasi_ternak_betina_dewasa_merpati_diusahakan_rtup";"populasi_ternak_betina_dewasa_puyuh_diusahakan_rtup";"populasi_ternak_betina_dewasa_puyuh_petelur_diusahakan_rtup";"populasi_ternak_betina_dewasa_puyuh_pedaging_diusahakan_rtup";"populasi_ternak_betina_dewasa_kalkun_diusahakan_rtup";"populasi_ternak_betina_dewasa_burung_unta_diusahakan_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"391";"391";"0";"0";"0";"0";"20";"0";"0";"1035";"1035";"0";"0";"0";"0";"1161";"0";"0";"2880";"100";"2980";"8705";"8705";"0";"0";"194";"0";"0";"194";"0";"5";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0";"0";"0";"211";"211";"0";"0";"0";"0";"220";"0";"0";"0";"0";"0";"798";"798";"0";"0";"2";"0";"0";"2";"0";"4";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"10";"10";"0";"0";"0";"0";"5";"0";"0";"230";"230";"0";"0";"0";"0";"294";"0";"0";"1000";"36";"1036";"2167";"2167";"0";"0";"27";"0";"0";"27";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"32";"32";"0";"0";"0";"0";"7";"0";"0";"216";"216";"0";"0";"0";"0";"361";"0";"0";"2000";"750";"2750";"2177";"2177";"0";"0";"52";"0";"0";"52";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"47";"47";"0";"7";"7";"0";"25";"0";"0";"1048";"1048";"0";"0";"0";"0";"880";"0";"0";"15888";"0";"15888";"6260";"6260";"0";"0";"71";"0";"0";"71";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"640";"640";"0";"334";"334";"0";"94";"0";"0";"849";"849";"0";"0";"0";"0";"849";"0";"0";"6017";"0";"6017";"4547";"4547";"0";"0";"215";"0";"0";"215";"0";"4";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"23";"23";"0";"2";"2";"0";"12";"0";"0";"450";"450";"0";"0";"0";"0";"743";"0";"0";"5700";"0";"5700";"2552";"2552";"0";"0";"320";"0";"0";"320";"0";"24";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"498";"498";"0";"0";"0";"0";"20";"0";"0";"604";"604";"0";"0";"0";"0";"929";"0";"0";"7697";"150";"7847";"2748";"2748";"0";"0";"213";"0";"0";"213";"6";"36";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"187";"187";"0";"5";"5";"0";"14";"0";"0";"1637";"1637";"0";"0";"0";"0";"1311";"0";"0";"1470";"0";"1470";"4121";"4121";"0";"0";"230";"0";"0";"230";"0";"41";"0";"0";"0";"4";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"5862";"5862";"0";"385";"385";"0";"294";"0";"0";"15292";"15292";"0";"0";"0";"0";"13827";"0";"0";"58626";"1746";"60372";"79258";"79258";"0";"0";"2178";"0";"0";"2178";"7";"158";"0";"0";"0";"4";"0"
