"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_seluruhnya_dijual";"n_utp_sebagian_besar_dijual";"n_utp_sebagian_besar_dikonsumsi_sendiri";"n_utp_seluruhnya_dikonsumsi_sendiri";"n_utp_belum_dijual"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1104";"[5310010] PAGA";"53";"5310";"5310010";"3";"8";"41";"466";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1104";"[5310011] MEGO";"53";"5310";"5310011";"3";"16";"75";"140";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1104";"[5310012] TANA WAWO";"53";"5310";"5310012";"2";"0";"0";"203";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1104";"[5310020] LELA";"53";"5310";"5310020";"0";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1104";"[5310030] BOLA";"53";"5310";"5310030";"0";"0";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1104";"[5310031] DORENG";"53";"5310";"5310031";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1104";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1104";"[5310040] TALIBURA";"53";"5310";"5310040";"2";"13";"34";"184";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1104";"[5310041] WAIGETE";"53";"5310";"5310041";"0";"7";"13";"175";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1104";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"3";"1";"10";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1104";"[5310050] KEWAPANTE";"53";"5310";"5310050";"0";"0";"0";"2";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1104";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1104";"[5310052] KANGAE";"53";"5310";"5310052";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1104";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1104";"[5310062] KOTING";"53";"5310";"5310062";"0";"1";"1";"7";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1104";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"0";"4";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1104";"[5310070] NITA";"53";"5310";"5310070";"1";"10";"20";"167";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1104";"[5310071] MAGEPANDA";"53";"5310";"5310071";"9";"268";"253";"765";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1104";"[5310080] ALOK";"53";"5310";"5310080";"1";"2";"2";"5";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1104";"[5310081] ALOK BARAT";"53";"5310";"5310081";"2";"2";"4";"15";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1104";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0";"3";"3";"20";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1104";"[5310] SIKKA";"53";"5310";"5310999";"23";"333";"448";"2164";"16"
