"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_rtup_krt_0_15";"n_rtup_krt_15_24";"n_rtup_krt_25_34";"n_rtup_krt_35_44";"n_rtup_krt_45_54";"n_rtup_krt_55_64";"n_rtup_krt_65plus";"n_rtup_krt";"n_rtup_cek"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"0";"14";"186";"529";"543";"503";"364";"2139";"2139"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"0";"31";"272";"543";"460";"391";"286";"1983";"1983"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"15";"190";"352";"344";"338";"198";"1437";"1437"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"0";"9";"96";"351";"445";"405";"336";"1642";"1642"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"0";"10";"117";"308";"401";"367";"350";"1553";"1553"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"0";"29";"230";"440";"449";"406";"242";"1796";"1796"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"15";"144";"309";"292";"243";"147";"1150";"1150"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"0";"78";"533";"906";"931";"637";"391";"3476";"3476"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"2";"59";"529";"980";"930";"722";"447";"3669";"3669"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"29";"194";"344";"335";"262";"186";"1350";"1350"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"0";"7";"174";"333";"391";"387";"289";"1581";"1581"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"14";"132";"323";"360";"299";"200";"1328";"1328"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"0";"11";"268";"629";"672";"513";"390";"2483";"2483"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"0";"5";"59";"248";"244";"265";"343";"1164";"1164"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"0";"5";"91";"212";"250";"262";"212";"1032";"1032"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"0";"3";"62";"185";"236";"197";"130";"813";"813"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"0";"22";"259";"634";"867";"741";"568";"3091";"3091"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"32";"293";"615";"507";"378";"235";"2060";"2060"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"0";"19";"261";"644";"606";"428";"247";"2205";"2205"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"0";"22";"289";"609";"600";"462";"210";"2192";"2192"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0";"15";"279";"639";"705";"586";"292";"2516";"2516"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"2";"444";"4658";"10133";"10568";"8792";"6063";"40660";"40660"
