"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"sum_luas_lahan_sawah";"sum_luas_lahan_bukan_sawah";"sum_luas_lahan_padang_rumput_sementara";"sum_luas_lahan_padang_rumput_permanen";"sum_luas_lahan_menunggu_penanaman";"sum_luas_lahan_tanaman_tahunan";"sum_luas_lahan_kandang_ternak";"sum_luas_lahan_kehutanan";"sum_luas_lahan_budidaya_ikan";"sum_luas_bukan_lahan_pertanian";"sum_luas_lahan_dikuasai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"550579";"2324894";"0";"2081";"2184260";"8407153";"29186.5";"349437";"20";"435329";"14282939.5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"1053679";"4262321";"11282";"8380";"1512586";"20123980";"111294";"288910";"0";"677805";"28050237"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"300040";"3412106";"74042";"95577";"2355833";"7842295";"122281";"224050";"0";"20117";"14446341"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"14842";"1152914";"0";"5000";"148146";"11254654";"11986";"17696";"0";"75126";"12680364"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"2075";"435641";"1215";"49642";"1102153.75";"7922958.5";"22888.5";"60638.25";"139";"294249";"9891600"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"1450";"549654";"8000";"112992.5";"1976171";"12076949.5";"49042";"102465";"449";"634298";"15511471"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"11500";"1695938";"1250";"47870";"1061215";"5700603";"37175";"24796";"0";"126704";"8707051"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"837212";"9507642";"26158";"74318";"1559914";"18570327";"82844";"2280278";"2384";"933238";"33874315"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"624616";"4882723";"6438";"52431";"1020934";"15333951.01";"39145";"276957";"236";"785195";"23022626.01"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"472883";"4287257.4";"20646";"53743";"1372122";"10317698";"93040";"333613";"346";"1448812";"18400160.4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"5000";"1418363";"435";"27682";"1536803";"2904810";"20414";"65390";"0";"259645";"6238542"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"642";"390355";"452";"27997";"785118";"8418742";"31887";"92917";"0";"176307";"9924417"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"19579";"5413865";"750";"2786";"374675";"4338786.22";"50937.5";"225266";"0";"2323980.78";"12750625.5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"5900";"1229236";"9350";"0";"199067";"2554343";"19650";"839";"0";"151010";"4169395"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"5683";"868748";"500";"2000";"62989";"3765037";"20771";"60613";"0";"114254";"4900595"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"10150";"810388";"0";"3412";"136962";"1113281";"9051";"168145";"24";"867104";"3118517"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"255023";"2522516.5";"12747";"47924";"880945";"21465021.5";"89104";"396384";"33";"1191232";"26860930"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"4143327";"1589600";"0";"42471";"1038315";"3369184";"19962";"61917";"0";"1213491";"11478267"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"5833";"1809098";"14021";"13264";"106358";"770867";"8081.5";"7622";"80";"170764";"2905988.5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"54121";"1077937.5";"5120";"14724";"424897";"885940";"14231";"28361.75";"51";"643627";"3149010.25"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"31075";"5032802";"46116";"49725";"703471";"2499784";"26033.5";"41450.25";"33";"287748";"8718237.75"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"8405209";"54673999.4";"238522";"734019.5";"20542934.75";"169636364.73";"909004.5";"5107745.25";"3795";"12830035.78";"273081629.91"
