"id_prov";"id_kab";"id_kategori_subsektor";"id_kec";"prov";"kab";"kec";"kategori_subsektor";"n_rtup_subsektor_st2023"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.1";"[5310041] WAIGETE";"53";"5310";"5310041";"Budidaya Ikan";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.2";"[5310041] WAIGETE";"53";"5310";"5310041";"Penangkapan Ikan";"153"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310041] WAIGETE";"53";"5310";"5310041";"Kehutanan";"893"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310041] WAIGETE";"53";"5310";"5310041";"Jasa Pertanian";"17"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Pertanian";"1642"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Tanaman Pangan";"1511"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.1";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Padi";"1508"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.2";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Palawija";"464"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Hortikultura";"299"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Perkebunan";"1562"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Peternakan";"798"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Perikanan";"12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.1";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Budidaya Ikan";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.2";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Penangkapan Ikan";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Kehutanan";"555"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Jasa Pertanian";"3"
