"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"rerata_produksi_ternak_jenis_daging_diusahakan_utp";"rerata_produksi_ternak_jenis_susu_segar_diusahakan_utp";"rerata_produksi_ternak_jenis_telur_konsumsi_diusahakan_utp";"rerata_produksi_ternak_jenis_telur_tetas_diusahakan_utp";"rerata_produksi_ternak_jenis_semen_ternak_diusahakan_utp";"rerata_produksi_ternak_jenis_embrio_diusahakan_utp";"rerata_produksi_ternak_jenis_madu_diusahakan_utp";"rerata_produksi_ternak_jenis_liur_atau_sarang_diusahakan_utp";"rerata_produksi_ternak_jenis_bulu_diusahakan_utp";"rerata_produksi_ternak_jenis_kepompong_diusahakan_utp";"rerata_produksi_ternak_jenis_kulit_diusahakan_utp";"rerata_produksi_ternak_jenis_lilin_malam_diusahakan_utp";"rerata_produksi_ternak_diusahakan_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"10588.34";"0.00";"263.00";"225.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"10577.05"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1005.69";"0.00";"63.24";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1006.51"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"2246.83";"0.00";"146.07";"115.68";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"10666.67";"0.00";"2260.92"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"2552.99";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"2552.99"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"2714.46";"0.00";"268.77";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"2698.60"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"2862.61";"0.00";"10003.33";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"2897.34"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"3089.65";"0.00";"59.98";"66.67";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"3041.74"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"4080.14";"0.00";"52.26";"41.70";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4082.53"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"6782.79";"0.00";"1592.18";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"3200.00";"0.00";"6780.33"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"5167.58";"0.00";"107.33";"963.91";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4500.00";"0.00";"5174.42"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"4317.72";"0.00";"250.00";"0.00";"0.00";"0.00";"0.00";"37500.00";"0.00";"0.00";"0.00";"0.00";"4332.90"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"3431.43";"0.00";"114.60";"98.95";"0.00";"0.00";"8000.00";"21500.00";"0.00";"0.00";"4408.33";"0.00";"3432.87"
