"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp";"sum_luas_tanam";"mean_luas_tanam_per_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310010] PAGA";"53";"5310";"5310010";"515";"84.54";"1641.55"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310011] MEGO";"53";"5310";"5310011";"408";"78.02";"1912.25"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310012] TANA WAWO";"53";"5310";"5310012";"134";"19.94";"1488.05"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310020] LELA";"53";"5310";"5310020";"982";"108.28";"1102.64"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310030] BOLA";"53";"5310";"5310030";"866";"32.80";"378.75"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310031] DORENG";"53";"5310";"5310031";"228";"14.49";"635.52"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310032] MAPITARA";"53";"5310";"5310032";"192";"32.61";"1698.43"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310040] TALIBURA";"53";"5310";"5310040";"836";"72.29";"864.71"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310041] WAIGETE";"53";"5310";"5310041";"626";"85.86";"1371.56"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310042] WAIBLAMA";"53";"5310";"5310042";"15";"2.50";"1666.66"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310050] KEWAPANTE";"53";"5310";"5310050";"615";"75.82";"1232.84"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"96";"4.70";"489.58"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310052] KANGAE";"53";"5310";"5310052";"1315";"363.94";"2767.60"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310061] PALUE";"53";"5310";"5310061";"1295";"80.63";"622.62"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310062] KOTING";"53";"5310";"5310062";"644";"94.16";"1462.11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310063] NELLE";"53";"5310";"5310063";"610";"102.60";"1681.96"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310070] NITA";"53";"5310";"5310070";"1519";"149.31";"982.94"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310071] MAGEPANDA";"53";"5310";"5310071";"66";"9.12";"1381.81"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310080] ALOK";"53";"5310";"5310080";"397";"69.97";"1762.46"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310081] ALOK BARAT";"53";"5310";"5310081";"146";"17.55";"1202.05"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"754";"230.60";"3058.35"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1205";"[5310] SIKKA";"53";"5310";"5310999";"12259";"1729.71";"1410.97"
