"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"nilai_produksi_ternak_sapi_diusahakan_rtup";"nilai_produksi_ternak_sapi_potong_diusahakan_rtup";"nilai_produksi_ternak_sapi_perah_diusahakan_rtup";"nilai_produksi_ternak_kerbau_diusahakan_rtup";"nilai_produksi_ternak_kerbau_potong_diusahakan_rtup";"nilai_produksi_ternak_kerbau_perah_diusahakan_rtup";"nilai_produksi_ternak_kuda_diusahakan_rtup";"nilai_produksi_ternak_unta_diusahakan_rtup";"nilai_produksi_ternak_rusa_diusahakan_rtup";"nilai_produksi_ternak_kambing_diusahakan_rtup";"nilai_produksi_ternak_kambing_potong_diusahakan_rtup";"nilai_produksi_ternak_kambing_perah_diusahakan_rtup";"nilai_produksi_ternak_domba_diusahakan_rtup";"nilai_produksi_ternak_domba_potong_diusahakan_rtup";"nilai_produksi_ternak_domba_perah_diusahakan_rtup";"nilai_produksi_ternak_babi_diusahakan_rtup";"nilai_produksi_ternak_keledai_diusahakan_rtup";"nilai_produksi_ternak_kelinci_potong_diusahakan_rtup";"nilai_produksi_ternak_ayam_ras_pedaging_diusahakan_rtup";"nilai_produksi_ternak_ayam_ras_petelur_diusahakan_rtup";"nilai_produksi_ternak_ayam_ras_pedaging_petelur_diusahakan_rtup";"nilai_produksi_ternak_ayam_kampung_diusahakan_rtup";"nilai_produksi_ternak_ayam_kampung_biasa_diusahakan_rtup";"nilai_produksi_ternak_ayam_kampung_pedaging_diusahakan_rtup";"nilai_produksi_ternak_ayam_kampung_petelur_diusahakan_rtup";"nilai_produksi_ternak_itik_diusahakan_rtup";"nilai_produksi_ternak_itik_petelur_diusahakan_rtup";"nilai_produksi_ternak_itik_pedaging_diusahakan_rtup";"nilai_produksi_ternak_itik_manila_diusahakan_rtup";"nilai_produksi_ternak_angsa_diusahakan_rtup";"nilai_produksi_ternak_merpati_diusahakan_rtup";"nilai_produksi_ternak_puyuh_diusahakan_rtup";"nilai_produksi_ternak_puyuh_petelur_diusahakan_rtup";"nilai_produksi_ternak_puyuh_pedaging_diusahakan_rtup";"nilai_produksi_ternak_kalkun_diusahakan_rtup";"nilai_produksi_ternak_burung_unta_diusahakan_rtup";"nilai_produksi_ternak_anjing_diusahakan_rtup";"nilai_produksi_ternak_cacing_diusahakan_rtup";"nilai_produksi_ternak_hamster_diusahakan_rtup";"nilai_produksi_ternak_jangkrik_diusahakan_rtup";"nilai_produksi_ternak_kucing_diusahakan_rtup";"nilai_produksi_ternak_lebah_diusahakan_rtup";"nilai_produksi_ternak_marmut_diusahakan_rtup";"nilai_produksi_ternak_ulat_sutera_diusahakan_rtup";"nilai_produksi_ternak_walet_diusahakan_rtup";"nilai_produksi_ternak_ayam_lokal_lain_diusahakan_rtup";"nilai_produksi_ternak_unggas_non_pangan_diusahakan_rtup";"nilai_produksi_ternak_lainnya_diusahakan_rtup";"nilai_produksi_peternakan_diusahakan_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"996.8";"996.8";"0";"0";"0";"0";"52.5";"0";"0";"272.62";"272.62";"0";"0";"0";"0";"13217.41";"0";"0";"0";"0.6";"0.6";"1477.79";"1477.79";"0";"0";"6.65";"0";"0";"6.65";"0";"0";"0";"0";"0";"0";"0";"44.25";"0";"0";"0";"0";"0";"0";"0";"0";"40.23";"0";"0";"16108.83"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"70.40000000000001";"70.40000000000001";"0";"0";"0";"0";"9";"0";"0";"134.7";"134.7";"0";"0";"0";"0";"376.8";"0";"0";"0";"0";"0";"758.99";"758.99";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"49.82";"0";"0";"0";"0";"0";"0";"0";"0";"6.37";"0";"0";"1406.09"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"1172.45";"1172.45";"0";"0";"0";"0";"29.5";"0";"0";"586.62";"586.62";"0";"0";"0";"0";"3103.61";"0";"0";"89.86";"1.2";"91.06";"1137.02";"1137.02";"0";"0";"21.04";"0";"0";"21.04";"0";"0.42";"0";"0";"0";"0";"0";"176.83";"0";"0";"0";"0.1";"0";"0";"0";"0";"27.75";"0";"0";"6346.41"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0";"0";"0";"223.94";"223.94";"0";"0";"0";"0";"1295.7";"0";"0";"0";"0";"0";"32.64";"32.64";"0";"0";"0.15";"0";"0";"0.15";"0";"0.05";"0";"0";"0";"0";"0";"50.8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1603.28"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"17";"17";"0";"0";"0";"0";"113.5";"0";"0";"159.45";"159.45";"0";"0";"0";"0";"948.89";"0";"0";"456";"4.78";"460.78";"282.3";"282.3";"0";"0";"4.11";"0";"0";"4.11";"0";"0";"0";"0";"0";"0";"0";"75.8";"0";"0";"0";"0";"0";"0";"0";"0";"32.3";"0";"0";"2094.11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"220.45";"220.45";"0";"0";"0";"0";"28";"0";"0";"109.78";"109.78";"0";"0";"0";"0";"1214.6";"0";"0";"309.25";"30";"339.25";"495.34";"495.34";"0";"0";"5.09";"0";"0";"5.09";"0";"0";"0";"0";"0";"0";"0";"85.8";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"2503.31"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"198.76";"198.76";"0";"6";"6";"0";"56";"0";"0";"475.17";"475.17";"0";"0";"0";"0";"1998.76";"0";"0";"4133.1";"0";"4133.1";"533.91";"533.91";"0";"0";"1.37";"0";"0";"1.37";"0";"0";"0";"0";"0";"0";"0";"106.47";"0";"0";"0";"0";"0";"0";"0";"0";"0.5";"0";"0";"7510.04"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1286.5";"1286.5";"0";"545";"545";"0";"194.5";"0";"0";"289";"289";"0";"0";"0";"0";"1350.95";"0";"0";"2159.6";"4.32";"2163.92";"889.91";"889.91";"0";"0";"13.22";"0";"0";"13.22";"0";"0";"0";"0";"0";"0";"0";"11.4";"0";"0";"0";"0";"0";"0";"0";"0";"8.09";"0";"0";"6752.51"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"69";"69";"0";"0";"0";"0";"35.5";"0";"0";"236.2";"236.2";"0";"0";"0";"0";"4906.4";"0";"0";"4038.97";"0";"4038.97";"351.09";"351.09";"0";"0";"35.47";"0";"0";"35.47";"0";"2.57";"0";"0";"0";"0";"0";"89.75";"0";"0";"0";"0";"0";"0";"0";"0";"175.06";"0";"0";"9939.959999999999"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"929.15";"929.15";"0";"0";"0";"0";"32.71";"0";"0";"363.88";"363.88";"0";"0";"0";"0";"3552.86";"0";"0";"1806.42";"0.5";"1806.92";"345.08";"345.08";"0";"0";"40.16";"0";"0";"40.16";"0.5";"5.5";"0";"0";"0";"0";"0";"30.3";"0";"0";"0";"0";"0";"0";"0";"0";"126.79";"0";"0";"7233.83"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"764.75";"764.75";"0";"0";"0";"0";"11";"0";"0";"698.91";"698.91";"0";"0";"0";"0";"7200.1";"0";"0";"176.2";"0";"176.2";"607.4299999999999";"607.4299999999999";"0";"0";"16.96";"0";"0";"16.96";"0";"2.85";"0";"0";"0";"0.5";"0";"86.84999999999999";"0";"0";"0";"0";"0";"0";"0";"37.5";"11.65";"0";"0";"9614.73"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"22313.02";"22313.02";"0";"738.67";"738.67";"0";"751.21";"0";"0";"6712.64";"6712.64";"0";"0";"0";"0";"56330.34";"0";"0";"17070.3";"53.92";"17124.22";"10977.71";"10977.71";"0";"0";"189.83";"0";"0";"189.83";"0.5";"11.99";"0";"0";"0";"0.5";"0";"1627.37";"0";"0";"0";"0.35";"8";"0";"0";"64.5";"504.25";"0";"0";"117356.15"
