"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_putp_tidak_sekolah";"n_putp_tidak_sd";"n_putp_sd";"n_putp_sltp";"n_putp_slta_pertanian";"n_putp_slta_non_pertanian";"n_putp_slta";"n_putp_diploma_pertanian";"n_putp_diploma_non_pertanian";"n_putp_diploma";"n_putp_s1_pertanian";"n_putp_s1_non_pertanian";"n_putp_s1";"n_putp_profesi";"n_putp_s2s3_pertanian";"n_putp_s2s3_non_pertanian";"n_putp_s2s3";"n_putp";"n_putp_cek"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"50";"776";"600";"249";"9";"312";"321";"1";"30";"31";"5";"83";"88";"0";"0";"2";"2";"2117";"2117"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"337";"623";"491";"218";"7";"228";"235";"3";"10";"13";"3";"61";"64";"0";"0";"1";"1";"1982";"1982"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"101";"411";"634";"99";"4";"121";"125";"4";"14";"18";"1";"44";"45";"0";"0";"1";"1";"1434";"1434"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"34";"645";"559";"163";"3";"228";"231";"0";"19";"19";"1";"36";"37";"0";"0";"2";"2";"1690";"1690"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"65";"682";"443";"120";"3";"189";"192";"3";"18";"21";"4";"30";"34";"0";"0";"0";"0";"1557";"1557"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"195";"613";"534";"162";"7";"254";"261";"2";"15";"17";"5";"67";"72";"0";"0";"2";"2";"1856";"1856"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"194";"522";"303";"77";"5";"116";"121";"0";"2";"2";"1";"32";"33";"0";"0";"0";"0";"1252";"1252"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"135";"832";"1872";"321";"20";"385";"405";"4";"22";"26";"9";"90";"99";"0";"0";"1";"1";"3691";"3691"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"276";"1225";"1368";"372";"24";"449";"473";"3";"19";"22";"11";"101";"112";"0";"0";"2";"2";"3850";"3850"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"110";"153";"859";"89";"6";"113";"119";"1";"6";"7";"3";"26";"29";"0";"0";"0";"0";"1366";"1366"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"56";"541";"409";"147";"27";"207";"234";"2";"25";"27";"3";"95";"98";"1";"0";"3";"3";"1516";"1516"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"48";"554";"328";"144";"6";"216";"222";"1";"22";"23";"5";"52";"57";"0";"0";"0";"0";"1376";"1376"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"36";"675";"768";"224";"9";"341";"350";"4";"40";"44";"7";"167";"174";"0";"0";"4";"4";"2275";"2275"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"96";"332";"602";"36";"11";"63";"74";"1";"1";"2";"0";"18";"18";"0";"0";"0";"0";"1160";"1160"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"4";"253";"436";"129";"2";"154";"156";"0";"6";"6";"5";"36";"41";"0";"0";"0";"0";"1025";"1025"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"5";"302";"213";"85";"15";"137";"152";"2";"8";"10";"1";"29";"30";"0";"0";"2";"2";"799";"799"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"62";"925";"1111";"338";"21";"425";"446";"3";"42";"45";"17";"94";"111";"0";"0";"1";"1";"3039";"3039"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"94";"862";"624";"208";"7";"247";"254";"4";"6";"10";"9";"67";"76";"0";"0";"1";"1";"2129";"2129"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"16";"445";"627";"195";"15";"363";"378";"5";"33";"38";"15";"115";"130";"2";"0";"4";"4";"1835";"1835"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"64";"770";"649";"191";"15";"300";"315";"5";"17";"22";"18";"91";"109";"0";"0";"6";"6";"2126";"2126"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"74";"307";"1075";"230";"30";"457";"487";"3";"60";"63";"18";"189";"207";"0";"2";"2";"4";"2447";"2447"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"2052";"12448";"14505";"3797";"246";"5305";"5551";"51";"415";"466";"141";"1523";"1664";"3";"2";"34";"36";"40522";"40522"
