"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_tunggal";"n_rtup_campuran";"n_rtup_tumpang_sari";"n_rtup_asosiasi_antar_semusim";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2437";"[5310010] PAGA";"53";"5310";"5310010";"16";"0";"3";"0";"19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2437";"[5310011] MEGO";"53";"5310";"5310011";"9";"3";"0";"0";"12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2437";"[5310012] TANA WAWO";"53";"5310";"5310012";"2";"1";"1";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2437";"[5310020] LELA";"53";"5310";"5310020";"7";"18";"0";"0";"25"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2437";"[5310030] BOLA";"53";"5310";"5310030";"2";"2";"0";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2437";"[5310031] DORENG";"53";"5310";"5310031";"5";"3";"1";"0";"9"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2437";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2437";"[5310040] TALIBURA";"53";"5310";"5310040";"17";"29";"0";"2";"47"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2437";"[5310041] WAIGETE";"53";"5310";"5310041";"59";"7";"7";"2";"75"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2437";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"2";"0";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2437";"[5310050] KEWAPANTE";"53";"5310";"5310050";"8";"10";"2";"1";"21"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2437";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1";"2";"0";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2437";"[5310052] KANGAE";"53";"5310";"5310052";"5";"3";"6";"0";"14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2437";"[5310061] PALUE";"53";"5310";"5310061";"1";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2437";"[5310062] KOTING";"53";"5310";"5310062";"1";"2";"0";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2437";"[5310063] NELLE";"53";"5310";"5310063";"0";"2";"0";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2437";"[5310070] NITA";"53";"5310";"5310070";"47";"18";"7";"0";"72"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2437";"[5310071] MAGEPANDA";"53";"5310";"5310071";"102";"7";"2";"5";"116"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2437";"[5310080] ALOK";"53";"5310";"5310080";"5";"4";"1";"0";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2437";"[5310081] ALOK BARAT";"53";"5310";"5310081";"11";"2";"2";"0";"15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2437";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"3";"2";"0";"1";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2437";"[5310] SIKKA";"53";"5310";"5310999";"301";"117";"32";"11";"460"
