"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_putp_0_15";"n_putp_15_24";"n_putp_25_34";"n_putp_35_44";"n_putp_45_54";"n_putp_55_64";"n_putp_65plus";"n_putp";"n_putp_cek"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"0";"20";"209";"519";"527";"489";"353";"2117";"2117"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"0";"35";"278";"544";"457";"385";"283";"1982";"1982"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"16";"192";"351";"345";"335";"195";"1434";"1434"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"0";"14";"118";"357";"447";"409";"345";"1690";"1690"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"0";"18";"147";"322";"399";"364";"307";"1557";"1557"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"0";"44";"275";"460";"447";"406";"224";"1856";"1856"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"36";"192";"329";"300";"244";"151";"1252";"1252"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"0";"155";"648";"945";"932";"630";"381";"3691";"3691"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"2";"118";"625";"1003";"927";"723";"452";"3850";"3850"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"38";"201";"346";"335";"265";"181";"1366";"1366"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"0";"9";"189";"322";"368";"367";"261";"1516";"1516"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"25";"164";"339";"367";"293";"188";"1376";"1376"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"0";"18";"250";"546";"593";"495";"373";"2275";"2275"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"0";"5";"64";"247";"243";"260";"341";"1160";"1160"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"0";"10";"94";"213";"248";"258";"202";"1025";"1025"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"0";"5";"69";"178";"232";"194";"121";"799";"799"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"0";"40";"291";"630";"831";"729";"518";"3039";"3039"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"65";"341";"626";"493";"374";"230";"2129";"2129"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"0";"24";"236";"511";"481";"357";"226";"1835";"1835"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"2";"122";"338";"548";"506";"414";"196";"2126";"2126"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0";"27";"290";"628";"664";"568";"270";"2447";"2447"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"4";"844";"5211";"9964";"10142";"8559";"5798";"40522";"40522"
