"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_seluruhnya_dijual";"n_rtup_sebagian_besar_dijual";"n_rtup_sebagian_besar_dikonsumsi_sendiri";"n_rtup_seluruhnya_dikonsumsi_sendiri";"n_rtup_belum_dijual"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2434";"[5310010] PAGA";"53";"5310";"5310010";"3";"10";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2434";"[5310011] MEGO";"53";"5310";"5310011";"0";"10";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2434";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"5";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2434";"[5310020] LELA";"53";"5310";"5310020";"0";"9";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2434";"[5310030] BOLA";"53";"5310";"5310030";"1";"6";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2434";"[5310031] DORENG";"53";"5310";"5310031";"1";"31";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2434";"[5310032] MAPITARA";"53";"5310";"5310032";"2";"4";"2";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2434";"[5310040] TALIBURA";"53";"5310";"5310040";"18";"56";"6";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2434";"[5310041] WAIGETE";"53";"5310";"5310041";"3";"93";"4";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2434";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2434";"[5310050] KEWAPANTE";"53";"5310";"5310050";"13";"25";"2";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2434";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1";"2";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2434";"[5310052] KANGAE";"53";"5310";"5310052";"1";"6";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2434";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2434";"[5310062] KOTING";"53";"5310";"5310062";"1";"2";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2434";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2434";"[5310070] NITA";"53";"5310";"5310070";"29";"234";"7";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2434";"[5310071] MAGEPANDA";"53";"5310";"5310071";"21";"273";"6";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2434";"[5310080] ALOK";"53";"5310";"5310080";"0";"4";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2434";"[5310081] ALOK BARAT";"53";"5310";"5310081";"5";"15";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2434";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0";"5";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2434";"[5310] SIKKA";"53";"5310";"5310999";"99";"790";"34";"0";"6"
