"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_dipanen_sendiri";"n_utp_diijonkan";"n_utp_ditebaskan";"n_utp_belum_panen_habis";"n_utp_puso";"n_utp_tidak_panen";"n_utp_belum_panen";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310010] PAGA";"53";"5310";"5310010";"1025";"0";"0";"6";"298";"88";"7";"1120"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310011] MEGO";"53";"5310";"5310011";"525";"0";"0";"0";"3";"11";"7";"542"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310012] TANA WAWO";"53";"5310";"5310012";"320";"0";"0";"0";"1";"11";"95";"365"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310020] LELA";"53";"5310";"5310020";"298";"0";"0";"2";"20";"58";"37";"404"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310030] BOLA";"53";"5310";"5310030";"443";"0";"0";"4";"38";"76";"40";"569"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310031] DORENG";"53";"5310";"5310031";"91";"0";"0";"2";"0";"17";"1";"108"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310032] MAPITARA";"53";"5310";"5310032";"134";"0";"0";"0";"4";"0";"9";"140"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310040] TALIBURA";"53";"5310";"5310040";"1293";"0";"0";"4";"21";"119";"69";"1461"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310041] WAIGETE";"53";"5310";"5310041";"1464";"0";"0";"1";"29";"47";"22";"1530"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310042] WAIBLAMA";"53";"5310";"5310042";"393";"0";"0";"1";"104";"46";"14";"456"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1073";"0";"0";"0";"26";"50";"6";"1127"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"237";"0";"0";"1";"1";"8";"2";"248"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310052] KANGAE";"53";"5310";"5310052";"2047";"0";"0";"3";"12";"12";"29";"2100"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310061] PALUE";"53";"5310";"5310061";"1319";"0";"0";"16";"0";"82";"29";"1443"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310062] KOTING";"53";"5310";"5310062";"559";"0";"0";"1";"22";"24";"6";"598"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310063] NELLE";"53";"5310";"5310063";"652";"0";"0";"0";"1";"1";"5";"658"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310070] NITA";"53";"5310";"5310070";"1332";"0";"0";"13";"137";"40";"23";"1401"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310071] MAGEPANDA";"53";"5310";"5310071";"610";"0";"0";"0";"29";"56";"44";"710"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310080] ALOK";"53";"5310";"5310080";"1232";"0";"0";"16";"5";"20";"15";"1266"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310081] ALOK BARAT";"53";"5310";"5310081";"965";"0";"0";"1";"20";"12";"5";"985"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1577";"0";"0";"1";"2";"67";"3";"1580"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310] SIKKA";"53";"5310";"5310999";"17589";"0";"0";"72";"773";"845";"468";"18811"
