"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_utp_buru_dan_tangkap_satwa_liar";"n_utp_buru_dan_tangkap_satwa_liar_6251";"n_utp_buru_dan_tangkap_satwa_liar_6252";"n_utp_buru_dan_tangkap_satwa_liar_6253";"n_utp_buru_dan_tangkap_satwa_liar_6254";"n_utp_buru_dan_tangkap_satwa_liar_6255";"n_utp_buru_dan_tangkap_satwa_liar_6256";"n_utp_buru_dan_tangkap_satwa_liar_6257";"n_utp_buru_dan_tangkap_satwa_liar_6258";"n_utp_buru_dan_tangkap_satwa_liar_6259";"n_utp_buru_dan_tangkap_satwa_liar_6260";"n_utp_buru_dan_tangkap_satwa_liar_6261";"n_utp_buru_dan_tangkap_satwa_liar_6262";"n_utp_buru_dan_tangkap_satwa_liar_6263";"n_utp_buru_dan_tangkap_satwa_liar_6264";"n_utp_buru_dan_tangkap_satwa_liar_6265";"n_utp_buru_dan_tangkap_satwa_liar_6266";"n_utp_buru_dan_tangkap_satwa_liar_6267";"n_utp_buru_dan_tangkap_satwa_liar_6268";"n_utp_buru_dan_tangkap_satwa_liar_6269";"n_utp_buru_dan_tangkap_satwa_liar_6270";"n_utp_buru_dan_tangkap_satwa_liar_6271";"n_utp_buru_dan_tangkap_satwa_liar_6272";"n_utp_buru_dan_tangkap_satwa_liar_6273";"n_utp_buru_dan_tangkap_satwa_liar_6274";"n_utp_buru_dan_tangkap_satwa_liar_6275";"n_utp_buru_dan_tangkap_satwa_liar_6299"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"31";"0";"17";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16";"0";"0";"0";"0";"0";"0";"0";"0"
