"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_rtup_tunggal";"n_rtup_campuran";"n_rtup_tumpang_sari";"n_rtup_asosiasi_antar_semusim";"n_rtup_jumlah";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310010] PAGA";"53";"5310";"5310010";"77062371";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310011] MEGO";"53";"5310";"5310011";"66054342";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310012] TANA WAWO";"53";"5310";"5310012";"55045175";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310020] LELA";"53";"5310";"5310020";"49540572";"1";"3";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310030] BOLA";"53";"5310";"5310030";"44035996";"0";"23";"0";"0";"23";"23"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310031] DORENG";"53";"5310";"5310031";"49540419";"0";"2";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310032] MAPITARA";"53";"5310";"5310032";"22017938";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310040] TALIBURA";"53";"5310";"5310040";"110087635";"1";"2";"0";"2";"5";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310041] WAIGETE";"53";"5310";"5310041";"60547696";"1";"3";"2";"1";"7";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310042] WAIBLAMA";"53";"5310";"5310042";"38530289";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310050] KEWAPANTE";"53";"5310";"5310050";"49538871";"3";"10";"2";"0";"15";"15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"38530177";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310052] KANGAE";"53";"5310";"5310052";"49538727";"6";"12";"1";"0";"19";"19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310061] PALUE";"53";"5310";"5310061";"44035082";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310062] KOTING";"53";"5310";"5310062";"38530856";"0";"2";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310063] NELLE";"53";"5310";"5310063";"27522010";"1";"5";"0";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310070] NITA";"53";"5310";"5310070";"82565880";"0";"2";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310071] MAGEPANDA";"53";"5310";"5310071";"44035044";"1";"0";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310080] ALOK";"53";"5310";"5310080";"38530611";"5";"6";"0";"0";"11";"11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310081] ALOK BARAT";"53";"5310";"5310081";"22017470";"3";"0";"0";"0";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"60546750";"3";"23";"2";"0";"28";"28"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2149";"[5310] SIKKA";"53";"5310";"5310999";"1067853911";"25";"95";"7";"3";"130";"130"
