"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_penyebab_kekeringan";"n_utp_penyebab_hama";"n_utp_penyebab_penyakit";"n_utp_penyebab_banjir";"n_utp_penyebab_panen_sebagian";"n_utp_penyebab_dirusak_oleh_hewan";"n_utp_penyebab_pencurian";"n_utp_penyebab_lainnya"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310010] PAGA";"53";"5310";"5310010";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310011] MEGO";"53";"5310";"5310011";"1";"6";"2";"0";"14";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"2";"0";"0";"0";"2";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310020] LELA";"53";"5310";"5310020";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310030] BOLA";"53";"5310";"5310030";"0";"1";"0";"0";"10";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310031] DORENG";"53";"5310";"5310031";"0";"0";"0";"0";"7";"0";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"0";"0";"0";"1";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310040] TALIBURA";"53";"5310";"5310040";"0";"1";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310041] WAIGETE";"53";"5310";"5310041";"0";"0";"0";"0";"1";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"1";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1";"0";"0";"0";"6";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"0";"0";"0";"0";"0";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310052] KANGAE";"53";"5310";"5310052";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310062] KOTING";"53";"5310";"5310062";"0";"1";"0";"0";"1";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310070] NITA";"53";"5310";"5310070";"3";"1";"1";"0";"3";"0";"19";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"0";"0";"0";"2";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310080] ALOK";"53";"5310";"5310080";"1";"0";"0";"0";"2";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310081] ALOK BARAT";"53";"5310";"5310081";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310] SIKKA";"53";"5310";"5310999";"6";"13";"3";"0";"47";"2";"21";"2"
